X,Y,Z,formation
402500,7652500,-1503,top_formation
407500,7652500,-1574,top_formation
412500,7652500,-1645,top_formation
417500,7652500,-1720,top_formation
422500,7652500,-1786,top_formation
427500,7652500,-1860,top_formation
432500,7652500,-1933,top_formation
437500,7652500,-2015,top_formation
442500,7652500,-2075,top_formation
447500,7652500,-2112,top_formation
452500,7652500,-2156,top_formation
457500,7652500,-2194,top_formation
462500,7652500,-2218,top_formation
467500,7652500,-2180,top_formation
472500,7652500,-2147,top_formation
477500,7652500,-2258,top_formation
482500,7652500,-2383,top_formation
487500,7652500,-2418,top_formation
492500,7652500,-2418,top_formation
497500,7652500,-2422,top_formation
502500,7652500,-2513,top_formation
507500,7652500,-2528,top_formation
512500,7652500,-2515,top_formation
517500,7652500,-2641,top_formation
522500,7652500,-2721,top_formation
527500,7652500,-2751,top_formation
532500,7652500,-2806,top_formation
537500,7652500,-2793,top_formation
542500,7652500,-2774,top_formation
547500,7652500,-2820,top_formation
552500,7652500,-2877,top_formation
557500,7652500,-3156,top_formation
562500,7652500,-3399,top_formation
567500,7652500,-3370,top_formation
572500,7652500,-3338,top_formation
577500,7652500,-3374,top_formation
402500,7657500,-1514,top_formation
407500,7657500,-1575,top_formation
412500,7657500,-1636,top_formation
417500,7657500,-1698,top_formation
422500,7657500,-1762,top_formation
427500,7657500,-1835,top_formation
432500,7657500,-1893,top_formation
437500,7657500,-1955,top_formation
442500,7657500,-2022,top_formation
447500,7657500,-2083,top_formation
452500,7657500,-2122,top_formation
457500,7657500,-2169,top_formation
462500,7657500,-2194,top_formation
467500,7657500,-2220,top_formation
472500,7657500,-2162,top_formation
477500,7657500,-2186,top_formation
482500,7657500,-2358,top_formation
487500,7657500,-2412,top_formation
492500,7657500,-2398,top_formation
497500,7657500,-2403,top_formation
502500,7657500,-2500,top_formation
507500,7657500,-2483,top_formation
512500,7657500,-2442,top_formation
517500,7657500,-2676,top_formation
522500,7657500,-2645,top_formation
527500,7657500,-2660,top_formation
532500,7657500,-2812,top_formation
537500,7657500,-2828,top_formation
542500,7657500,-2805,top_formation
547500,7657500,-2879,top_formation
552500,7657500,-2904,top_formation
557500,7657500,-3190,top_formation
562500,7657500,-3504,top_formation
567500,7657500,-3327,top_formation
572500,7657500,-3295,top_formation
577500,7657500,-3343,top_formation
402500,7662500,-1529,top_formation
407500,7662500,-1583,top_formation
412500,7662500,-1634,top_formation
417500,7662500,-1695,top_formation
422500,7662500,-1754,top_formation
427500,7662500,-1825,top_formation
432500,7662500,-1892,top_formation
437500,7662500,-1949,top_formation
442500,7662500,-1991,top_formation
447500,7662500,-2030,top_formation
452500,7662500,-2080,top_formation
457500,7662500,-2152,top_formation
462500,7662500,-2191,top_formation
467500,7662500,-2220,top_formation
472500,7662500,-2190,top_formation
477500,7662500,-2177,top_formation
482500,7662500,-2368,top_formation
487500,7662500,-2400,top_formation
492500,7662500,-2418,top_formation
497500,7662500,-2394,top_formation
502500,7662500,-2486,top_formation
507500,7662500,-2496,top_formation
512500,7662500,-2443,top_formation
517500,7662500,-2495,top_formation
522500,7662500,-2561,top_formation
527500,7662500,-2626,top_formation
532500,7662500,-2832,top_formation
537500,7662500,-2843,top_formation
542500,7662500,-2804,top_formation
547500,7662500,-2859,top_formation
552500,7662500,-2907,top_formation
557500,7662500,-3206,top_formation
562500,7662500,-3510,top_formation
567500,7662500,-3274,top_formation
572500,7662500,-3245,top_formation
577500,7662500,-3278,top_formation
402500,7667500,-1549,top_formation
407500,7667500,-1608,top_formation
412500,7667500,-1654,top_formation
417500,7667500,-1705,top_formation
422500,7667500,-1760,top_formation
427500,7667500,-1814,top_formation
432500,7667500,-1876,top_formation
437500,7667500,-1940,top_formation
442500,7667500,-1977,top_formation
447500,7667500,-2006,top_formation
452500,7667500,-2087,top_formation
457500,7667500,-2164,top_formation
462500,7667500,-2194,top_formation
467500,7667500,-2215,top_formation
472500,7667500,-2242,top_formation
477500,7667500,-2233,top_formation
482500,7667500,-2334,top_formation
487500,7667500,-2383,top_formation
492500,7667500,-2411,top_formation
497500,7667500,-2333,top_formation
502500,7667500,-2442,top_formation
507500,7667500,-2487,top_formation
512500,7667500,-2455,top_formation
517500,7667500,-2525,top_formation
522500,7667500,-2564,top_formation
527500,7667500,-2647,top_formation
532500,7667500,-2854,top_formation
537500,7667500,-2858,top_formation
542500,7667500,-2843,top_formation
547500,7667500,-2858,top_formation
552500,7667500,-2937,top_formation
557500,7667500,-3019,top_formation
562500,7667500,-3244,top_formation
567500,7667500,-3224,top_formation
572500,7667500,-3213,top_formation
577500,7667500,-3234,top_formation
402500,7672500,-1566,top_formation
407500,7672500,-1626,top_formation
412500,7672500,-1661,top_formation
417500,7672500,-1708,top_formation
422500,7672500,-1754,top_formation
427500,7672500,-1816,top_formation
432500,7672500,-1878,top_formation
437500,7672500,-1933,top_formation
442500,7672500,-1984,top_formation
447500,7672500,-2020,top_formation
452500,7672500,-2095,top_formation
457500,7672500,-2148,top_formation
462500,7672500,-2173,top_formation
467500,7672500,-2189,top_formation
472500,7672500,-2259,top_formation
477500,7672500,-2289,top_formation
482500,7672500,-2299,top_formation
487500,7672500,-2362,top_formation
492500,7672500,-2388,top_formation
497500,7672500,-2344,top_formation
502500,7672500,-2427,top_formation
507500,7672500,-2460,top_formation
512500,7672500,-2501,top_formation
517500,7672500,-2570,top_formation
522500,7672500,-2625,top_formation
527500,7672500,-2818,top_formation
532500,7672500,-2860,top_formation
537500,7672500,-2864,top_formation
542500,7672500,-2868,top_formation
547500,7672500,-2838,top_formation
552500,7672500,-2916,top_formation
557500,7672500,-3004,top_formation
562500,7672500,-3202,top_formation
567500,7672500,-3186,top_formation
572500,7672500,-3164,top_formation
577500,7672500,-3194,top_formation
402500,7677500,-1546,top_formation
407500,7677500,-1642,top_formation
412500,7677500,-1706,top_formation
417500,7677500,-1749,top_formation
422500,7677500,-1795,top_formation
427500,7677500,-1842,top_formation
432500,7677500,-1886,top_formation
437500,7677500,-1936,top_formation
442500,7677500,-1982,top_formation
447500,7677500,-2036,top_formation
452500,7677500,-2090,top_formation
457500,7677500,-2129,top_formation
462500,7677500,-2163,top_formation
