X,Y,Z,formation
402500,7652500,-4440,Horizon_18
407500,7652500,-4927,Horizon_18
412500,7652500,-5094,Horizon_18
417500,7652500,-5005,Horizon_18
422500,7652500,-5053,Horizon_18
427500,7652500,-4962,Horizon_18
432500,7652500,-4982,Horizon_18
437500,7652500,-5569,Horizon_18
442500,7652500,-5272,Horizon_18
447500,7652500,-5595,Horizon_18
452500,7652500,-5596,Horizon_18
457500,7652500,-5505,Horizon_18
462500,7652500,-5705,Horizon_18
467500,7652500,-4344,Horizon_18
472500,7652500,-3279,Horizon_18
477500,7652500,-4258,Horizon_18
482500,7652500,-5176,Horizon_18
487500,7652500,-6168,Horizon_18
492500,7652500,-6168,Horizon_18
497500,7652500,-4695,Horizon_18
502500,7652500,-5459,Horizon_18
507500,7652500,-4201,Horizon_18
512500,7652500,-4337,Horizon_18
517500,7652500,-5824,Horizon_18
522500,7652500,-6802,Horizon_18
527500,7652500,-6753,Horizon_18
532500,7652500,-6942,Horizon_18
537500,7652500,-5576,Horizon_18
542500,7652500,-4372,Horizon_18
547500,7652500,-3874,Horizon_18
552500,7652500,-5549,Horizon_18
557500,7652500,-6884,Horizon_18
562500,7652500,-6822,Horizon_18
567500,7652500,-6575,Horizon_18
572500,7652500,-6422,Horizon_18
577500,7652500,-6260,Horizon_18
402500,7657500,-4422,Horizon_18
407500,7657500,-4701,Horizon_18
412500,7657500,-5322,Horizon_18
417500,7657500,-5204,Horizon_18
422500,7657500,-4998,Horizon_18
427500,7657500,-4933,Horizon_18
432500,7657500,-5062,Horizon_18
437500,7657500,-5237,Horizon_18
442500,7657500,-5309,Horizon_18
447500,7657500,-5541,Horizon_18
452500,7657500,-4974,Horizon_18
457500,7657500,-4794,Horizon_18
462500,7657500,-4816,Horizon_18
467500,7657500,-4721,Horizon_18
472500,7657500,-3294,Horizon_18
477500,7657500,-4187,Horizon_18
482500,7657500,-6389,Horizon_18
487500,7657500,-5344,Horizon_18
492500,7657500,-4373,Horizon_18
497500,7657500,-4104,Horizon_18
502500,7657500,-5045,Horizon_18
507500,7657500,-3840,Horizon_18
512500,7657500,-3599,Horizon_18
517500,7657500,-5349,Horizon_18
522500,7657500,-6836,Horizon_18
527500,7657500,-6699,Horizon_18
532500,7657500,-6066,Horizon_18
537500,7657500,-5805,Horizon_18
542500,7657500,-4665,Horizon_18
547500,7657500,-4493,Horizon_18
552500,7657500,-5794,Horizon_18
557500,7657500,-7198,Horizon_18
562500,7657500,-7226,Horizon_18
567500,7657500,-7021,Horizon_18
572500,7657500,-6811,Horizon_18
577500,7657500,-6784,Horizon_18
402500,7662500,-4524,Horizon_18
407500,7662500,-4520,Horizon_18
412500,7662500,-5102,Horizon_18
417500,7662500,-5187,Horizon_18
422500,7662500,-5001,Horizon_18
427500,7662500,-5024,Horizon_18
432500,7662500,-5058,Horizon_18
437500,7662500,-5071,Horizon_18
442500,7662500,-5269,Horizon_18
447500,7662500,-4588,Horizon_18
452500,7662500,-4457,Horizon_18
457500,7662500,-5570,Horizon_18
462500,7662500,-5100,Horizon_18
467500,7662500,-4806,Horizon_18
472500,7662500,-4086,Horizon_18
477500,7662500,-4443,Horizon_18
482500,7662500,-5774,Horizon_18
487500,7662500,-4186,Horizon_18
492500,7662500,-5082,Horizon_18
497500,7662500,-4906,Horizon_18
502500,7662500,-6952,Horizon_18
507500,7662500,-4972,Horizon_18
512500,7662500,-3613,Horizon_18
517500,7662500,-4589,Horizon_18
522500,7662500,-7240,Horizon_18
527500,7662500,-5772,Horizon_18
532500,7662500,-6861,Horizon_18
537500,7662500,-5322,Horizon_18
542500,7662500,-4420,Horizon_18
547500,7662500,-4856,Horizon_18
552500,7662500,-4903,Horizon_18
557500,7662500,-6949,Horizon_18
562500,7662500,-7685,Horizon_18
567500,7662500,-7378,Horizon_18
572500,7662500,-7139,Horizon_18
577500,7662500,-7301,Horizon_18
402500,7667500,-4249,Horizon_18
407500,7667500,-4470,Horizon_18
412500,7667500,-4851,Horizon_18
417500,7667500,-5097,Horizon_18
422500,7667500,-5205,Horizon_18
427500,7667500,-5062,Horizon_18
432500,7667500,-4571,Horizon_18
437500,7667500,-4977,Horizon_18
442500,7667500,-5337,Horizon_18
447500,7667500,-4714,Horizon_18
452500,7667500,-4908,Horizon_18
457500,7667500,-6015,Horizon_18
462500,7667500,-5436,Horizon_18
467500,7667500,-5323,Horizon_18
472500,7667500,-6142,Horizon_18
477500,7667500,-4619,Horizon_18
482500,7667500,-5820,Horizon_18
487500,7667500,-5201,Horizon_18
492500,7667500,-5254,Horizon_18
497500,7667500,-5385,Horizon_18
502500,7667500,-8059,Horizon_18
507500,7667500,-5950,Horizon_18
512500,7667500,-3919,Horizon_18
517500,7667500,-4510,Horizon_18
522500,7667500,-6287,Horizon_18
527500,7667500,-5384,Horizon_18
532500,7667500,-7624,Horizon_18
537500,7667500,-7365,Horizon_18
542500,7667500,-5306,Horizon_18
