X,Y,Z,formation
0,0,-1503,top_formation
5000,0,-1574,top_formation
10000,0,-1645,top_formation
15000,0,-1720,top_formation
20000,0,-1786,top_formation
25000,0,-1860,top_formation
30000,0,-1933,top_formation
35000,0,-2015,top_formation
40000,0,-2075,top_formation
44999,0,-2112,top_formation
50000,0,-2156,top_formation
55000,0,-2194,top_formation
60000,0,-2218,top_formation
65000,0,-2180,top_formation
70000,0,-2147,top_formation
75000,0,-2258,top_formation
80000,0,-2383,top_formation
85000,0,-2418,top_formation
89999,0,-2418,top_formation
95000,0,-2422,top_formation
100000,0,-2513,top_formation
105000,0,-2528,top_formation
110000,0,-2515,top_formation
115000,0,-2641,top_formation
120000,0,-2721,top_formation
125000,0,-2751,top_formation
130000,0,-2806,top_formation
135000,0,-2793,top_formation
140000,0,-2774,top_formation
145000,0,-2820,top_formation
150000,0,-2877,top_formation
155000,0,-3156,top_formation
160000,0,-3399,top_formation
165000,0,-3370,top_formation
170000,0,-3338,top_formation
175000,0,-3374,top_formation
0,5000,-1514,top_formation
5000,5000,-1575,top_formation
10000,5000,-1636,top_formation
15000,5000,-1698,top_formation
20000,5000,-1762,top_formation
25000,5000,-1835,top_formation
30000,5000,-1893,top_formation
35000,5000,-1955,top_formation
40000,5000,-2022,top_formation
44999,5000,-2083,top_formation
50000,5000,-2122,top_formation
55000,5000,-2169,top_formation
60000,5000,-2194,top_formation
65000,5000,-2220,top_formation
70000,5000,-2162,top_formation
75000,5000,-2186,top_formation
80000,5000,-2358,top_formation
85000,5000,-2412,top_formation
89999,5000,-2398,top_formation
95000,5000,-2403,top_formation
100000,5000,-2500,top_formation
105000,5000,-2483,top_formation
110000,5000,-2442,top_formation
115000,5000,-2676,top_formation
120000,5000,-2645,top_formation
125000,5000,-2660,top_formation
130000,5000,-2812,top_formation
135000,5000,-2828,top_formation
140000,5000,-2805,top_formation
145000,5000,-2879,top_formation
150000,5000,-2904,top_formation
155000,5000,-3190,top_formation
160000,5000,-3504,top_formation
165000,5000,-3327,top_formation
170000,5000,-3295,top_formation
175000,5000,-3343,top_formation
0,10000,-1529,top_formation
5000,10000,-1583,top_formation
10000,10000,-1634,top_formation
15000,10000,-1695,top_formation
20000,10000,-1754,top_formation
25000,10000,-1825,top_formation
30000,10000,-1892,top_formation
35000,10000,-1949,top_formation
40000,10000,-1991,top_formation
44999,10000,-2030,top_formation
50000,10000,-2080,top_formation
55000,10000,-2152,top_formation
60000,10000,-2191,top_formation
65000,10000,-2220,top_formation
70000,10000,-2190,top_formation
75000,10000,-2177,top_formation
80000,10000,-2368,top_formation
85000,10000,-2400,top_formation
89999,10000,-2418,top_formation
95000,10000,-2394,top_formation
100000,10000,-2486,top_formation
105000,10000,-2496,top_formation
110000,10000,-2443,top_formation
115000,10000,-2495,top_formation
120000,10000,-2561,top_formation
125000,10000,-2626,top_formation
130000,10000,-2832,top_formation
135000,10000,-2843,top_formation
140000,10000,-2804,top_formation
145000,10000,-2859,top_formation
150000,10000,-2907,top_formation
155000,10000,-3206,top_formation
160000,10000,-3510,top_formation
165000,10000,-3274,top_formation
170000,10000,-3245,top_formation
175000,10000,-3278,top_formation
0,15000,-1549,top_formation
5000,15000,-1608,top_formation
10000,15000,-1654,top_formation
15000,15000,-1705,top_formation
20000,15000,-1760,top_formation
25000,15000,-1814,top_formation
30000,15000,-1876,top_formation
35000,15000,-1940,top_formation
40000,15000,-1977,top_formation
44999,15000,-2006,top_formation
50000,15000,-2087,top_formation
55000,15000,-2164,top_formation
60000,15000,-2194,top_formation
65000,15000,-2215,top_formation
70000,15000,-2242,top_formation
75000,15000,-2233,top_formation
80000,15000,-2334,top_formation
85000,15000,-2383,top_formation
89999,15000,-2411,top_formation
95000,15000,-2333,top_formation
100000,15000,-2442,top_formation
105000,15000,-2487,top_formation
110000,15000,-2455,top_formation
115000,15000,-2525,top_formation
120000,15000,-2564,top_formation
125000,15000,-2647,top_formation
130000,15000,-2854,top_formation
135000,15000,-2858,top_formation
140000,15000,-2843,top_formation
145000,15000,-2858,top_formation
150000,15000,-2937,top_formation
155000,15000,-3019,top_formation
160000,15000,-3244,top_formation
165000,15000,-3224,top_formation
170000,15000,-3213,top_formation
175000,15000,-3234,top_formation
0,20000,-1566,top_formation
5000,20000,-1626,top_formation
10000,20000,-1661,top_formation
15000,20000,-1708,top_formation
20000,20000,-1754,top_formation
25000,20000,-1816,top_formation
30000,20000,-1878,top_formation
35000,20000,-1933,top_formation
40000,20000,-1984,top_formation
44999,20000,-2020,top_formation
50000,20000,-2095,top_formation
55000,20000,-2148,top_formation
60000,20000,-2173,top_formation
65000,20000,-2189,top_formation
70000,20000,-2259,top_formation
75000,20000,-2289,top_formation
80000,20000,-2299,top_formation
85000,20000,-2362,top_formation
89999,20000,-2388,top_formation
95000,20000,-2344,top_formation
100000,20000,-2427,top_formation
105000,20000,-2460,top_formation
110000,20000,-2501,top_formation
115000,20000,-2570,top_formation
120000,20000,-2625,top_formation
125000,20000,-2818,top_formation
130000,20000,-2860,top_formation
135000,20000,-2864,top_formation
140000,20000,-2868,top_formation
145000,20000,-2838,top_formation
150000,20000,-2916,top_formation
155000,20000,-3004,top_formation
160000,20000,-3202,top_formation
165000,20000,-3186,top_formation
170000,20000,-3164,top_formation
175000,20000,-3194,top_formation
0,25000,-1546,top_formation
5000,25000,-1642,top_formation
10000,25000,-1706,top_formation
15000,25000,-1749,top_formation
20000,25000,-1795,top_formation
25000,25000,-1842,top_formation
30000,25000,-1886,top_formation
35000,25000,-1936,top_formation
40000,25000,-1982,top_formation
44999,25000,-2036,top_formation
50000,25000,-2090,top_formation
55000,25000,-2129,top_formation
60000,25000,-2163,top_formation
65000,25000,-2193,top_formation
70000,25000,-2252,top_formation
75000,25000,-2277,top_formation
80000,25000,-2279,top_formation
85000,25000,-2359,top_formation
89999,25000,-2345,top_formation
95000,25000,-2395,top_formation
100000,25000,-2424,top_formation
105000,25000,-2466,top_formation
