X,Y,Z,formation
0.0,0.0,-1503,Horizon_1
5000.0,0.0,-1574,Horizon_1
5000.0,0.0,-1574,Horizon_1
10000.0,0.0,-1645,Horizon_1
10000.0,0.0,-1645,Horizon_1
15000.0,0.0,-1720,Horizon_1
15000.0,0.0,-1720,Horizon_1
20000.0,0.0,-1786,Horizon_1
20000.0,0.0,-1786,Horizon_1
25000.0,0.0,-1860,Horizon_1
25000.0,0.0,-1860,Horizon_1
30000.0,0.0,-1933,Horizon_1
30000.0,0.0,-1933,Horizon_1
35000.0,0.0,-2015,Horizon_1
35000.0,0.0,-2015,Horizon_1
40000.0,0.0,-2075,Horizon_1
40000.0,0.0,-2075,Horizon_1
45000.0,0.0,-2112,Horizon_1
45000.0,0.0,-2112,Horizon_1
50000.0,0.0,-2156,Horizon_1
50000.0,0.0,-2156,Horizon_1
55000.0,0.0,-2194,Horizon_1
55000.0,0.0,-2194,Horizon_1
60000.0,0.0,-2218,Horizon_1
60000.0,0.0,-2218,Horizon_1
65000.0,0.0,-2180,Horizon_1
65000.0,0.0,-2180,Horizon_1
70000.0,0.0,-2147,Horizon_1
70000.0,0.0,-2147,Horizon_1
75000.0,0.0,-2258,Horizon_1
75000.0,0.0,-2258,Horizon_1
80000.0,0.0,-2383,Horizon_1
80000.0,0.0,-2383,Horizon_1
85000.0,0.0,-2418,Horizon_1
85000.0,0.0,-2418,Horizon_1
90000.0,0.0,-2418,Horizon_1
90000.0,0.0,-2418,Horizon_1
95000.0,0.0,-2422,Horizon_1
95000.0,0.0,-2422,Horizon_1
100000.0,0.0,-2513,Horizon_1
100000.0,0.0,-2513,Horizon_1
105000.0,0.0,-2528,Horizon_1
105000.0,0.0,-2528,Horizon_1
110000.0,0.0,-2515,Horizon_1
110000.0,0.0,-2515,Horizon_1
115000.0,0.0,-2641,Horizon_1
115000.0,0.0,-2641,Horizon_1
120000.0,0.0,-2721,Horizon_1
120000.0,0.0,-2721,Horizon_1
125000.0,0.0,-2751,Horizon_1
125000.0,0.0,-2751,Horizon_1
130000.0,0.0,-2806,Horizon_1
130000.0,0.0,-2806,Horizon_1
135000.0,0.0,-2793,Horizon_1
135000.0,0.0,-2793,Horizon_1
140000.0,0.0,-2774,Horizon_1
140000.0,0.0,-2774,Horizon_1
145000.0,0.0,-2820,Horizon_1
145000.0,0.0,-2820,Horizon_1
150000.0,0.0,-2877,Horizon_1
150000.0,0.0,-2877,Horizon_1
155000.0,0.0,-3156,Horizon_1
155000.0,0.0,-3156,Horizon_1
160000.0,0.0,-3399,Horizon_1
160000.0,0.0,-3399,Horizon_1
165000.0,0.0,-3370,Horizon_1
165000.0,0.0,-3370,Horizon_1
170000.0,0.0,-3338,Horizon_1
170000.0,0.0,-3338,Horizon_1
175000.0,0.0,-3374,Horizon_1
0.0,5000.0,-1514,Horizon_1
5000.0,5000.0,-1575,Horizon_1
7500.0,5000.0,-1605,Horizon_1
10000.0,5000.0,-1636,Horizon_1
12500.0,5000.0,-1667,Horizon_1
15000.0,5000.0,-1698,Horizon_1
17500.0,5000.0,-1730,Horizon_1
20000.0,5000.0,-1762,Horizon_1
22500.0,5000.0,-1798,Horizon_1
25000.0,5000.0,-1835,Horizon_1
27500.0,5000.0,-1864,Horizon_1
30000.0,5000.0,-1893,Horizon_1
32500.0,5000.0,-1924,Horizon_1
35000.0,5000.0,-1955,Horizon_1
37500.0,5000.0,-1988,Horizon_1
40000.0,5000.0,-2022,Horizon_1
42500.0,5000.0,-2052,Horizon_1
45000.0,5000.0,-2083,Horizon_1
47500.0,5000.0,-2103,Horizon_1
50000.0,5000.0,-2122,Horizon_1
52500.0,5000.0,-2146,Horizon_1
55000.0,5000.0,-2169,Horizon_1
57500.0,5000.0,-2182,Horizon_1
60000.0,5000.0,-2194,Horizon_1
62500.0,5000.0,-2207,Horizon_1
65000.0,5000.0,-2220,Horizon_1
67500.0,5000.0,-2191,Horizon_1
70000.0,5000.0,-2162,Horizon_1
72500.0,5000.0,-2174,Horizon_1
75000.0,5000.0,-2186,Horizon_1
77500.0,5000.0,-2272,Horizon_1
80000.0,5000.0,-2358,Horizon_1
82500.0,5000.0,-2385,Horizon_1
85000.0,5000.0,-2412,Horizon_1
87500.0,5000.0,-2405,Horizon_1
90000.0,5000.0,-2398,Horizon_1
92500.0,5000.0,-2401,Horizon_1
95000.0,5000.0,-2403,Horizon_1
97500.0,5000.0,-2452,Horizon_1
100000.0,5000.0,-2500,Horizon_1
102500.0,5000.0,-2492,Horizon_1
105000.0,5000.0,-2483,Horizon_1
107500.0,5000.0,-2463,Horizon_1
110000.0,5000.0,-2442,Horizon_1
112500.0,5000.0,-2559,Horizon_1
115000.0,5000.0,-2676,Horizon_1
117500.0,5000.0,-2660,Horizon_1
120000.0,5000.0,-2645,Horizon_1
122500.0,5000.0,-2652,Horizon_1
125000.0,5000.0,-2660,Horizon_1
127500.0,5000.0,-2736,Horizon_1
130000.0,5000.0,-2812,Horizon_1
132500.0,5000.0,-2820,Horizon_1
135000.0,5000.0,-2828,Horizon_1
137500.0,5000.0,-2817,Horizon_1
140000.0,5000.0,-2805,Horizon_1
142500.0,5000.0,-2842,Horizon_1
145000.0,5000.0,-2879,Horizon_1
147500.0,5000.0,-2892,Horizon_1
150000.0,5000.0,-2904,Horizon_1
152500.0,5000.0,-3047,Horizon_1
155000.0,5000.0,-3190,Horizon_1
157500.0,5000.0,-3347,Horizon_1
160000.0,5000.0,-3504,Horizon_1
162500.0,5000.0,-3416,Horizon_1
165000.0,5000.0,-3327,Horizon_1
167500.0,5000.0,-3311,Horizon_1
170000.0,5000.0,-3295,Horizon_1
172500.0,5000.0,-3319,Horizon_1
175000.0,5000.0,-3343,Horizon_1
0.0,5000.0,-1514,Horizon_1
5000.0,7500.0,-1579,Horizon_1
7500.0,7500.0,-1609,Horizon_1
10000.0,7500.0,-1635,Horizon_1
12500.0,7500.0,-1666,Horizon_1
15000.0,7500.0,-1696,Horizon_1
17500.0,7500.0,-1728,Horizon_1
20000.0,7500.0,-1758,Horizon_1
22500.0,7500.0,-1794,Horizon_1
25000.0,7500.0,-1830,Horizon_1
27500.0,7500.0,-1859,Horizon_1
30000.0,7500.0,-1892,Horizon_1
32500.0,7500.0,-1924,Horizon_1
35000.0,7500.0,-1952,Horizon_1
37500.0,7500.0,-1985,Horizon_1
40000.0,7500.0,-2006,Horizon_1
42500.0,7500.0,-2037,Horizon_1
45000.0,7500.0,-2057,Horizon_1
47500.0,7500.0,-2076,Horizon_1
50000.0,7500.0,-2101,Horizon_1
52500.0,7500.0,-2125,Horizon_1
55000.0,7500.0,-2161,Horizon_1
57500.0,7500.0,-2173,Horizon_1
60000.0,7500.0,-2192,Horizon_1
62500.0,7500.0,-2205,Horizon_1
65000.0,7500.0,-2220,Horizon_1
67500.0,7500.0,-2191,Horizon_1
70000.0,7500.0,-2176,Horizon_1
72500.0,7500.0,-2188,Horizon_1
75000.0,7500.0,-2181,Horizon_1
77500.0,7500.0,-2268,Horizon_1
80000.0,7500.0,-2363,Horizon_1
82500.0,7500.0,-2390,Horizon_1
85000.0,7500.0,-2406,Horizon_1
87500.0,7500.0,-2399,Horizon_1
90000.0,7500.0,-2408,Horizon_1
92500.0,7500.0,-2411,Horizon_1
95000.0,7500.0,-2399,Horizon_1
97500.0,7500.0,-2447,Horizon_1
100000.0,7500.0,-2493,Horizon_1
102500.0,7500.0,-2485,Horizon_1
105000.0,7500.0,-2490,Horizon_1
107500.0,7500.0,-2469,Horizon_1
110000.0,7500.0,-2443,Horizon_1
112500.0,7500.0,-2559,Horizon_1
115000.0,7500.0,-2585,Horizon_1
117500.0,7500.0,-2570,Horizon_1
120000.0,7500.0,-2603,Horizon_1
122500.0,7500.0,-2610,Horizon_1
125000.0,7500.0,-2643,Horizon_1
127500.0,7500.0,-2719,Horizon_1
130000.0,7500.0,-2822,Horizon_1
132500.0,7500.0,-2830,Horizon_1
135000.0,7500.0,-2835,Horizon_1
137500.0,7500.0,-2824,Horizon_1
140000.0,7500.0,-2805,Horizon_1
142500.0,7500.0,-2841,Horizon_1
145000.0,7500.0,-2869,Horizon_1
147500.0,7500.0,-2882,Horizon_1
150000.0,7500.0,-2906,Horizon_1
152500.0,7500.0,-3049,Horizon_1
155000.0,7500.0,-3198,Horizon_1
157500.0,7500.0,-3355,Horizon_1
160000.0,7500.0,-3507,Horizon_1
162500.0,7500.0,-3419,Horizon_1
165000.0,7500.0,-3300,Horizon_1
167500.0,7500.0,-3284,Horizon_1
170000.0,7500.0,-3270,Horizon_1
172500.0,7500.0,-3294,Horizon_1
175000.0,5000.0,-3343,Horizon_1
0.0,10000.0,-1529,Horizon_1
5000.0,10000.0,-1583,Horizon_1
7500.0,10000.0,-1608,Horizon_1
10000.0,10000.0,-1634,Horizon_1
12500.0,10000.0,-1665,Horizon_1
15000.0,10000.0,-1695,Horizon_1
17500.0,10000.0,-1724,Horizon_1
20000.0,10000.0,-1754,Horizon_1
22500.0,10000.0,-1789,Horizon_1
25000.0,10000.0,-1825,Horizon_1
27500.0,10000.0,-1858,Horizon_1
30000.0,10000.0,-1892,Horizon_1
32500.0,10000.0,-1920,Horizon_1
35000.0,10000.0,-1949,Horizon_1
37500.0,10000.0,-1970,Horizon_1
40000.0,10000.0,-1991,Horizon_1
42500.0,10000.0,-2011,Horizon_1
45000.0,10000.0,-2030,Horizon_1
47500.0,10000.0,-2055,Horizon_1
50000.0,10000.0,-2080,Horizon_1
52500.0,10000.0,-2116,Horizon_1
55000.0,10000.0,-2152,Horizon_1
57500.0,10000.0,-2171,Horizon_1
60000.0,10000.0,-2191,Horizon_1
62500.0,10000.0,-2206,Horizon_1
65000.0,10000.0,-2220,Horizon_1
67500.0,10000.0,-2205,Horizon_1
70000.0,10000.0,-2190,Horizon_1
72500.0,10000.0,-2183,Horizon_1
75000.0,10000.0,-2177,Horizon_1
77500.0,10000.0,-2273,Horizon_1
80000.0,10000.0,-2368,Horizon_1
82500.0,10000.0,-2384,Horizon_1
85000.0,10000.0,-2400,Horizon_1
87500.0,10000.0,-2409,Horizon_1
90000.0,10000.0,-2418,Horizon_1
92500.0,10000.0,-2406,Horizon_1
95000.0,10000.0,-2394,Horizon_1
97500.0,10000.0,-2440,Horizon_1
100000.0,10000.0,-2486,Horizon_1
102500.0,10000.0,-2491,Horizon_1
105000.0,10000.0,-2496,Horizon_1
107500.0,10000.0,-2470,Horizon_1
110000.0,10000.0,-2443,Horizon_1
112500.0,10000.0,-2469,Horizon_1
115000.0,10000.0,-2495,Horizon_1
117500.0,10000.0,-2528,Horizon_1
120000.0,10000.0,-2561,Horizon_1
122500.0,10000.0,-2593,Horizon_1
125000.0,10000.0,-2626,Horizon_1
127500.0,10000.0,-2729,Horizon_1
130000.0,10000.0,-2832,Horizon_1
132500.0,10000.0,-2837,Horizon_1
135000.0,10000.0,-2843,Horizon_1
137500.0,10000.0,-2823,Horizon_1
140000.0,10000.0,-2804,Horizon_1
142500.0,10000.0,-2832,Horizon_1
145000.0,10000.0,-2859,Horizon_1
147500.0,10000.0,-2883,Horizon_1
150000.0,10000.0,-2907,Horizon_1
152500.0,10000.0,-3056,Horizon_1
155000.0,10000.0,-3206,Horizon_1
157500.0,10000.0,-3358,Horizon_1
160000.0,10000.0,-3510,Horizon_1
162500.0,10000.0,-3392,Horizon_1
165000.0,10000.0,-3274,Horizon_1
167500.0,10000.0,-3259,Horizon_1
170000.0,10000.0,-3245,Horizon_1
172500.0,10000.0,-3261,Horizon_1
175000.0,10000.0,-3278,Horizon_1
0.0,10000.0,-1529,Horizon_1
5000.0,12500.0,-1595,Horizon_1
7500.0,12500.0,-1621,Horizon_1
10000.0,12500.0,-1644,Horizon_1
12500.0,12500.0,-1675,Horizon_1
15000.0,12500.0,-1700,Horizon_1
17500.0,12500.0,-1730,Horizon_1
20000.0,12500.0,-1757,Horizon_1
22500.0,12500.0,-1793,Horizon_1
25000.0,12500.0,-1820,Horizon_1
27500.0,12500.0,-1853,Horizon_1
30000.0,12500.0,-1884,Horizon_1
32500.0,12500.0,-1912,Horizon_1
35000.0,12500.0,-1944,Horizon_1
37500.0,12500.0,-1965,Horizon_1
40000.0,12500.0,-1984,Horizon_1
42500.0,12500.0,-2004,Horizon_1
45000.0,12500.0,-2018,Horizon_1
47500.0,12500.0,-2043,Horizon_1
50000.0,12500.0,-2083,Horizon_1
52500.0,12500.0,-2119,Horizon_1
55000.0,12500.0,-2158,Horizon_1
57500.0,12500.0,-2177,Horizon_1
60000.0,12500.0,-2192,Horizon_1
62500.0,12500.0,-2207,Horizon_1
65000.0,12500.0,-2218,Horizon_1
67500.0,12500.0,-2202,Horizon_1
70000.0,12500.0,-2216,Horizon_1
72500.0,12500.0,-2209,Horizon_1
75000.0,12500.0,-2205,Horizon_1
77500.0,12500.0,-2301,Horizon_1
80000.0,12500.0,-2351,Horizon_1
82500.0,12500.0,-2367,Horizon_1
85000.0,12500.0,-2391,Horizon_1
87500.0,12500.0,-2400,Horizon_1
90000.0,12500.0,-2415,Horizon_1
92500.0,12500.0,-2403,Horizon_1
95000.0,12500.0,-2363,Horizon_1
97500.0,12500.0,-2409,Horizon_1
100000.0,12500.0,-2464,Horizon_1
102500.0,12500.0,-2469,Horizon_1
105000.0,12500.0,-2491,Horizon_1
107500.0,12500.0,-2465,Horizon_1
110000.0,12500.0,-2449,Horizon_1
112500.0,12500.0,-2475,Horizon_1
115000.0,12500.0,-2510,Horizon_1
117500.0,12500.0,-2543,Horizon_1
120000.0,12500.0,-2562,Horizon_1
122500.0,12500.0,-2595,Horizon_1
125000.0,12500.0,-2636,Horizon_1
127500.0,12500.0,-2739,Horizon_1
130000.0,12500.0,-2843,Horizon_1
132500.0,12500.0,-2849,Horizon_1
135000.0,12500.0,-2850,Horizon_1
137500.0,12500.0,-2831,Horizon_1
140000.0,12500.0,-2823,Horizon_1
142500.0,12500.0,-2851,Horizon_1
145000.0,12500.0,-2859,Horizon_1
147500.0,12500.0,-2882,Horizon_1
150000.0,12500.0,-2922,Horizon_1
152500.0,12500.0,-3072,Horizon_1
155000.0,12500.0,-3113,Horizon_1
157500.0,12500.0,-3264,Horizon_1
160000.0,12500.0,-3377,Horizon_1
162500.0,12500.0,-3259,Horizon_1
165000.0,12500.0,-3249,Horizon_1
167500.0,12500.0,-3235,Horizon_1
170000.0,12500.0,-3229,Horizon_1
172500.0,12500.0,-3245,Horizon_1
175000.0,10000.0,-3278,Horizon_1
0.0,15000.0,-1549,Horizon_1
5000.0,15000.0,-1608,Horizon_1
7500.0,15000.0,-1631,Horizon_1
10000.0,15000.0,-1654,Horizon_1
12500.0,15000.0,-1680,Horizon_1
15000.0,15000.0,-1705,Horizon_1
17500.0,15000.0,-1733,Horizon_1
20000.0,15000.0,-1760,Horizon_1
22500.0,15000.0,-1787,Horizon_1
25000.0,15000.0,-1814,Horizon_1
27500.0,15000.0,-1845,Horizon_1
30000.0,15000.0,-1876,Horizon_1
32500.0,15000.0,-1908,Horizon_1
35000.0,15000.0,-1940,Horizon_1
37500.0,15000.0,-1959,Horizon_1
40000.0,15000.0,-1977,Horizon_1
42500.0,15000.0,-1992,Horizon_1
45000.0,15000.0,-2006,Horizon_1
47500.0,15000.0,-2046,Horizon_1
50000.0,15000.0,-2087,Horizon_1
52500.0,15000.0,-2125,Horizon_1
55000.0,15000.0,-2164,Horizon_1
57500.0,15000.0,-2179,Horizon_1
60000.0,15000.0,-2194,Horizon_1
62500.0,15000.0,-2204,Horizon_1
65000.0,15000.0,-2215,Horizon_1
67500.0,15000.0,-2228,Horizon_1
70000.0,15000.0,-2242,Horizon_1
72500.0,15000.0,-2237,Horizon_1
75000.0,15000.0,-2233,Horizon_1
77500.0,15000.0,-2283,Horizon_1
80000.0,15000.0,-2334,Horizon_1
82500.0,15000.0,-2358,Horizon_1
85000.0,15000.0,-2383,Horizon_1
87500.0,15000.0,-2397,Horizon_1
90000.0,15000.0,-2411,Horizon_1
92500.0,15000.0,-2372,Horizon_1
95000.0,15000.0,-2333,Horizon_1
97500.0,15000.0,-2387,Horizon_1
100000.0,15000.0,-2442,Horizon_1
102500.0,15000.0,-2464,Horizon_1
105000.0,15000.0,-2487,Horizon_1
107500.0,15000.0,-2471,Horizon_1
110000.0,15000.0,-2455,Horizon_1
112500.0,15000.0,-2490,Horizon_1
115000.0,15000.0,-2525,Horizon_1
117500.0,15000.0,-2544,Horizon_1
120000.0,15000.0,-2564,Horizon_1
122500.0,15000.0,-2606,Horizon_1
125000.0,15000.0,-2647,Horizon_1
127500.0,15000.0,-2751,Horizon_1
130000.0,15000.0,-2854,Horizon_1
132500.0,15000.0,-2856,Horizon_1
135000.0,15000.0,-2858,Horizon_1
137500.0,15000.0,-2850,Horizon_1
140000.0,15000.0,-2843,Horizon_1
142500.0,15000.0,-2850,Horizon_1
145000.0,15000.0,-2858,Horizon_1
147500.0,15000.0,-2898,Horizon_1
150000.0,15000.0,-2937,Horizon_1
152500.0,15000.0,-2978,Horizon_1
155000.0,15000.0,-3019,Horizon_1
157500.0,15000.0,-3132,Horizon_1
160000.0,15000.0,-3244,Horizon_1
162500.0,15000.0,-3234,Horizon_1
165000.0,15000.0,-3224,Horizon_1
167500.0,15000.0,-3219,Horizon_1
170000.0,15000.0,-3213,Horizon_1
172500.0,15000.0,-3224,Horizon_1
175000.0,15000.0,-3234,Horizon_1
0.0,15000.0,-1549,Horizon_1
5000.0,17500.0,-1617,Horizon_1
7500.0,17500.0,-1640,Horizon_1
10000.0,17500.0,-1658,Horizon_1
12500.0,17500.0,-1683,Horizon_1
15000.0,17500.0,-1707,Horizon_1
17500.0,17500.0,-1734,Horizon_1
20000.0,17500.0,-1757,Horizon_1
22500.0,17500.0,-1784,Horizon_1
25000.0,17500.0,-1815,Horizon_1
27500.0,17500.0,-1846,Horizon_1
30000.0,17500.0,-1877,Horizon_1
32500.0,17500.0,-1909,Horizon_1
35000.0,17500.0,-1937,Horizon_1
37500.0,17500.0,-1955,Horizon_1
40000.0,17500.0,-1981,Horizon_1
42500.0,17500.0,-1995,Horizon_1
45000.0,17500.0,-2013,Horizon_1
47500.0,17500.0,-2053,Horizon_1
50000.0,17500.0,-2091,Horizon_1
52500.0,17500.0,-2129,Horizon_1
55000.0,17500.0,-2156,Horizon_1
57500.0,17500.0,-2171,Horizon_1
60000.0,17500.0,-2183,Horizon_1
62500.0,17500.0,-2194,Horizon_1
65000.0,17500.0,-2202,Horizon_1
67500.0,17500.0,-2215,Horizon_1
70000.0,17500.0,-2250,Horizon_1
72500.0,17500.0,-2246,Horizon_1
75000.0,17500.0,-2261,Horizon_1
77500.0,17500.0,-2312,Horizon_1
80000.0,17500.0,-2317,Horizon_1
82500.0,17500.0,-2341,Horizon_1
85000.0,17500.0,-2372,Horizon_1
87500.0,17500.0,-2387,Horizon_1
90000.0,17500.0,-2400,Horizon_1
92500.0,17500.0,-2360,Horizon_1
95000.0,17500.0,-2338,Horizon_1
97500.0,17500.0,-2393,Horizon_1
100000.0,17500.0,-2435,Horizon_1
102500.0,17500.0,-2457,Horizon_1
105000.0,17500.0,-2473,Horizon_1
107500.0,17500.0,-2457,Horizon_1
110000.0,17500.0,-2478,Horizon_1
112500.0,17500.0,-2513,Horizon_1
115000.0,17500.0,-2547,Horizon_1
117500.0,17500.0,-2567,Horizon_1
120000.0,17500.0,-2594,Horizon_1
122500.0,17500.0,-2636,Horizon_1
125000.0,17500.0,-2733,Horizon_1
127500.0,17500.0,-2836,Horizon_1
130000.0,17500.0,-2857,Horizon_1
132500.0,17500.0,-2859,Horizon_1
135000.0,17500.0,-2861,Horizon_1
137500.0,17500.0,-2853,Horizon_1
140000.0,17500.0,-2855,Horizon_1
142500.0,17500.0,-2863,Horizon_1
145000.0,17500.0,-2848,Horizon_1
147500.0,17500.0,-2887,Horizon_1
150000.0,17500.0,-2926,Horizon_1
152500.0,17500.0,-2967,Horizon_1
155000.0,17500.0,-3012,Horizon_1
157500.0,17500.0,-3124,Horizon_1
160000.0,17500.0,-3223,Horizon_1
162500.0,17500.0,-3213,Horizon_1
165000.0,17500.0,-3205,Horizon_1
167500.0,17500.0,-3200,Horizon_1
170000.0,17500.0,-3189,Horizon_1
172500.0,17500.0,-3199,Horizon_1
175000.0,15000.0,-3234,Horizon_1
0.0,20000.0,-1566,Horizon_1
5000.0,20000.0,-1626,Horizon_1
7500.0,20000.0,-1644,Horizon_1
10000.0,20000.0,-1661,Horizon_1
12500.0,20000.0,-1685,Horizon_1
15000.0,20000.0,-1708,Horizon_1
17500.0,20000.0,-1731,Horizon_1
20000.0,20000.0,-1754,Horizon_1
22500.0,20000.0,-1785,Horizon_1
25000.0,20000.0,-1816,Horizon_1
27500.0,20000.0,-1847,Horizon_1
30000.0,20000.0,-1878,Horizon_1
32500.0,20000.0,-1906,Horizon_1
