X,Y,Z,formation
0,0,-1503,Horizon_1
0,0,-4331,Horizon_2
0,0,-4888,Horizon_3
0,0,-5431,Horizon_4
0,0,-5964,Horizon_5
0,0,-6508,Horizon_6
0,0,-7056,Horizon_7
0,0,-7623,Horizon_8
0,0,-8149,Horizon_9
0,0,-8704,Horizon_10
0,0,-9266,Horizon_11
0,0,-9795,Horizon_12
0,0,-10317,Horizon_13
0,0,-10821,Horizon_14
0,0,-11356,Horizon_15
0,0,-11877,Horizon_16
0,0,-12400,Horizon_17
0,0,-12940,Horizon_18
0,0,-13459,Horizon_19
0,0,-13995,Horizon_20
0,0,-14513,Horizon_21
0,0,-15049,Horizon_22
0,0,-15552,Horizon_23
0,0,-16056,Horizon_24
0,0,-16595,Horizon_25
0,0,-17157,Horizon_26
0,0,-17667,Horizon_27
5000,0,-1574,Horizon_1
5000,0,-4897,Horizon_2
5000,0,-5448,Horizon_3
5000,0,-5982,Horizon_4
5000,0,-6506,Horizon_5
5000,0,-7045,Horizon_6
5000,0,-7596,Horizon_7
5000,0,-8146,Horizon_8
5000,0,-8667,Horizon_9
5000,0,-9217,Horizon_10
5000,0,-9770,Horizon_11
5000,0,-10292,Horizon_12
5000,0,-10812,Horizon_13
5000,0,-11314,Horizon_14
5000,0,-11849,Horizon_15
5000,0,-12369,Horizon_16
5000,0,-12891,Horizon_17
5000,0,-13427,Horizon_18
5000,0,-13945,Horizon_19
5000,0,-14480,Horizon_20
5000,0,-14997,Horizon_21
5000,0,-15533,Horizon_22
5000,0,-16035,Horizon_23
5000,0,-16539,Horizon_24
5000,0,-17084,Horizon_25
5000,0,-17636,Horizon_26
5000,0,-18146,Horizon_27
10000,0,-1645,Horizon_1
10000,0,-5010,Horizon_2
10000,0,-5568,Horizon_3
10000,0,-6100,Horizon_4
10000,0,-6631,Horizon_5
10000,0,-7173,Horizon_6
10000,0,-7734,Horizon_7
10000,0,-8281,Horizon_8
10000,0,-8813,Horizon_9
