X,Y,Z,formation
402500,7652500,-4595,Horizon_25
407500,7652500,-5084,Horizon_25
412500,7652500,-5276,Horizon_25
417500,7652500,-5244,Horizon_25
422500,7652500,-5337,Horizon_25
427500,7652500,-5253,Horizon_25
432500,7652500,-5258,Horizon_25
437500,7652500,-5853,Horizon_25
442500,7652500,-5582,Horizon_25
447500,7652500,-5913,Horizon_25
452500,7652500,-5903,Horizon_25
457500,7652500,-5814,Horizon_25
462500,7652500,-6000,Horizon_25
467500,7652500,-4578,Horizon_25
472500,7652500,-3504,Horizon_25
477500,7652500,-4526,Horizon_25
482500,7652500,-5460,Horizon_25
487500,7652500,-6422,Horizon_25
492500,7652500,-6393,Horizon_25
497500,7652500,-4915,Horizon_25
502500,7652500,-5673,Horizon_25
507500,7652500,-4409,Horizon_25
512500,7652500,-4550,Horizon_25
517500,7652500,-6055,Horizon_25
522500,7652500,-6962,Horizon_25
527500,7652500,-6876,Horizon_25
532500,7652500,-7084,Horizon_25
537500,7652500,-5779,Horizon_25
542500,7652500,-4607,Horizon_25
547500,7652500,-4135,Horizon_25
552500,7652500,-5770,Horizon_25
557500,7652500,-7089,Horizon_25
562500,7652500,-7022,Horizon_25
567500,7652500,-6766,Horizon_25
572500,7652500,-6607,Horizon_25
577500,7652500,-6444,Horizon_25
402500,7657500,-4576,Horizon_25
407500,7657500,-4859,Horizon_25
412500,7657500,-5494,Horizon_25
417500,7657500,-5422,Horizon_25
422500,7657500,-5263,Horizon_25
427500,7657500,-5229,Horizon_25
432500,7657500,-5350,Horizon_25
437500,7657500,-5521,Horizon_25
442500,7657500,-5607,Horizon_25
447500,7657500,-5839,Horizon_25
452500,7657500,-5271,Horizon_25
457500,7657500,-5110,Horizon_25
462500,7657500,-5133,Horizon_25
467500,7657500,-4980,Horizon_25
472500,7657500,-3511,Horizon_25
477500,7657500,-4406,Horizon_25
482500,7657500,-6627,Horizon_25
487500,7657500,-5582,Horizon_25
492500,7657500,-4602,Horizon_25
497500,7657500,-4338,Horizon_25
502500,7657500,-5274,Horizon_25
507500,7657500,-4056,Horizon_25
512500,7657500,-3812,Horizon_25
517500,7657500,-5597,Horizon_25
522500,7657500,-7018,Horizon_25
527500,7657500,-6830,Horizon_25
532500,7657500,-6204,Horizon_25
537500,7657500,-6006,Horizon_25
542500,7657500,-4894,Horizon_25
547500,7657500,-4739,Horizon_25
552500,7657500,-6014,Horizon_25
557500,7657500,-7403,Horizon_25
562500,7657500,-7422,Horizon_25
567500,7657500,-7209,Horizon_25
572500,7657500,-6994,Horizon_25
577500,7657500,-6965,Horizon_25
402500,7662500,-4676,Horizon_25
407500,7662500,-4678,Horizon_25
412500,7662500,-5262,Horizon_25
