X,Y,Z,azimuth,dip,polarity,formation
458993.212,7770546.879,-2372.72,0,0,1,h0
421937.866,7788675.622,-151.73,0,0,1,h0
439998.5,7779851.75,-1928.62,0,0,1,h0
449891.375,7775000.875,-2154.54,0,0,1,h0
431530.495,7784001.447,-1567.33,0,0,1,h0
455989.568,7772010.831,-2458.26,0,0,1,h1
423294.416,7788006.178,-950.79,0,0,1,h1
439671.676,7780005.279,-2000.49,0,0,1,h1
447999.926,7775914.63,-2282.6,0,0,1,h1
431423.466,7784056.126,-1708.07,0,0,1,h1
458035.25,7771003.0,-2866.36,0,0,1,h2
423294.416,7788006.178,-1251.15,0,0,1,h2
440998.5,7779346.667,-2412.59,0,0,1,h2
449987.406,7774956.031,-2696.42,0,0,1,h2
431998.748,7783762.223,-2024.78,0,0,1,h2
457994.773,7771022.273,-3093.37,0,0,1,h3
422999.485,7788153.208,-1391.86,0,0,1,h3
439998.5,7779851.75,-2580.49,0,0,1,h3
449891.375,7775000.875,-2849.83,0,0,1,h3
431530.495,7784001.447,-2186.67,0,0,1,h3
457994.773,7771022.273,-3126.9,0,0,1,h4
423994.76,7787664.936,-1751.38,0,0,1,h4
439998.5,7779851.75,-2776.7,0,0,1,h4
449987.406,7774956.031,-2942.79,0,0,1,h4
431998.748,7783762.223,-2477.46,0,0,1,h4
