X,Y,Z,formation
10009,24859,-1405,sea_floor
10009,24859,-1622,h1
10009,24859,-1890,h2
10009,24859,-2082,h3
10009,24859,-2338,h4
11004,24369,-1536,sea_floor
11004,24369,-1667,h1
11004,24369,-1946,h2
11004,24369,-2124,h3
11004,24369,-2397,h4
12001,23880,-1568,sea_floor
12001,23880,-2002,h2
12001,23880,-2188,h3
12001,23880,-2457,h4
13006,23371,-1605,sea_floor
13006,23371,-1780,h1
13006,23371,-2091,h2
13006,23371,-2257,h3
13006,23371,-2508,h4
14007,22895,-1635,sea_floor
14007,22895,-1816,h1
14007,22895,-2164,h2
14007,22895,-2319,h3
14007,22895,-2548,h4
15007,22416,-1668,sea_floor
15007,22416,-1842,h1
15007,22416,-2184,h2
15007,22416,-2368,h3
15007,22416,-2574,h4
16012,21913,-1701,sea_floor
16012,21913,-1877,h1
16012,21913,-2233,h2
16012,21913,-2399,h3
16012,21913,-2643,h4
17003,21416,-1760,sea_floor
17003,21416,-1914,h1
17003,21416,-2293,h2
17003,21416,-2419,h3
17003,21416,-2668,h4
18002,20930,-1826,sea_floor
18002,20930,-1934,h1
18002,20930,-2349,h2
18002,20930,-2457,h3
18002,20930,-2689,h4
19008,20431,-1875,sea_floor
19008,20431,-1984,h1
19008,20431,-2369,h2
19008,20431,-2532,h3
19008,20431,-2722,h4
20007,19950,-1911,sea_floor
20007,19950,-1995,h1
20007,19950,-2373,h2
20007,19950,-2571,h3
20007,19950,-2754,h4
21005,19465,-1935,sea_floor
21005,19465,-2044,h1
21005,19465,-2391,h2
21005,19465,-2609,h3
21005,19465,-2803,h4
22010,18962,-1971,sea_floor
22010,18962,-2075,h1
22010,18962,-2437,h2
22010,18962,-2681,h3
22010,18962,-2837,h4
22904,18536,-2028,sea_floor
22904,18536,-2100,h1
22904,18536,-2453,h2
22904,18536,-2707,h3
22904,18536,-2865,h4
24009,18000,-2050,sea_floor
24009,18000,-2115,h1
24009,18000,-2491,h2
24009,18000,-2735,h3
24009,18000,-2891,h4
25002,17505,-2118,sea_floor
25002,17505,-2169,h1
25002,17505,-2521,h2
25002,17505,-2755,h3
25002,17505,-2902,h4
26000,17021,-2113,sea_floor
26000,17021,-2552,h2
26000,17021,-2760,h3
26000,17021,-2905,h4
27006,16485,-2081,sea_floor
27006,16485,-2245,h1
27006,16485,-2577,h2
27006,16485,-2771,h3
27006,16485,-2918,h4
28010,16012,-2099,sea_floor
28010,16012,-2268,h1
28010,16012,-2616,h2
28010,16012,-2786,h3
28010,16012,-2946,h4
29106,15490,-2109,sea_floor
29106,15490,-2290,h1
29106,15490,-2651,h2
29106,15490,-2805,h3
30007,15048,-2133,sea_floor
30007,15048,-2321,h1
30007,15048,-2682,h2
30007,15048,-2840,h3
30007,15048,-2950,h4
31004,14560,-2175,sea_floor
31004,14560,-2345,h1
31004,14560,-2711,h2
31004,14560,-2870,h3
31004,14560,-2971,h4
32007,14086,-2175,sea_floor
32007,14086,-2367,h1
32007,14086,-2734,h2
32007,14086,-2892,h3
32007,14086,-2991,h4
33000,13591,-2198,sea_floor
33000,13591,-2396,h1
33000,13591,-2759,h2
33000,13591,-2927,h3
33000,13591,-3001,h4
34005,13087,-2253,sea_floor
34005,13087,-2411,h1
34005,13087,-2783,h2
34005,13087,-2982,h3
34005,13087,-3055,h4
34999,12592,-2250,sea_floor
34999,12592,-2419,h1
34999,12592,-2801,h2
34999,12592,-3024,h3
34999,12592,-3052,h4
