X,Y,Z,formation
480278,7760100,-2711.69,sea_floor
480266,7760106,-2711.37,sea_floor
480254,7760112,-2711.19,sea_floor
480242,7760118,-2711.0,sea_floor
480230,7760124,-2711.02,sea_floor
480218,7760130,-2710.96,sea_floor
480206,7760136,-2710.94,sea_floor
480194,7760142,-2710.77,sea_floor
480182,7760148,-2710.63,sea_floor
480170,7760154,-2710.37,sea_floor
480158,7760160,-2710.18,sea_floor
480146,7760166,-2709.86,sea_floor
480134,7760172,-2709.57,sea_floor
480122,7760178,-2709.2,sea_floor
480110,7760184,-2708.97,sea_floor
480098,7760190,-2708.63,sea_floor
480086,7760196,-2708.41,sea_floor
480074,7760202,-2708.12,sea_floor
480062,7760208,-2707.88,sea_floor
480050,7760214,-2707.55,sea_floor
480038,7760220,-2707.2,sea_floor
480026,7760226,-2706.75,sea_floor
480014,7760232,-2706.38,sea_floor
480002,7760238,-2706.0,sea_floor
479990,7760244,-2705.67,sea_floor
479978,7760250,-2705.3,sea_floor
479966,7760256,-2704.96,sea_floor
479954,7760262,-2704.51,sea_floor
479942,7760268,-2704.07,sea_floor
479930,7760274,-2703.54,sea_floor
479918,7760280,-2703.04,sea_floor
479906,7760286,-2702.43,sea_floor
479894,7760292,-2701.89,sea_floor
479882,7760298,-2701.31,sea_floor
479870,7760304,-2700.79,sea_floor
479858,7760310,-2700.3,sea_floor
479846,7760316,-2699.88,sea_floor
479834,7760322,-2699.47,sea_floor
479822,7760328,-2699.05,sea_floor
479810,7760334,-2698.58,sea_floor
479798,7760340,-2698.15,sea_floor
479786,7760346,-2697.81,sea_floor
479774,7760352,-2697.52,sea_floor
479762,7760358,-2697.29,sea_floor
479750,7760364,-2697.12,sea_floor
479736,7760370,-2696.95,sea_floor
479722,7760376,-2696.76,sea_floor
479709,7760383,-2696.6,sea_floor
479695,7760389,-2696.44,sea_floor
479682,7760396,-2696.35,sea_floor
479668,7760402,-2696.28,sea_floor
479655,7760409,-2696.21,sea_floor
479641,7760415,-2696.12,sea_floor
479627,7760422,-2695.98,sea_floor
479614,7760428,-2695.78,sea_floor
479600,7760434,-2695.54,sea_floor
479587,7760441,-2695.29,sea_floor
479573,7760447,-2695.06,sea_floor
479560,7760454,-2694.84,sea_floor
479546,7760460,-2694.64,sea_floor
479532,7760467,-2694.49,sea_floor
479519,7760473,-2694.41,sea_floor
479505,7760480,-2694.33,sea_floor
479492,7760486,-2694.19,sea_floor
479478,7760492,-2693.93,sea_floor
479465,7760499,-2693.59,sea_floor
479451,7760505,-2693.23,sea_floor
479438,7760512,-2692.87,sea_floor
479424,7760518,-2692.49,sea_floor
479410,7760525,-2692.15,sea_floor
479397,7760531,-2691.81,sea_floor
479383,7760538,-2691.46,sea_floor
479370,7760544,-2691.11,sea_floor
479356,7760550,-2690.77,sea_floor
479343,7760557,-2690.46,sea_floor
479329,7760563,-2690.2,sea_floor
479315,7760570,-2689.97,sea_floor
479302,7760576,-2689.75,sea_floor
479288,7760583,-2689.5,sea_floor
479275,7760589,-2689.22,sea_floor
479261,7760596,-2689.0,sea_floor
