X,Y,Z,formation
60709.0,0.0,-2711.69,sea_floor
60697.0,6.0,-2711.37,sea_floor
60685.0,12.0,-2711.19,sea_floor
60673.0,18.0,-2711.0,sea_floor
60661.0,24.0,-2711.02,sea_floor
60649.0,30.0,-2710.96,sea_floor
60637.0,36.0,-2710.94,sea_floor
60625.0,42.0,-2710.77,sea_floor
60613.0,48.0,-2710.63,sea_floor
60601.0,54.0,-2710.37,sea_floor
60589.0,60.0,-2710.18,sea_floor
60577.0,66.0,-2709.86,sea_floor
60565.0,72.0,-2709.57,sea_floor
60553.0,78.0,-2709.2,sea_floor
60541.0,84.0,-2708.97,sea_floor
60529.0,90.0,-2708.63,sea_floor
60517.0,96.0,-2708.41,sea_floor
60505.0,102.0,-2708.12,sea_floor
60493.0,108.0,-2707.88,sea_floor
60481.0,114.0,-2707.55,sea_floor
60469.0,120.0,-2707.2,sea_floor
60457.0,126.0,-2706.75,sea_floor
60445.0,132.0,-2706.38,sea_floor
60433.0,138.0,-2706.0,sea_floor
60421.0,144.0,-2705.67,sea_floor
60409.0,150.0,-2705.3,sea_floor
60397.0,156.0,-2704.96,sea_floor
60385.0,162.0,-2704.51,sea_floor
60373.0,168.0,-2704.07,sea_floor
60361.0,174.0,-2703.54,sea_floor
60349.0,180.0,-2703.04,sea_floor
60337.0,186.0,-2702.43,sea_floor
60325.0,192.0,-2701.89,sea_floor
60313.0,198.0,-2701.31,sea_floor
60301.0,204.0,-2700.79,sea_floor
60289.0,210.0,-2700.3,sea_floor
60277.0,216.0,-2699.88,sea_floor
60265.0,222.0,-2699.47,sea_floor
60253.0,228.0,-2699.05,sea_floor
60241.0,234.0,-2698.58,sea_floor
60229.0,240.0,-2698.15,sea_floor
60217.0,246.0,-2697.81,sea_floor
60205.0,252.0,-2697.52,sea_floor
60193.0,258.0,-2697.29,sea_floor
60181.0,264.0,-2697.12,sea_floor
60167.0,270.0,-2696.95,sea_floor
60153.0,276.0,-2696.76,sea_floor
60140.0,283.0,-2696.6,sea_floor
60126.0,289.0,-2696.44,sea_floor
60113.0,296.0,-2696.35,sea_floor
60099.0,302.0,-2696.28,sea_floor
60086.0,309.0,-2696.21,sea_floor
60072.0,315.0,-2696.12,sea_floor
60058.0,322.0,-2695.98,sea_floor
60045.0,328.0,-2695.78,sea_floor
60031.0,334.0,-2695.54,sea_floor
60018.0,341.0,-2695.29,sea_floor
60004.0,347.0,-2695.06,sea_floor
59991.0,354.0,-2694.84,sea_floor
59977.0,360.0,-2694.64,sea_floor
59963.0,367.0,-2694.49,sea_floor
59950.0,373.0,-2694.41,sea_floor
59936.0,380.0,-2694.33,sea_floor
59923.0,386.0,-2694.19,sea_floor
59909.0,392.0,-2693.93,sea_floor
59896.0,399.0,-2693.59,sea_floor
59882.0,405.0,-2693.23,sea_floor
59869.0,412.0,-2692.87,sea_floor
59855.0,418.0,-2692.49,sea_floor
59841.0,425.0,-2692.15,sea_floor
59828.0,431.0,-2691.81,sea_floor
59814.0,438.0,-2691.46,sea_floor
59801.0,444.0,-2691.11,sea_floor
59787.0,450.0,-2690.77,sea_floor
59774.0,457.0,-2690.46,sea_floor
59760.0,463.0,-2690.2,sea_floor
59746.0,470.0,-2689.97,sea_floor
59733.0,476.0,-2689.75,sea_floor
59719.0,483.0,-2689.5,sea_floor
59706.0,489.0,-2689.22,sea_floor
59692.0,496.0,-2689.0,sea_floor
59679.0,502.0,-2688.78,sea_floor
59665.0,508.0,-2688.59,sea_floor
59652.0,515.0,-2688.4,sea_floor
59638.0,521.0,-2688.21,sea_floor
59624.0,528.0,-2688.1,sea_floor
59611.0,534.0,-2688.01,sea_floor
59597.0,541.0,-2687.91,sea_floor
59584.0,547.0,-2687.76,sea_floor
59570.0,554.0,-2687.6,sea_floor
59557.0,560.0,-2687.44,sea_floor
59543.0,566.0,-2687.27,sea_floor
59529.0,573.0,-2687.13,sea_floor
59516.0,579.0,-2687.03,sea_floor
59502.0,586.0,-2686.93,sea_floor
59489.0,592.0,-2686.8,sea_floor
59475.0,599.0,-2686.66,sea_floor
59462.0,605.0,-2686.47,sea_floor
59448.0,612.0,-2686.23,sea_floor
59435.0,618.0,-2685.95,sea_floor
59421.0,624.0,-2685.66,sea_floor
59407.0,631.0,-2685.42,sea_floor
59394.0,637.0,-2685.22,sea_floor
59380.0,644.0,-2685.06,sea_floor
59367.0,650.0,-2684.91,sea_floor
59353.0,657.0,-2684.68,sea_floor
59340.0,663.0,-2684.43,sea_floor
59326.0,670.0,-2684.18,sea_floor
59312.0,676.0,-2683.96,sea_floor
59299.0,682.0,-2683.75,sea_floor
59285.0,689.0,-2683.56,sea_floor
59272.0,695.0,-2683.36,sea_floor
59258.0,702.0,-2683.16,sea_floor
59245.0,708.0,-2682.86,sea_floor
59231.0,715.0,-2682.5,sea_floor
59217.0,721.0,-2682.1,sea_floor
59204.0,728.0,-2681.68,sea_floor
59190.0,734.0,-2681.29,sea_floor
59177.0,740.0,-2680.88,sea_floor
59163.0,747.0,-2680.41,sea_floor
59150.0,753.0,-2679.93,sea_floor
59136.0,760.0,-2679.44,sea_floor
59123.0,766.0,-2679.04,sea_floor
59109.0,773.0,-2678.77,sea_floor
59095.0,779.0,-2678.54,sea_floor
59082.0,786.0,-2678.26,sea_floor
59068.0,792.0,-2677.92,sea_floor
59055.0,798.0,-2677.52,sea_floor
59041.0,805.0,-2677.12,sea_floor
59028.0,811.0,-2676.74,sea_floor
59014.0,818.0,-2676.47,sea_floor
59000.0,824.0,-2676.24,sea_floor
58987.0,831.0,-2676.01,sea_floor
58973.0,837.0,-2675.75,sea_floor
58960.0,844.0,-2675.42,sea_floor
58946.0,850.0,-2675.03,sea_floor
58933.0,856.0,-2674.61,sea_floor
58919.0,863.0,-2674.26,sea_floor
58906.0,869.0,-2674.0,sea_floor
58892.0,876.0,-2673.79,sea_floor
58878.0,882.0,-2673.59,sea_floor
58865.0,889.0,-2673.41,sea_floor
58851.0,895.0,-2673.21,sea_floor
58838.0,902.0,-2673.02,sea_floor
58824.0,908.0,-2672.82,sea_floor
58811.0,914.0,-2672.61,sea_floor
58797.0,921.0,-2672.36,sea_floor
58783.0,927.0,-2672.14,sea_floor
58770.0,934.0,-2671.93,sea_floor
58756.0,940.0,-2671.79,sea_floor
58743.0,947.0,-2671.73,sea_floor
58729.0,953.0,-2671.81,sea_floor
58716.0,960.0,-2671.9,sea_floor
58702.0,966.0,-2671.94,sea_floor
58689.0,973.0,-2672.0,sea_floor
