X,Y,Z,formation
459999.625,7770043.222,-2408.44,h0
458993.212,7770546.879,-2372.72,h0
458035.25,7771003.0,-2347.12,h0
457994.773,7771022.273,-2346.55,h0
456991.898,7771511.254,-2319.39,h0
456002.932,7772004.169,-2291.94,h0
455989.568,7772010.831,-2291.3,h0
454989.898,7772493.432,-2260.36,h0
453989.662,7772978.517,-2266.72,h0
453936.07,7773005.423,-2267.52,h0
452998.209,7773476.269,-2223.47,h0
451993.358,7773980.746,-2177.7,h0
451953.164,7774000.925,-2177.13,h0
450993.879,7774461.549,-2175.72,h0
449987.406,7774956.031,-2157.63,h0
449891.375,7775000.875,-2154.54,h0
448998.179,7775432.116,-2115.88,h0
447999.926,7775914.63,-2106.05,h0
447810.044,7776004.022,-2105.28,h0
446996.267,7776387.133,-2085.12,h0
445902.923,7776951.385,-2111.29,h0
445810.591,7777001.667,-2115.23,h0
444992.636,7777408.333,-2111.69,h0
443992.095,7777887.381,-2064.15,h0
443765.226,7778004.155,-2057.46,h0
442473.0,7778636.75,-2028.76,h0
441998.0,7778858.0,-1991.06,h0
441700.694,7779003.139,-1976.55,h0
440998.5,7779346.667,-1951.05,h0
439998.5,7779851.75,-1928.62,h0
439671.676,7780005.279,-1916.56,h0
438994.527,7780328.732,-1887.34,h0
437998.83,7780813.696,-1845.72,h0
437624.559,7781002.235,-1828.93,h0
436992.706,7781315.216,-1778.59,h0
435996.635,7781804.916,-1726.0,h0
435594.778,7782006.293,-1703.03,h0
434965.204,7782321.784,-1682.64,h0
433996.424,7782796.347,-1655.69,h0
433563.312,7783002.125,-1634.46,h0
432994.854,7783272.208,-1618.62,h0
431998.748,7783762.223,-1581.87,h0
431530.495,7784001.447,-1567.33,h0
430994.085,7784271.61,-1552.87,h0
429994.292,7784751.5,-1438.73,h0
429484.189,7785005.331,-1402.77,h0
428998.756,7785240.323,-1375.78,h0
427987.437,7785729.89,-1316.85,h0
427421.098,7786004.047,-1273.41,h0
426989.602,7786212.929,-1244.48,h0
425993.59,7786700.934,-1136.63,h0
425405.0,7787001.0,-1071.85,h0
424998.2,7787192.52,-1013.69,h0
423994.76,7787664.936,-841.7,h0
423281.01,7788012.861,-700.27,h0
422999.485,7788153.208,-629.65,h0
421937.866,7788675.622,-151.73,h0
421263.457,7789000.819,-95.72,h0
420993.693,7789130.898,-90.45,h0
456163.305,7771924.237,-2457.36,h1
456002.932,7772004.169,-2458.6,h1
455989.568,7772010.831,-2458.26,h1
454989.898,7772493.432,-2430.47,h1
453989.662,7772978.517,-2418.62,h1
453936.07,7773005.423,-2417.87,h1
452998.209,7773476.269,-2402.41,h1
451993.358,7773980.746,-2383.63,h1
451953.164,7774000.925,-2380.76,h1
450993.879,7774461.549,-2349.52,h1
449987.406,7774956.031,-2334.12,h1
449891.375,7775000.875,-2333.21,h1
448998.179,7775432.116,-2309.17,h1
447999.926,7775914.63,-2282.6,h1
447810.044,7776004.022,-2276.66,h1
446996.267,7776387.133,-2251.2,h1
445995.0,7776900.5,-2217.94,h1
445810.591,7777001.667,-2216.7,h1
444992.636,7777408.333,-2183.63,h1
443992.095,7777887.381,-2140.62,h1
443765.226,7778004.155,-2128.5,h1
442988.714,7778396.536,-2107.04,h1
441998.0,7778858.0,-2085.53,h1
441700.694,7779003.139,-2078.76,h1
440998.5,7779346.667,-2057.92,h1
439998.5,7779851.75,-2031.21,h1
439671.676,7780005.279,-2000.49,h1
438994.527,7780328.732,-1988.09,h1
437998.83,7780813.696,-1959.02,h1
437624.559,7781002.235,-1937.14,h1
436992.706,7781315.216,-1916.05,h1
435996.635,7781804.916,-1888.95,h1
435594.778,7782006.293,-1877.99,h1
434991.994,7782308.359,-1853.04,h1
433996.424,7782796.347,-1836.0,h1
433563.312,7783002.125,-1815.17,h1
432994.854,7783272.208,-1787.64,h1
431998.748,7783762.223,-1752.91,h1
431423.466,7784056.126,-1708.07,h1
430994.085,7784271.61,-1696.08,h1
429994.292,7784751.5,-1643.81,h1
429484.189,7785005.331,-1624.16,h1
428998.756,7785240.323,-1609.28,h1
427987.437,7785729.89,-1559.34,h1
427421.098,7786004.047,-1479.18,h1
426989.602,7786212.929,-1425.14,h1
425993.59,7786700.934,-1338.15,h1
425405.0,7787001.0,-1287.05,h1
424998.2,7787192.52,-1220.09,h1
423994.76,7787664.936,-1063.31,h1
423294.416,7788006.178,-950.79,h1
422999.485,7788153.208,-886.19,h1
421991.819,7788649.606,-684.65,h1
459317.03,7770392.697,-2831.99,h2
458993.212,7770546.879,-2855.51,h2
458035.25,7771003.0,-2866.36,h2
457994.773,7771022.273,-2868.78,h2
456991.898,7771511.254,-2846.91,h2
456002.932,7772004.169,-2821.95,h2
455989.568,7772010.831,-2821.36,h2
454785.864,7772589.909,-2798.83,h2
453989.662,7772978.517,-2797.58,h2
453936.07,7773005.423,-2799.9,h2
452998.209,7773476.269,-2764.17,h2
451993.358,7773980.746,-2738.65,h2
451953.164,7774000.925,-2735.96,h2
450993.879,7774461.549,-2720.14,h2
449987.406,7774956.031,-2696.42,h2
449891.375,7775000.875,-2694.86,h2
