X,Y,Z,formation
10009,24859,-1405.07,sea_floor
10009,24859,-1622.28,h1
10009,24859,-1890.88,h2
10009,24859,-2082.54,h3
10009,24859,-2338.07,h4
11004,24369,-1536.43,sea_floor
11004,24369,-1667.97,h1
11004,24369,-1946.93,h2
11004,24369,-2124.08,h3
11004,24369,-2397.38,h4
12001,23880,-1568.99,sea_floor
12001,23880,-2002.18,h2
12001,23880,-2188.51,h3
12001,23880,-2457.37,h4
13006,23371,-1605.82,sea_floor
13006,23371,-1780.21,h1
13006,23371,-2091.64,h2
13006,23371,-2257.75,h3
13006,23371,-2508.98,h4
14007,22895,-1635.9,sea_floor
14007,22895,-1816.76,h1
14007,22895,-2164.29,h2
14007,22895,-2319.95,h3
14007,22895,-2548.37,h4
15007,22416,-1668.79,sea_floor
15007,22416,-1842.37,h1
15007,22416,-2184.54,h2
15007,22416,-2368.17,h3
15007,22416,-2574.96,h4
16012,21913,-1701.95,sea_floor
16012,21913,-1877.31,h1
16012,21913,-2233.67,h2
16012,21913,-2399.22,h3
16012,21913,-2643.6,h4
17003,21416,-1760.19,sea_floor
17003,21416,-1914.64,h1
17003,21416,-2293.47,h2
17003,21416,-2419.53,h3
17003,21416,-2668.27,h4
18002,20930,-1826.66,sea_floor
18002,20930,-1934.72,h1
18002,20930,-2349.62,h2
18002,20930,-2457.3,h3
18002,20930,-2689.41,h4
19008,20431,-1875.01,sea_floor
19008,20431,-1984.15,h1
19008,20431,-2369.0,h2
19008,20431,-2532.23,h3
19008,20431,-2722.37,h4
20007,19950,-1911.86,sea_floor
20007,19950,-1995.85,h1
20007,19950,-2373.63,h2
20007,19950,-2571.56,h3
20007,19950,-2754.66,h4
21005,19465,-1935.94,sea_floor
21005,19465,-2044.17,h1
21005,19465,-2391.82,h2
21005,19465,-2609.7,h3
21005,19465,-2803.22,h4
22010,18962,-1971.53,sea_floor
22010,18962,-2075.79,h1
22010,18962,-2437.36,h2
22010,18962,-2681.3,h3
22010,18962,-2837.15,h4
22904,18536,-2028.76,sea_floor
22904,18536,-2100.11,h1
22904,18536,-2453.16,h2
22904,18536,-2707.75,h3
22904,18536,-2865.28,h4
24009,18000,-2050.05,sea_floor
24009,18000,-2115.53,h1
24009,18000,-2491.59,h2
24009,18000,-2735.0,h3
24009,18000,-2891.36,h4
25002,17505,-2118.38,sea_floor
25002,17505,-2169.95,h1
25002,17505,-2521.98,h2
25002,17505,-2755.25,h3
25002,17505,-2902.43,h4
26000,17021,-2113.95,sea_floor
26000,17021,-2552.37,h2
26000,17021,-2760.68,h3
26000,17021,-2905.09,h4
27006,16485,-2081.64,sea_floor
27006,16485,-2245.79,h1
27006,16485,-2577.43,h2
27006,16485,-2771.59,h3
27006,16485,-2918.85,h4
28010,16012,-2099.44,sea_floor
28010,16012,-2268.17,h1
28010,16012,-2616.82,h2
28010,16012,-2786.03,h3
28010,16012,-2946.08,h4
29106,15490,-2109.99,sea_floor
29106,15490,-2290.61,h1
29106,15490,-2651.54,h2
29106,15490,-2805.83,h3
30007,15048,-2133.75,sea_floor
30007,15048,-2321.01,h1
30007,15048,-2682.36,h2
30007,15048,-2840.93,h3
30007,15048,-2950.03,h4
31004,14560,-2175.44,sea_floor
31004,14560,-2345.01,h1
31004,14560,-2711.91,h2
31004,14560,-2870.4,h3
31004,14560,-2971.75,h4
32007,14086,-2175.57,sea_floor
32007,14086,-2367.67,h1
32007,14086,-2734.06,h2
32007,14086,-2892.15,h3
32007,14086,-2991.51,h4
33000,13591,-2198.75,sea_floor
33000,13591,-2396.1,h1
33000,13591,-2759.33,h2
33000,13591,-2927.42,h3
33000,13591,-3001.94,h4
34005,13087,-2253.03,sea_floor
34005,13087,-2411.45,h1
34005,13087,-2783.63,h2
34005,13087,-2982.76,h3
34005,13087,-3055.5,h4
34999,12592,-2250.59,sea_floor
34999,12592,-2419.61,h1
34999,12592,-2801.21,h2
34999,12592,-3024.34,h3
34999,12592,-3052.02,h4
