X,Y,Z,formation
10009.0,24859.0,-1405.07,sea_floor
10009.0,24859.0,-1622.28,h1
10009.0,24859.0,-1890.88,h2
10009.0,24859.0,-2082.54,h3
10009.0,24859.0,-2338.07,h4
11004.0,24369.0,-1536.43,sea_floor
11004.0,24369.0,-1667.97,h1
11004.0,24369.0,-1946.93,h2
11004.0,24369.0,-2124.08,h3
11004.0,24369.0,-2397.38,h4
12001.0,23880.0,-1568.99,sea_floor
12001.0,23880.0,-2002.18,h2
12001.0,23880.0,-2188.51,h3
12001.0,23880.0,-2457.37,h4
13006.0,23371.0,-1605.82,sea_floor
13006.0,23371.0,-1780.21,h1
13006.0,23371.0,-2091.64,h2
13006.0,23371.0,-2257.75,h3
13006.0,23371.0,-2508.98,h4
14007.0,22895.0,-1635.9,sea_floor
14007.0,22895.0,-1816.76,h1
14007.0,22895.0,-2164.29,h2
14007.0,22895.0,-2319.95,h3
14007.0,22895.0,-2548.37,h4
15007.0,22416.0,-1668.79,sea_floor
15007.0,22416.0,-1842.37,h1
15007.0,22416.0,-2184.54,h2
15007.0,22416.0,-2368.17,h3
15007.0,22416.0,-2574.96,h4
16012.0,21913.0,-1701.95,sea_floor
16012.0,21913.0,-1877.31,h1
16012.0,21913.0,-2233.67,h2
16012.0,21913.0,-2399.22,h3
16012.0,21913.0,-2643.6,h4
17003.0,21416.0,-1760.19,sea_floor
17003.0,21416.0,-1914.64,h1
17003.0,21416.0,-2293.47,h2
17003.0,21416.0,-2419.53,h3
17003.0,21416.0,-2668.27,h4
18002.0,20930.0,-1826.66,sea_floor
18002.0,20930.0,-1934.72,h1
18002.0,20930.0,-2349.62,h2
18002.0,20930.0,-2457.3,h3
18002.0,20930.0,-2689.41,h4
19008.0,20431.0,-1875.01,sea_floor
19008.0,20431.0,-1984.15,h1
19008.0,20431.0,-2369.0,h2
19008.0,20431.0,-2532.23,h3
19008.0,20431.0,-2722.37,h4
20007.0,19950.0,-1911.86,sea_floor
20007.0,19950.0,-1995.85,h1
20007.0,19950.0,-2373.63,h2
20007.0,19950.0,-2571.56,h3
20007.0,19950.0,-2754.66,h4
21005.0,19465.0,-1935.94,sea_floor
21005.0,19465.0,-2044.17,h1
21005.0,19465.0,-2391.82,h2
21005.0,19465.0,-2609.7,h3
21005.0,19465.0,-2803.22,h4
22010.0,18962.0,-1971.53,sea_floor
22010.0,18962.0,-2075.79,h1
22010.0,18962.0,-2437.36,h2
22010.0,18962.0,-2681.3,h3
22010.0,18962.0,-2837.15,h4
22904.0,18536.0,-2028.76,sea_floor
22904.0,18536.0,-2100.11,h1
22904.0,18536.0,-2453.16,h2
22904.0,18536.0,-2707.75,h3
22904.0,18536.0,-2865.28,h4
24009.0,18000.0,-2050.05,sea_floor
24009.0,18000.0,-2115.53,h1
24009.0,18000.0,-2491.59,h2
24009.0,18000.0,-2735.0,h3
24009.0,18000.0,-2891.36,h4
25002.0,17505.0,-2118.38,sea_floor
25002.0,17505.0,-2169.95,h1
25002.0,17505.0,-2521.98,h2
25002.0,17505.0,-2755.25,h3
25002.0,17505.0,-2902.43,h4
26000.0,17021.0,-2113.95,sea_floor
26000.0,17021.0,-2552.37,h2
26000.0,17021.0,-2760.68,h3
26000.0,17021.0,-2905.09,h4
27006.0,16485.0,-2081.64,sea_floor
27006.0,16485.0,-2245.79,h1
27006.0,16485.0,-2577.43,h2
27006.0,16485.0,-2771.59,h3
27006.0,16485.0,-2918.85,h4
28010.0,16012.0,-2099.44,sea_floor
28010.0,16012.0,-2268.17,h1
28010.0,16012.0,-2616.82,h2
28010.0,16012.0,-2786.03,h3
28010.0,16012.0,-2946.08,h4
29106.0,15490.0,-2109.99,sea_floor
29106.0,15490.0,-2290.61,h1
29106.0,15490.0,-2651.54,h2
29106.0,15490.0,-2805.83,h3
30007.0,15048.0,-2133.75,sea_floor
30007.0,15048.0,-2321.01,h1
30007.0,15048.0,-2682.36,h2
30007.0,15048.0,-2840.93,h3
30007.0,15048.0,-2950.03,h4
31004.0,14560.0,-2175.44,sea_floor
31004.0,14560.0,-2345.01,h1
31004.0,14560.0,-2711.91,h2
31004.0,14560.0,-2870.4,h3
31004.0,14560.0,-2971.75,h4
32007.0,14086.0,-2175.57,sea_floor
32007.0,14086.0,-2367.67,h1
32007.0,14086.0,-2734.06,h2
32007.0,14086.0,-2892.15,h3
32007.0,14086.0,-2991.51,h4
33000.0,13591.0,-2198.75,sea_floor
33000.0,13591.0,-2396.1,h1
33000.0,13591.0,-2759.33,h2
33000.0,13591.0,-2927.42,h3
33000.0,13591.0,-3001.94,h4
34005.0,13087.0,-2253.03,sea_floor
34005.0,13087.0,-2411.45,h1
34005.0,13087.0,-2783.63,h2
34005.0,13087.0,-2982.76,h3
34005.0,13087.0,-3055.5,h4
34999.0,12592.0,-2250.59,sea_floor
34999.0,12592.0,-2419.61,h1
34999.0,12592.0,-2801.21,h2
34999.0,12592.0,-3024.34,h3
34999.0,12592.0,-3052.02,h4
