X,Y,Z,formation
440716.008,7798378.513,-3327.57,MAASTRICHTIANO
441003.521,7798378.528,-3325.54,MAASTRICHTIANO
442003.566,7798378.581,-3385.34,MAASTRICHTIANO
443003.611,7798378.634,-3420.13,MAASTRICHTIANO
444003.655,7798378.687,-3424.15,MAASTRICHTIANO
445003.7,7798378.74,-3442.67,MAASTRICHTIANO
446003.745,7798378.793,-3501.11,MAASTRICHTIANO
447003.789,7798378.846,-3540.05,MAASTRICHTIANO
448003.834,7798378.899,-3580.04,MAASTRICHTIANO
449003.879,7798378.952,-3639.43,MAASTRICHTIANO
450003.923,7798379.006,-3698.79,MAASTRICHTIANO
451003.968,7798379.059,-3761.27,MAASTRICHTIANO
452004.013,7798379.112,-3795.01,MAASTRICHTIANO
453004.057,7798379.165,-3831.23,MAASTRICHTIANO
454004.102,7798379.218,-3856.84,MAASTRICHTIANO
455004.147,7798379.271,-3884.37,MAASTRICHTIANO
456004.191,7798379.324,-3923.72,MAASTRICHTIANO
457004.236,7798379.377,-3944.21,MAASTRICHTIANO
458004.281,7798379.43,-3973.76,MAASTRICHTIANO
459004.325,7798379.483,-3862.8,MAASTRICHTIANO
460004.37,7798379.536,-3792.21,MAASTRICHTIANO
461004.415,7798379.589,-3818.83,MAASTRICHTIANO
462004.459,7798379.642,-3911.46,MAASTRICHTIANO
463004.504,7798379.695,-3992.38,MAASTRICHTIANO
464004.549,7798379.748,-4085.12,MAASTRICHTIANO
452554.101,7797179.115,-3876.84,MAASTRICHTIANO
453004.121,7797179.139,-3893.35,MAASTRICHTIANO
454004.166,7797179.192,-3906.5,MAASTRICHTIANO
455004.21,7797179.245,-3922.27,MAASTRICHTIANO
456004.255,7797179.298,-3948.34,MAASTRICHTIANO
457004.3,7797179.351,-3950.84,MAASTRICHTIANO
458004.344,7797179.404,-3990.08,MAASTRICHTIANO
459004.389,7797179.457,-3989.83,MAASTRICHTIANO
460004.434,7797179.51,-3834.83,MAASTRICHTIANO
461004.478,7797179.563,-3834.85,MAASTRICHTIANO
462004.523,7797179.616,-3929.16,MAASTRICHTIANO
463004.568,7797179.669,-4143.48,MAASTRICHTIANO
464004.612,7797179.722,-4252.97,MAASTRICHTIANO
465004.657,7797179.775,-4285.36,MAASTRICHTIANO
462354.56,7796779.626,-3992.64,MAASTRICHTIANO
463004.589,7796779.661,-4149.58,MAASTRICHTIANO
464004.634,7796779.714,-4227.19,MAASTRICHTIANO
465004.678,7796779.767,-4257.82,MAASTRICHTIANO
466004.723,7796779.82,-4249.19,MAASTRICHTIANO
442291.185,7796378.553,-3500.88,MAASTRICHTIANO
443003.717,7796378.591,-3492.18,MAASTRICHTIANO
444003.761,7796378.644,-3505.95,MAASTRICHTIANO
445003.806,7796378.697,-3516.69,MAASTRICHTIANO
446003.851,7796378.75,-3558.0,MAASTRICHTIANO
447003.895,7796378.803,-3581.08,MAASTRICHTIANO
448003.94,7796378.856,-3634.68,MAASTRICHTIANO
449003.985,7796378.909,-3703.86,MAASTRICHTIANO
450429.048,7796378.985,-3785.39,MAASTRICHTIANO
451004.074,7796379.016,-3814.3,MAASTRICHTIANO
452004.119,7796379.069,-3896.11,MAASTRICHTIANO
453004.163,7796379.122,-3913.77,MAASTRICHTIANO
454004.208,7796379.175,-3911.43,MAASTRICHTIANO
455004.253,7796379.228,-3961.67,MAASTRICHTIANO
456004.297,7796379.281,-3977.56,MAASTRICHTIANO
457004.342,7796379.334,-3964.45,MAASTRICHTIANO
458004.387,7796379.387,-3982.48,MAASTRICHTIANO
440191.112,7795978.433,-3392.18,MAASTRICHTIANO
441003.649,7795978.476,-3420.8,MAASTRICHTIANO
442003.693,7795978.529,-3464.26,MAASTRICHTIANO
443003.738,7795978.583,-3510.25,MAASTRICHTIANO
444003.783,7795978.636,-3521.13,MAASTRICHTIANO
445003.827,7795978.689,-3526.26,MAASTRICHTIANO
446003.872,7795978.742,-3563.85,MAASTRICHTIANO
447003.917,7795978.795,-3590.74,MAASTRICHTIANO
448003.961,7795978.848,-3650.82,MAASTRICHTIANO
449004.006,7795978.901,-3751.58,MAASTRICHTIANO
450004.051,7795978.954,-3800.1,MAASTRICHTIANO
451004.095,7795979.007,-3836.23,MAASTRICHTIANO
452004.14,7795979.06,-3876.43,MAASTRICHTIANO
453004.185,7795979.113,-3904.69,MAASTRICHTIANO
454004.229,7795979.166,-3921.64,MAASTRICHTIANO
455004.274,7795979.219,-3929.7,MAASTRICHTIANO
456004.319,7795979.272,-3983.27,MAASTRICHTIANO
457004.363,7795979.325,-3981.41,MAASTRICHTIANO
458004.408,7795979.378,-3967.47,MAASTRICHTIANO
459004.453,7795979.431,-3961.48,MAASTRICHTIANO
460004.497,7795979.484,-3791.36,MAASTRICHTIANO
461004.542,7795979.537,-3655.68,MAASTRICHTIANO
462004.587,7795979.591,-3707.87,MAASTRICHTIANO
463004.631,7795979.644,-4099.65,MAASTRICHTIANO
464004.676,7795979.697,-4201.84,MAASTRICHTIANO
465004.721,7795979.75,-4237.47,MAASTRICHTIANO
431215.754,7795177.94,-2766.97,MAASTRICHTIANO
432003.289,7795177.982,-2830.67,MAASTRICHTIANO
433003.334,7795178.035,-2905.2,MAASTRICHTIANO
434003.378,7795178.088,-2963.03,MAASTRICHTIANO
435003.423,7795178.141,-3029.66,MAASTRICHTIANO
436003.468,7795178.194,-3110.95,MAASTRICHTIANO
437003.512,7795178.247,-3160.36,MAASTRICHTIANO
438003.557,7795178.3,-3211.81,MAASTRICHTIANO
439003.602,7795178.353,-3303.39,MAASTRICHTIANO
466004.808,7795179.786,-4194.51,MAASTRICHTIANO
435990.988,7794778.185,-3120.5,MAASTRICHTIANO
436003.489,7794778.185,-3120.8,MAASTRICHTIANO
437003.533,7794778.238,-3160.71,MAASTRICHTIANO
438003.578,7794778.291,-3219.71,MAASTRICHTIANO
439003.623,7794778.345,-3303.49,MAASTRICHTIANO
440003.668,7794778.398,-3422.77,MAASTRICHTIANO
441003.712,7794778.451,-3460.74,MAASTRICHTIANO
442003.757,7794778.504,-3513.49,MAASTRICHTIANO
443003.802,7794778.557,-3551.22,MAASTRICHTIANO
444003.846,7794778.61,-3554.02,MAASTRICHTIANO
445003.891,7794778.663,-3605.42,MAASTRICHTIANO
446003.936,7794778.716,-3571.99,MAASTRICHTIANO
447003.98,7794778.769,-3616.04,MAASTRICHTIANO
448004.025,7794778.822,-3687.66,MAASTRICHTIANO
449004.07,7794778.875,-3782.85,MAASTRICHTIANO
450004.114,7794778.928,-3831.74,MAASTRICHTIANO
451004.159,7794778.981,-3834.27,MAASTRICHTIANO
452004.204,7794779.034,-3899.17,MAASTRICHTIANO
453004.248,7794779.087,-3920.96,MAASTRICHTIANO
454004.293,7794779.14,-3963.04,MAASTRICHTIANO
455004.338,7794779.193,-3962.76,MAASTRICHTIANO
456004.382,7794779.246,-3984.4,MAASTRICHTIANO
457004.427,7794779.299,-4001.78,MAASTRICHTIANO
458004.472,7794779.353,-4011.35,MAASTRICHTIANO
459004.516,7794779.406,-4000.92,MAASTRICHTIANO
460004.561,7794779.459,-3923.09,MAASTRICHTIANO
461004.606,7794779.512,-3505.2,MAASTRICHTIANO
462004.65,7794779.565,-3421.54,MAASTRICHTIANO
463004.695,7794779.618,-3972.74,MAASTRICHTIANO
464004.74,7794779.671,-4147.34,MAASTRICHTIANO
465004.784,7794779.724,-4210.46,MAASTRICHTIANO
466004.829,7794779.777,-4201.3,MAASTRICHTIANO
441716.286,7793978.471,-3510.1,MAASTRICHTIANO
442003.799,7793978.486,-3517.35,MAASTRICHTIANO
443003.844,7793978.54,-3575.13,MAASTRICHTIANO
444003.889,7793978.593,-3574.5,MAASTRICHTIANO
445003.933,7793978.646,-3566.85,MAASTRICHTIANO
446003.978,7793978.699,-3618.07,MAASTRICHTIANO
447004.023,7793978.752,-3650.89,MAASTRICHTIANO
440728.806,7792778.393,-3488.15,MAASTRICHTIANO
441003.818,7792778.408,-3501.67,MAASTRICHTIANO
442003.863,7792778.461,-3556.56,MAASTRICHTIANO
443003.908,7792778.514,-3599.5,MAASTRICHTIANO
444003.952,7792778.567,-3574.06,MAASTRICHTIANO
445003.997,7792778.62,-3617.7,MAASTRICHTIANO
446004.042,7792778.673,-3657.27,MAASTRICHTIANO
447004.086,7792778.726,-3688.91,MAASTRICHTIANO
448004.131,7792778.779,-3712.91,MAASTRICHTIANO
449004.176,7792778.832,-3727.12,MAASTRICHTIANO
450004.22,7792778.885,-3789.26,MAASTRICHTIANO
451004.265,7792778.938,-3824.88,MAASTRICHTIANO
452004.31,7792778.991,-3925.4,MAASTRICHTIANO
453004.354,7792779.044,-3992.77,MAASTRICHTIANO
454004.399,7792779.097,-3964.15,MAASTRICHTIANO
455004.444,7792779.15,-4007.79,MAASTRICHTIANO
456004.488,7792779.203,-4040.7,MAASTRICHTIANO
457004.533,7792779.256,-4057.77,MAASTRICHTIANO
458004.578,7792779.31,-4050.2,MAASTRICHTIANO
459004.622,7792779.363,-4044.63,MAASTRICHTIANO
460004.667,7792779.416,-3931.0,MAASTRICHTIANO
451266.819,7791978.935,-3894.74,MAASTRICHTIANO
452004.352,7791978.974,-3933.78,MAASTRICHTIANO
453004.397,7791979.027,-3948.87,MAASTRICHTIANO
454004.442,7791979.08,-3990.41,MAASTRICHTIANO
455004.486,7791979.133,-4003.62,MAASTRICHTIANO
456004.531,7791979.186,-4012.81,MAASTRICHTIANO
457004.576,7791979.239,-4079.58,MAASTRICHTIANO
458004.62,7791979.292,-4065.93,MAASTRICHTIANO
459004.665,7791979.345,-4030.44,MAASTRICHTIANO
460004.71,7791979.398,-3925.45,MAASTRICHTIANO
439678.823,7791578.312,-3453.81,MAASTRICHTIANO
440003.837,7791578.329,-3462.13,MAASTRICHTIANO
441003.882,7791578.382,-3528.31,MAASTRICHTIANO
442003.927,7791578.435,-3567.07,MAASTRICHTIANO
443003.971,7791578.488,-3571.65,MAASTRICHTIANO
444004.016,7791578.541,-3582.56,MAASTRICHTIANO
445391.578,7791578.615,-3628.28,MAASTRICHTIANO
446004.105,7791578.647,-3625.65,MAASTRICHTIANO
447004.15,7791578.7,-3690.49,MAASTRICHTIANO
448004.195,7791578.753,-3729.3,MAASTRICHTIANO
449004.239,7791578.806,-3755.79,MAASTRICHTIANO
450004.284,7791578.859,-3797.38,MAASTRICHTIANO
453491.972,7790979.031,-3867.45,MAASTRICHTIANO
454004.495,7790979.059,-3964.85,MAASTRICHTIANO
455004.539,7790979.112,-3999.92,MAASTRICHTIANO
456004.584,7790979.165,-4031.32,MAASTRICHTIANO
457004.629,7790979.218,-4073.89,MAASTRICHTIANO
458004.673,7790979.271,-4064.47,MAASTRICHTIANO
459004.718,7790979.324,-4013.7,MAASTRICHTIANO
460004.763,7790979.377,-3830.49,MAASTRICHTIANO
439453.855,7790778.282,-3457.63,MAASTRICHTIANO
440003.88,7790778.312,-3491.44,MAASTRICHTIANO
441003.924,7790778.365,-3545.81,MAASTRICHTIANO
442003.969,7790778.418,-3566.16,MAASTRICHTIANO
443004.014,7790778.471,-3559.27,MAASTRICHTIANO
444004.058,7790778.524,-3596.67,MAASTRICHTIANO
445004.103,7790778.577,-3593.21,MAASTRICHTIANO
446004.148,7790778.63,-3611.71,MAASTRICHTIANO
447004.192,7790778.683,-3667.9,MAASTRICHTIANO
448004.237,7790778.736,-3747.22,MAASTRICHTIANO
449004.282,7790778.789,-3802.48,MAASTRICHTIANO
450004.326,7790778.842,-3827.78,MAASTRICHTIANO
451004.371,7790778.895,-3818.81,MAASTRICHTIANO
442404.029,7789978.422,-3524.51,MAASTRICHTIANO
443004.056,7789978.454,-3556.27,MAASTRICHTIANO
444004.101,7789978.507,-3599.14,MAASTRICHTIANO
445004.146,7789978.56,-3595.77,MAASTRICHTIANO
446004.19,7789978.613,-3575.47,MAASTRICHTIANO
447004.235,7789978.666,-3633.52,MAASTRICHTIANO
448004.28,7789978.719,-3728.85,MAASTRICHTIANO
449004.324,7789978.772,-3793.29,MAASTRICHTIANO
464942.672,7787429.563,-3811.11,MAASTRICHTIANO
465005.174,7787429.566,-3814.4,MAASTRICHTIANO
466005.219,7787429.619,-3814.01,MAASTRICHTIANO
467005.264,7787429.672,-3809.56,MAASTRICHTIANO
468005.308,7787429.725,-3895.48,MAASTRICHTIANO
469005.353,7787429.778,-3982.37,MAASTRICHTIANO
470005.419,7787029.823,-3934.84,MAASTRICHTIANO
471005.464,7787029.876,-3994.17,MAASTRICHTIANO
464180.18,7786629.505,-3866.84,MAASTRICHTIANO
465005.217,7786629.549,-3881.07,MAASTRICHTIANO
466005.261,7786629.602,-3831.54,MAASTRICHTIANO
467005.306,7786629.655,-3808.1,MAASTRICHTIANO
468005.351,7786629.708,-3862.74,MAASTRICHTIANO
469005.396,7786629.761,-3932.22,MAASTRICHTIANO
470005.44,7786629.814,-3934.34,MAASTRICHTIANO
471005.485,7786629.867,-4002.45,MAASTRICHTIANO
463017.641,7786379.438,-4009.4,MAASTRICHTIANO
472005.543,7786379.915,-4579.17,MAASTRICHTIANO
473005.587,7786379.968,-4613.99,MAASTRICHTIANO
