X,Y,Z,formation
362.34600000001956,11950.275999999605,-2784.95,MAASTRICHTIANO
1162.3820000000414,11950.31799999997,-2833.81,MAASTRICHTIANO
2662.4490000000224,11950.398000000045,-2927.73,MAASTRICHTIANO
4162.516000000003,11950.476999999955,-3020.15,MAASTRICHTIANO
5662.583000000042,11950.55700000003,-3111.63,MAASTRICHTIANO
7162.650000000023,11950.637000000104,-3200.47,MAASTRICHTIANO
8662.717000000004,11950.716000000015,-3277.98,MAASTRICHTIANO
10162.783999999985,11950.79600000009,-3324.42,MAASTRICHTIANO
11662.851000000024,11950.875,-3413.06,MAASTRICHTIANO
13162.918000000005,11950.955000000075,-3423.63,MAASTRICHTIANO
14662.984999999986,11951.033999999985,-3472.07,MAASTRICHTIANO
16163.052000000025,11951.11400000006,-3539.99,MAASTRICHTIANO
17663.119000000006,11951.194000000134,-3613.84,MAASTRICHTIANO
19163.185999999987,11951.273000000045,-3699.01,MAASTRICHTIANO
20663.253000000026,11951.35300000012,-3774.07,MAASTRICHTIANO
22163.320000000007,11951.43200000003,-3830.97,MAASTRICHTIANO
23663.386999999988,11951.512000000104,-3869.0,MAASTRICHTIANO
25163.454000000027,11951.592000000179,-3923.4,MAASTRICHTIANO
26663.521000000008,11951.67100000009,-3964.96,MAASTRICHTIANO
28163.58799999999,11951.751000000164,-3860.67,MAASTRICHTIANO
29663.655000000028,11951.830000000075,-3791.84,MAASTRICHTIANO
31163.72200000001,11951.910000000149,-3912.93,MAASTRICHTIANO
32663.78899999999,11951.98900000006,-4023.6,MAASTRICHTIANO
34163.85600000003,11952.069000000134,-4204.32,MAASTRICHTIANO
35663.92300000001,11952.149000000209,-4321.7,MAASTRICHTIANO
37163.98999999999,11952.22800000012,-4405.62,MAASTRICHTIANO
38664.05700000003,11952.308000000194,-4476.45,MAASTRICHTIANO
40164.12400000001,11952.387000000104,-4543.6,MAASTRICHTIANO
41664.19099999999,11952.467000000179,-4615.48,MAASTRICHTIANO
43164.25800000003,11952.54600000009,-4694.05,MAASTRICHTIANO
362.4230000000098,10500.245000000112,-2777.19,MAASTRICHTIANO
1162.4590000000317,10500.286999999546,-2829.86,MAASTRICHTIANO
2662.5260000000126,10500.36699999962,-2929.12,MAASTRICHTIANO
4162.5929999999935,10500.44599999953,-3024.99,MAASTRICHTIANO
5662.660000000033,10500.525999999605,-3117.17,MAASTRICHTIANO
7162.7270000000135,10500.604999999516,-3208.66,MAASTRICHTIANO
8662.793999999994,10500.68499999959,-3315.1,MAASTRICHTIANO
