X,Y,Z,formation
431215.754,7785829.449,-2905.49,top
432015.754,7785829.449,-2965.06,top
433015.754,7785829.449,-3043.23,top
434015.754,7785829.449,-3120.3,top
435015.754,7785829.449,-3195.17,top
436015.754,7785829.449,-3266.31,top
437015.754,7785829.449,-3332.0,top
438015.754,7785829.449,-3390.76,top
439015.754,7785829.449,-3441.47,top
440015.754,7785829.449,-3483.48,top
441015.754,7785829.449,-3516.28,top
442015.754,7785829.449,-3541.11,top
443015.754,7785829.449,-3561.3,top
444015.754,7785829.449,-3580.71,top
445015.754,7785829.449,-3603.6,top
446015.754,7785829.449,-3635.11,top
447015.754,7785829.449,-3677.75,top
448015.754,7785829.449,-3728.31,top
449015.754,7785829.449,-3780.35,top
450015.754,7785829.449,-3827.18,top
451015.754,7785829.449,-3865.05,top
452015.754,7785829.449,-3895.28,top
453015.754,7785829.449,-3921.12,top
454015.754,7785829.449,-3944.13,top
455015.754,7785829.449,-3964.23,top
456015.754,7785829.449,-3981.77,top
457015.754,7785829.449,-3999.06,top
458015.754,7785829.449,-4020.11,top
459015.754,7785829.449,-4049.55,top
460015.754,7785829.449,-4091.76,top
461015.754,7785829.449,-4138.95,top
462015.754,7785829.449,-4121.68,top
463015.754,7785829.449,-3863.83,top
464015.754,7785829.449,-3902.58,top
465015.754,7785829.449,-3843.96,top
466015.754,7785829.449,-3785.87,top
467015.754,7785829.449,-3780.63,top
468015.754,7785829.449,-4048.33,top
469015.754,7785829.449,-4592.62,top
470015.754,7785829.449,-4800.37,top
471015.754,7785829.449,-4866.72,top
472015.754,7785829.449,-4717.54,top
473015.754,7785829.449,-4654.05,top
474015.754,7785829.449,-4664.55,top
431215.754,7786029.449,-2902.51,top
432015.754,7786029.449,-2962.18,top
433015.754,7786029.449,-3040.39,top
434015.754,7786029.449,-3117.48,top
435015.754,7786029.449,-3192.39,top
436015.754,7786029.449,-3263.62,top
437015.754,7786029.449,-3329.47,top
438015.754,7786029.449,-3388.42,top
439015.754,7786029.449,-3439.29,top
440015.754,7786029.449,-3481.44,top
441015.754,7786029.449,-3514.5,top
442015.754,7786029.449,-3539.8,top
443015.754,7786029.449,-3560.7,top
444015.754,7786029.449,-3580.69,top
445015.754,7786029.449,-3603.56,top
446015.754,7786029.449,-3634.61,top
447015.754,7786029.449,-3676.85,top
448015.754,7786029.449,-3727.29,top
449015.754,7786029.449,-3779.04,top
450015.754,7786029.449,-3825.41,top
451015.754,7786029.449,-3863.02,top
452015.754,7786029.449,-3893.36,top
453015.754,7786029.449,-3919.73,top
454015.754,7786029.449,-3943.63,top
455015.754,7786029.449,-3964.73,top
456015.754,7786029.449,-3983.18,top
457015.754,7786029.449,-4001.04,top
458015.754,7786029.449,-4021.9,top
459015.754,7786029.449,-4049.87,top
460015.754,7786029.449,-4088.76,top
461015.754,7786029.449,-4131.1,top
462015.754,7786029.449,-4117.02,top
463015.754,7786029.449,-3947.79,top
464015.754,7786029.449,-4003.95,top
465015.754,7786029.449,-3798.79,top
466015.754,7786029.449,-3736.33,top
467015.754,7786029.449,-3733.41,top
468015.754,7786029.449,-4059.42,top
469015.754,7786029.449,-4519.75,top
470015.754,7786029.449,-4712.77,top
471015.754,7786029.449,-4784.46,top
472015.754,7786029.449,-4680.63,top
473015.754,7786029.449,-4643.24,top
474015.754,7786029.449,-4660.63,top
431215.754,7787029.449,-2884.21,top
432015.754,7787029.449,-2944.29,top
433015.754,7787029.449,-3023.11,top
434015.754,7787029.449,-3100.93,top
435015.754,7787029.449,-3176.84,top
436015.754,7787029.449,-3249.49,top
437015.754,7787029.449,-3317.12,top
438015.754,7787029.449,-3377.89,top
439015.754,7787029.449,-3430.09,top
440015.754,7787029.449,-3473.22,top
441015.754,7787029.449,-3506.96,top
442015.754,7787029.449,-3533.26,top
443015.754,7787029.449,-3557.27,top
444015.754,7787029.449,-3579.7,top
445015.754,7787029.449,-3599.8,top
446015.754,7787029.449,-3625.79,top
447015.754,7787029.449,-3666.78,top
448015.754,7787029.449,-3720.21,top
449015.754,7787029.449,-3773.38,top
450015.754,7787029.449,-3817.83,top
451015.754,7787029.449,-3852.93,top
452015.754,7787029.449,-3882.55,top
453015.754,7787029.449,-3911.75,top
454015.754,7787029.449,-3941.44,top
455015.754,7787029.449,-3968.97,top
456015.754,7787029.449,-3992.24,top
457015.754,7787029.449,-4011.89,top
458015.754,7787029.449,-4029.23,top
459015.754,7787029.449,-4045.72,top
460015.754,7787029.449,-4065.52,top
461015.754,7787029.449,-4089.76,top
462015.754,7787029.449,-4091.94,top
463015.754,7787029.449,-4002.88,top
464015.754,7787029.449,-3807.89,top
465015.754,7787029.449,-3869.46,top
466015.754,7787029.449,-3828.83,top
467015.754,7787029.449,-3790.82,top
468015.754,7787029.449,-3867.24,top
469015.754,7787029.449,-3928.98,top
470015.754,7787029.449,-3926.25,top
471015.754,7787029.449,-3963.99,top
472015.754,7787029.449,-4281.55,top
473015.754,7787029.449,-4545.35,top
474015.754,7787029.449,-4646.94,top
431215.754,7788029.449,-2865.93,top
432015.754,7788029.449,-2926.77,top
433015.754,7788029.449,-3006.73,top
434015.754,7788029.449,-3085.95,top
435015.754,7788029.449,-3163.72,top
436015.754,7788029.449,-3238.83,top
437015.754,7788029.449,-3309.43,top
438015.754,7788029.449,-3373.13,top
439015.754,7788029.449,-3427.46,top
440015.754,7788029.449,-3471.9,top
441015.754,7788029.449,-3503.59,top
442015.754,7788029.449,-3526.22,top
443015.754,7788029.449,-3554.72,top
444015.754,7788029.449,-3581.88,top
445015.754,7788029.449,-3593.57,top
446015.754,7788029.449,-3607.16,top
