X,Y,Z,formation
431215.581,7798428.01,-2784.95,MAASTRICHTIANO
431515.595,7798428.026,-2802.06,MAASTRICHTIANO
432015.617,7798428.052,-2833.81,MAASTRICHTIANO
432515.639,7798428.079,-2865.4,MAASTRICHTIANO
433015.662,7798428.105,-2896.7,MAASTRICHTIANO
433515.684,7798428.132,-2927.73,MAASTRICHTIANO
434015.706,7798428.158,-2958.58,MAASTRICHTIANO
434515.729,7798428.185,-2989.36,MAASTRICHTIANO
435015.751,7798428.211,-3020.15,MAASTRICHTIANO
435515.773,7798428.238,-3050.87,MAASTRICHTIANO
436015.796,7798428.264,-3081.39,MAASTRICHTIANO
436515.818,7798428.291,-3111.63,MAASTRICHTIANO
437015.84,7798428.318,-3141.6,MAASTRICHTIANO
437515.863,7798428.344,-3171.28,MAASTRICHTIANO
438015.885,7798428.371,-3200.47,MAASTRICHTIANO
438515.907,7798428.397,-3228.56,MAASTRICHTIANO
439015.93,7798428.424,-3254.57,MAASTRICHTIANO
439515.952,7798428.45,-3277.98,MAASTRICHTIANO
440015.974,7798428.477,-3299.72,MAASTRICHTIANO
440515.997,7798428.503,-3321.82,MAASTRICHTIANO
441016.019,7798428.53,-3324.42,MAASTRICHTIANO
441516.041,7798428.556,-3358.36,MAASTRICHTIANO
442016.064,7798428.583,-3385.45,MAASTRICHTIANO
442516.086,7798428.609,-3413.06,MAASTRICHTIANO
443016.108,7798428.636,-3419.6,MAASTRICHTIANO
443516.131,7798428.662,-3422.26,MAASTRICHTIANO
444016.153,7798428.689,-3423.63,MAASTRICHTIANO
444516.175,7798428.715,-3424.74,MAASTRICHTIANO
445016.198,7798428.742,-3442.88,MAASTRICHTIANO
445516.22,7798428.768,-3472.07,MAASTRICHTIANO
446016.242,7798428.795,-3501.28,MAASTRICHTIANO
446516.265,7798428.822,-3520.89,MAASTRICHTIANO
447016.287,7798428.848,-3539.99,MAASTRICHTIANO
447516.31,7798428.875,-3559.09,MAASTRICHTIANO
448016.332,7798428.901,-3580.21,MAASTRICHTIANO
448516.354,7798428.928,-3613.84,MAASTRICHTIANO
449016.377,7798428.954,-3639.46,MAASTRICHTIANO
449516.399,7798428.981,-3666.21,MAASTRICHTIANO
450016.421,7798429.007,-3699.01,MAASTRICHTIANO
450516.444,7798429.034,-3731.69,MAASTRICHTIANO
451016.466,7798429.06,-3761.25,MAASTRICHTIANO
451516.488,7798429.087,-3774.07,MAASTRICHTIANO
452016.511,7798429.113,-3794.97,MAASTRICHTIANO
452516.533,7798429.14,-3814.72,MAASTRICHTIANO
453016.555,7798429.166,-3830.97,MAASTRICHTIANO
453516.578,7798429.193,-3844.45,MAASTRICHTIANO
454016.6,7798429.219,-3856.58,MAASTRICHTIANO
454516.622,7798429.246,-3869.0,MAASTRICHTIANO
455016.645,7798429.272,-3883.94,MAASTRICHTIANO
455516.667,7798429.299,-3916.53,MAASTRICHTIANO
456016.689,7798429.326,-3923.4,MAASTRICHTIANO
456516.712,7798429.352,-3920.89,MAASTRICHTIANO
457016.734,7798429.379,-3944.66,MAASTRICHTIANO
457516.756,7798429.405,-3964.96,MAASTRICHTIANO
458016.779,7798429.432,-3973.08,MAASTRICHTIANO
458516.801,7798429.458,-3936.16,MAASTRICHTIANO
459016.823,7798429.485,-3860.67,MAASTRICHTIANO
459516.846,7798429.511,-3815.99,MAASTRICHTIANO
460016.868,7798429.538,-3791.79,MAASTRICHTIANO
460516.89,7798429.564,-3791.84,MAASTRICHTIANO
461016.913,7798429.591,-3819.64,MAASTRICHTIANO
461516.935,7798429.617,-3856.69,MAASTRICHTIANO
462016.957,7798429.644,-3912.93,MAASTRICHTIANO
462516.98,7798429.67,-3957.27,MAASTRICHTIANO
463017.002,7798429.697,-3993.11,MAASTRICHTIANO
463517.024,7798429.723,-4023.6,MAASTRICHTIANO
464017.047,7798429.75,-4086.33,MAASTRICHTIANO
464517.069,7798429.776,-4148.91,MAASTRICHTIANO
465017.091,7798429.803,-4204.32,MAASTRICHTIANO
465517.114,7798429.83,-4249.42,MAASTRICHTIANO
466017.136,7798429.856,-4287.58,MAASTRICHTIANO
466517.158,7798429.883,-4321.7,MAASTRICHTIANO
467017.181,7798429.909,-4352.1,MAASTRICHTIANO
467517.203,7798429.936,-4379.99,MAASTRICHTIANO
468017.225,7798429.962,-4405.62,MAASTRICHTIANO
468517.248,7798429.989,-4429.83,MAASTRICHTIANO
469017.27,7798430.015,-4453.42,MAASTRICHTIANO
469517.292,7798430.042,-4476.45,MAASTRICHTIANO
470017.315,7798430.068,-4498.95,MAASTRICHTIANO
470517.337,7798430.095,-4521.18,MAASTRICHTIANO
471017.359,7798430.121,-4543.6,MAASTRICHTIANO
471517.382,7798430.148,-4566.64,MAASTRICHTIANO
472017.404,7798430.174,-4590.57,MAASTRICHTIANO
472517.426,7798430.201,-4615.48,MAASTRICHTIANO
473017.449,7798430.227,-4641.22,MAASTRICHTIANO
473517.471,7798430.254,-4667.5,MAASTRICHTIANO
474017.493,7798430.28,-4694.05,MAASTRICHTIANO
431215.605,7797978.0,-2782.47,MAASTRICHTIANO
431515.619,7797978.016,-2800.07,MAASTRICHTIANO
432015.641,7797978.043,-2832.45,MAASTRICHTIANO
432515.663,7797978.069,-2864.58,MAASTRICHTIANO
433015.686,7797978.096,-2896.37,MAASTRICHTIANO
433515.708,7797978.122,-2927.81,MAASTRICHTIANO
434015.73,7797978.149,-2958.99,MAASTRICHTIANO
434515.753,7797978.175,-2990.15,MAASTRICHTIANO
435015.775,7797978.202,-3021.36,MAASTRICHTIANO
435515.797,7797978.228,-3052.41,MAASTRICHTIANO
436015.82,7797978.255,-3082.96,MAASTRICHTIANO
436515.842,7797978.281,-3113.09,MAASTRICHTIANO
437015.864,7797978.308,-3143.04,MAASTRICHTIANO
437515.887,7797978.334,-3173.0,MAASTRICHTIANO
438015.909,7797978.361,-3202.99,MAASTRICHTIANO
438515.931,7797978.387,-3232.61,MAASTRICHTIANO
439015.954,7797978.414,-3260.87,MAASTRICHTIANO
439515.976,7797978.44,-3286.49,MAASTRICHTIANO
440015.998,7797978.467,-3309.47,MAASTRICHTIANO
440516.021,7797978.494,-3329.99,MAASTRICHTIANO
441016.043,7797978.52,-3340.47,MAASTRICHTIANO
