,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,formation,series,id,order_series,smooth
4022,444066.307,7795578.63,-4469.07,0.40315336261606316,0.5593817398776981,0.4999257844524161,0.04910547222282312,0.09242788785872624,0.9945077868693377,6.007728412420491,27.98100053230624,1.0,TURONIANO,Default series,1.0,1.0,0.01
4023,444503.826,7795578.654,-4580.91,0.40822135544607435,0.559382017881234,0.4986302879868719,0.02386429586305371,0.033053254993177426,0.9991686432816617,2.3364765575810664,35.82910857842089,1.0,TURONIANO,Default series,1.0,1.0,0.01
4024,445003.848,7795578.68,-4645.88,0.4140133505613669,0.5593823190517239,0.497877709255055,-0.01019785570195016,0.03961404123619999,0.9991630154664548,2.3443726318074165,345.5637785248435,1.0,TURONIANO,Default series,1.0,1.0,0.01
4025,445503.871,7795578.707,-4641.85,0.4198053572601399,0.559382631805707,0.49792439068170147,-0.07727922363855691,0.02402095952982448,0.99672007860637,4.641818165474038,287.2669868273355,1.0,TURONIANO,Default series,1.0,1.0,0.01
4026,446003.893,7795578.733,-4490.98,0.42559735237543245,0.5593829329761969,0.49967199039340254,-0.09298112640238544,0.05282668676191098,0.9942654833085088,6.138945791285302,299.60282093749237,1.0,TURONIANO,Default series,1.0,1.0,0.01
4027,446503.915,7795578.76,-4495.35,0.431389347490725,0.5593832457301693,0.49962137058336653,-0.014597338659689412,0.032903991884655565,0.9993519125023522,2.062898736405938,336.0762850683424,1.0,TURONIANO,Default series,1.0,1.0,0.01
4028,447003.938,7795578.786,-4518.93,0.43718135418949866,0.55938354690067,0.4993482321118221,0.05010608491363904,-0.0032244362729751666,0.9987386961890226,2.878015594819945,93.68203178132725,1.0,TURONIANO,Default series,1.0,1.0,0.01
4029,447503.96,7795578.813,-4558.28,0.4429733493047912,0.5593838596546424,0.4988924221518868,0.06323019620805696,0.0016919086766467612,0.9979975349330881,3.6265410918432877,88.4672497237619,1.0,TURONIANO,Default series,1.0,1.0,0.01
4030,448003.982,7795578.839,-4594.58,0.44876534442008376,0.5593841608251323,0.4984719418076517,0.06311815966695537,0.012672873329108644,0.9979255965260342,3.6911300712160755,78.6470940892816,1.0,TURONIANO,Default series,1.0,1.0,0.01
4031,448504.005,7795578.866,-4626.83,0.45455735111885676,0.5593844735791155,0.49809837455967426,0.049893060360340774,0.02128420607430358,0.9985277487880174,3.109437897771213,66.897073212402,1.0,TURONIANO,Default series,1.0,1.0,0.01
4032,449004.027,7795578.892,-4653.09,0.46034934623414925,0.5593847747496055,0.49779419236023587,0.032688773952105864,0.022413998837499175,0.9992142196314165,2.2715204965257905,55.562394186642095,1.0,TURONIANO,Default series,1.0,1.0,0.01
4033,449504.05,7795578.919,-4653.09,0.46614135293292225,0.5593850875035777,0.49779419236023587,0.016770491577751456,0.024635252186693796,0.9995558288369581,1.7077680582415427,34.24514572009451,1.0,TURONIANO,Default series,1.0,1.0,0.01
4034,450004.072,7795578.945,-4656.95,0.4719333480482148,0.5593853886740785,0.49774948012528414,0.003384154074071083,0.027994401220476788,0.9996023514385657,1.6158525594932345,6.892857760689264,1.0,TURONIANO,Default series,1.0,1.0,0.01
4035,450504.094,7795578.972,-4662.45,0.47772534316350734,0.5593857014280509,0.4976857709822182,-0.0046319640892288376,0.031638845826921606,0.9994886334238205,1.8324085441357723,351.67100041321663,1.0,TURONIANO,Default series,1.0,1.0,0.01
4036,451004.117,7795578.998,-4655.74,0.483517349862281,0.5593860025985408,0.49776349613675863,-0.030115423371849658,0.028811134284549723,0.9991311124253772,2.3886409570329445,313.73201383953386,1.0,TURONIANO,Default series,1.0,1.0,0.01
4037,451504.139,7795579.025,-4641.87,0.48930934497757356,0.5593863153525239,0.49792415901209036,-0.052357140492476174,0.025499465174151456,0.9983028133363561,3.3385960700315165,295.96744232834163,1.0,TURONIANO,Default series,1.0,1.0,0.01
4038,452004.161,7795579.051,-4585.36,0.4951013400928661,0.5593866165230139,0.4985787414983913,-0.059982606435072985,0.02528184826195642,0.9978792086589011,3.732186906155395,292.85475769728623,1.0,TURONIANO,Default series,1.0,1.0,0.01
4039,452504.184,7795579.078,-4566.06,0.5008933467916391,0.5593869292769862,0.4988023026731499,-0.04313838540354463,0.018794340870929408,0.9988923127424711,2.697033288364959,293.5415807751826,1.0,TURONIANO,Default series,1.0,1.0,0.01
4040,453004.206,7795579.104,-4553.24,0.5066853419069317,0.559387230447487,0.4989508028938963,-0.012994147997978945,0.004280661503768198,0.9999064096478714,0.7838925880779005,288.2334309352777,1.0,TURONIANO,Default series,1.0,1.0,0.01
4041,453504.228,7795579.131,-4548.93,0.5124773370222242,0.5593875432014593,0.49900072769509884,-0.004397561731974022,-0.010191649889293943,0.9999383939640218,0.6359917651721972,203.33955698687765,1.0,TURONIANO,Default series,1.0,1.0,0.01
4042,454004.251,7795579.158,-4544.61,0.5182693437209972,0.5593878559554317,0.499050768331107,-0.0011642759758051424,-0.021153497885639062,0.9997755618080761,1.2139313685795061,183.15034712981728,1.0,TURONIANO,Default series,1.0,1.0,0.01
4043,454504.273,7795579.184,-4541.14,0.5240613388362898,0.5593881571259324,0.4990909630086413,0.00661908844446697,-0.022374322521062105,0.9997277516203537,1.3369960849459572,163.51998425815216,1.0,TURONIANO,Default series,1.0,1.0,0.01
4044,455004.295,7795579.211,-4545.53,0.5298533339515823,0.5593884698799048,0.4990401115289942,0.019587954688460554,-0.01613180456130609,0.9996779866100477,1.4540731343346183,129.47341456223901,1.0,TURONIANO,Default series,1.0,1.0,0.01
4045,455504.318,7795579.237,-4570.21,0.535645340650356,0.5593887710503948,0.49875423122883655,0.03537271039090099,-0.007970976765895211,0.999342401226426,2.077982710147398,102.69906307643473,1.0,TURONIANO,Default series,1.0,1.0,0.01
4046,456004.34,7795579.264,-4594.9,0.5414373357656486,0.5593890838043779,0.49846823509387334,0.05636763191131717,-0.0028525008890918162,0.9984060062476527,3.2354794300569747,92.8969987917186,1.0,TURONIANO,Default series,1.0,1.0,0.01
4047,456504.362,7795579.29,-4619.58,0.5472293308809411,0.5593893849748678,0.4981823547937157,0.062153517615810124,0.014745119730517215,0.9979576753009687,3.6624690801073494,76.65404164837344,1.0,TURONIANO,Default series,1.0,1.0,0.01
4048,457004.385,7795579.317,-4655.29,0.5530213375797141,0.5593896977288402,0.4977687087030095,0.06095436244027046,0.038668224776019215,0.9973912642950966,4.139492783961695,57.60977776132093,1.0,TURONIANO,Default series,1.0,1.0,0.01
4049,457504.407,7795579.343,-4705.54,0.5588133326950065,0.5593899988993408,0.4971866388049981,0.07280891705170571,0.0630682561660984,0.9953498162263985,5.5276575260457275,49.10036246443683,1.0,TURONIANO,Default series,1.0,1.0,0.01
4050,458004.429,7795579.37,-4745.77,0.5646053278102992,0.5593903116533132,0.49672063538217226,0.06802929839956348,0.07432333275878042,0.9949110798291929,5.782755037158481,42.468351075023335,1.0,TURONIANO,Default series,1.0,1.0,0.01
4051,458504.452,7795579.396,-4773.99,0.5703973345090722,0.5593906128238032,0.49639374956084126,0.040075621946828816,0.07455436172403934,0.9964113566562236,4.855486402392681,28.25961115585465,1.0,TURONIANO,Default series,1.0,1.0,0.01
4052,459004.474,7795579.423,-4786.25,0.5761893296243646,0.5593909255777864,0.49625173608920703,0.006049199060978999,0.07918670552648985,0.9968414482045685,4.55508001064903,4.368431816163558,1.0,TURONIANO,Default series,1.0,1.0,0.01
4053,459504.496,7795579.449,-4783.43,0.5819813247396572,0.5593912267482762,0.496284401504379,-0.013383454197091216,0.10647835725857727,0.9942249456683679,6.160626721799842,352.8359607218774,1.0,TURONIANO,Default series,1.0,1.0,0.01
4054,460004.519,7795579.476,-4756.42,0.5877733314384302,0.5593915395022486,0.49659727131423553,-0.06192429882384481,0.12590740618874047,0.9901074215871725,8.065866996812003,333.8109279177994,1.0,TURONIANO,Default series,1.0,1.0,0.01
4055,433553.358,7795178.064,-3780.17,0.2813768222731985,0.5547417914047306,0.507905644208437,0.03820235251963201,-0.7359261109612902,0.675983239043215,47.46944901908223,177.02841002986273,1.0,TURONIANO,Default series,1.0,1.0,0.01
