X,Y,Z,formation
431215.581,7798428.01,-2784.95,MAASTRICHTIANO
432015.617,7798428.052,-2833.81,MAASTRICHTIANO
433515.684,7798428.132,-2927.73,MAASTRICHTIANO
435015.751,7798428.211,-3020.15,MAASTRICHTIANO
436515.818,7798428.291,-3111.63,MAASTRICHTIANO
438015.885,7798428.371,-3200.47,MAASTRICHTIANO
439515.952,7798428.45,-3277.98,MAASTRICHTIANO
441016.019,7798428.53,-3324.42,MAASTRICHTIANO
442516.086,7798428.609,-3413.06,MAASTRICHTIANO
444016.153,7798428.689,-3423.63,MAASTRICHTIANO
445516.22,7798428.768,-3472.07,MAASTRICHTIANO
447016.287,7798428.848,-3539.99,MAASTRICHTIANO
448516.354,7798428.928,-3613.84,MAASTRICHTIANO
450016.421,7798429.007,-3699.01,MAASTRICHTIANO
451516.488,7798429.087,-3774.07,MAASTRICHTIANO
453016.555,7798429.166,-3830.97,MAASTRICHTIANO
454516.622,7798429.246,-3869.0,MAASTRICHTIANO
456016.689,7798429.326,-3923.4,MAASTRICHTIANO
457516.756,7798429.405,-3964.96,MAASTRICHTIANO
459016.823,7798429.485,-3860.67,MAASTRICHTIANO
460516.89,7798429.564,-3791.84,MAASTRICHTIANO
462016.957,7798429.644,-3912.93,MAASTRICHTIANO
463517.024,7798429.723,-4023.6,MAASTRICHTIANO
465017.091,7798429.803,-4204.32,MAASTRICHTIANO
466517.158,7798429.883,-4321.7,MAASTRICHTIANO
468017.225,7798429.962,-4405.62,MAASTRICHTIANO
469517.292,7798430.042,-4476.45,MAASTRICHTIANO
471017.359,7798430.121,-4543.6,MAASTRICHTIANO
472517.426,7798430.201,-4615.48,MAASTRICHTIANO
474017.493,7798430.28,-4694.05,MAASTRICHTIANO
431215.658,7796977.979,-2777.19,MAASTRICHTIANO
432015.694,7796978.021,-2829.86,MAASTRICHTIANO
433515.761,7796978.101,-2929.12,MAASTRICHTIANO
435015.828,7796978.18,-3024.99,MAASTRICHTIANO
436515.895,7796978.26,-3117.17,MAASTRICHTIANO
438015.962,7796978.339,-3208.66,MAASTRICHTIANO
439516.029,7796978.419,-3315.1,MAASTRICHTIANO
441016.096,7796978.499,-3393.81,MAASTRICHTIANO
442516.163,7796978.578,-3469.91,MAASTRICHTIANO
444016.23,7796978.658,-3478.87,MAASTRICHTIANO
445516.297,7796978.737,-3516.61,MAASTRICHTIANO
447016.364,7796978.817,-3569.35,MAASTRICHTIANO
448516.431,7796978.896,-3639.71,MAASTRICHTIANO
450016.498,7796978.976,-3734.07,MAASTRICHTIANO
451516.565,7796979.056,-3834.07,MAASTRICHTIANO
453016.632,7796979.135,-3904.53,MAASTRICHTIANO
454516.699,7796979.215,-3919.74,MAASTRICHTIANO
456016.766,7796979.294,-3957.52,MAASTRICHTIANO
457516.833,7796979.374,-3962.13,MAASTRICHTIANO
459016.9,7796979.454,-3984.72,MAASTRICHTIANO
460516.967,7796979.533,-3819.81,MAASTRICHTIANO
462017.034,7796979.613,-3936.26,MAASTRICHTIANO
463517.101,7796979.692,-4198.85,MAASTRICHTIANO
465017.168,7796979.772,-4272.28,MAASTRICHTIANO
466517.235,7796979.851,-4270.48,MAASTRICHTIANO
468017.302,7796979.931,-4338.29,MAASTRICHTIANO
469517.369,7796980.011,-4416.41,MAASTRICHTIANO
471017.436,7796980.09,-4498.91,MAASTRICHTIANO
472517.503,7796980.17,-4585.93,MAASTRICHTIANO
474017.57,7796980.249,-4678.07,MAASTRICHTIANO
431215.738,7795477.946,-2770.37,MAASTRICHTIANO
432015.774,7795477.989,-2828.59,MAASTRICHTIANO
433515.841,7795478.068,-2940.23,MAASTRICHTIANO
435015.908,7795478.148,-3029.78,MAASTRICHTIANO
436515.975,7795478.228,-3124.86,MAASTRICHTIANO
438016.042,7795478.307,-3206.32,MAASTRICHTIANO
439516.109,7795478.387,-3354.82,MAASTRICHTIANO
441016.176,7795478.466,-3405.21,MAASTRICHTIANO
442516.243,7795478.546,-3510.14,MAASTRICHTIANO
444016.31,7795478.625,-3525.62,MAASTRICHTIANO
445516.377,7795478.705,-3582.28,MAASTRICHTIANO
447016.444,7795478.785,-3598.53,MAASTRICHTIANO
448516.511,7795478.864,-3730.36,MAASTRICHTIANO
450016.578,7795478.944,-3768.22,MAASTRICHTIANO
451516.645,7795479.023,-3874.01,MAASTRICHTIANO
453016.712,7795479.103,-3979.94,MAASTRICHTIANO
454516.779,7795479.183,-3930.9,MAASTRICHTIANO
456016.846,7795479.262,-3939.73,MAASTRICHTIANO
457516.913,7795479.342,-3975.05,MAASTRICHTIANO
459016.98,7795479.421,-3980.38,MAASTRICHTIANO
460517.047,7795479.501,-3667.86,MAASTRICHTIANO
462017.114,7795479.58,-3611.88,MAASTRICHTIANO
463517.181,7795479.66,-4136.54,MAASTRICHTIANO
465017.248,7795479.74,-4215.05,MAASTRICHTIANO
466517.315,7795479.819,-4193.23,MAASTRICHTIANO
468017.382,7795479.899,-4259.64,MAASTRICHTIANO
469517.449,7795479.978,-4351.7,MAASTRICHTIANO
471017.516,7795480.058,-4447.69,MAASTRICHTIANO
472517.583,7795480.138,-4551.17,MAASTRICHTIANO
474017.65,7795480.217,-4661.62,MAASTRICHTIANO
431215.817,7793977.914,-2774.35,MAASTRICHTIANO
432015.853,7793977.957,-2834.68,MAASTRICHTIANO
433515.92,7793978.036,-2948.17,MAASTRICHTIANO
435015.987,7793978.116,-3053.89,MAASTRICHTIANO
436516.054,7793978.195,-3157.25,MAASTRICHTIANO
438016.121,7793978.275,-3244.6,MAASTRICHTIANO
439516.188,7793978.355,-3389.66,MAASTRICHTIANO
441016.255,7793978.434,-3482.86,MAASTRICHTIANO
442516.322,7793978.514,-3548.6,MAASTRICHTIANO
444016.389,7793978.593,-3571.87,MAASTRICHTIANO
445516.456,7793978.673,-3593.88,MAASTRICHTIANO
447016.523,7793978.752,-3651.56,MAASTRICHTIANO
448516.59,7793978.832,-3700.63,MAASTRICHTIANO
450016.657,7793978.912,-3821.46,MAASTRICHTIANO
451516.724,7793978.991,-3946.31,MAASTRICHTIANO
453016.791,7793979.071,-3995.7,MAASTRICHTIANO
454516.858,7793979.15,-3990.92,MAASTRICHTIANO
456016.925,7793979.23,-4022.87,MAASTRICHTIANO
457516.992,7793979.309,-4035.19,MAASTRICHTIANO
459017.059,7793979.389,-4046.7,MAASTRICHTIANO
460517.126,7793979.469,-3697.92,MAASTRICHTIANO
462017.193,7793979.548,-3504.52,MAASTRICHTIANO
463517.26,7793979.628,-4061.28,MAASTRICHTIANO
465017.327,7793979.707,-4187.94,MAASTRICHTIANO
466517.394,7793979.787,-4179.53,MAASTRICHTIANO
468017.461,7793979.867,-4213.81,MAASTRICHTIANO
469517.528,7793979.946,-4291.19,MAASTRICHTIANO
471017.596,7793980.026,-4391.53,MAASTRICHTIANO
472517.663,7793980.105,-4513.47,MAASTRICHTIANO
474017.73,7793980.185,-4647.36,MAASTRICHTIANO
431215.897,7792477.882,-2788.22,MAASTRICHTIANO
432015.933,7792477.924,-2851.27,MAASTRICHTIANO
433516.0,7792478.004,-2969.48,MAASTRICHTIANO
435016.067,7792478.084,-3085.55,MAASTRICHTIANO
436516.134,7792478.163,-3201.51,MAASTRICHTIANO
438016.201,7792478.243,-3313.27,MAASTRICHTIANO
439516.268,7792478.322,-3419.29,MAASTRICHTIANO
441016.335,7792478.402,-3507.66,MAASTRICHTIANO
442516.402,7792478.481,-3574.67,MAASTRICHTIANO
444016.469,7792478.561,-3579.03,MAASTRICHTIANO
445516.536,7792478.641,-3630.95,MAASTRICHTIANO
447016.603,7792478.72,-3725.48,MAASTRICHTIANO
448516.67,7792478.8,-3834.27,MAASTRICHTIANO
450016.737,7792478.879,-3831.94,MAASTRICHTIANO
451516.804,7792478.959,-3892.87,MAASTRICHTIANO
453016.871,7792479.038,-3977.32,MAASTRICHTIANO
454516.938,7792479.118,-3986.16,MAASTRICHTIANO
456017.005,7792479.198,-4045.39,MAASTRICHTIANO
457517.072,7792479.277,-4079.0,MAASTRICHTIANO
459017.139,7792479.357,-4026.25,MAASTRICHTIANO
460517.206,7792479.436,-3853.6,MAASTRICHTIANO
462017.273,7792479.516,-3802.57,MAASTRICHTIANO
463517.34,7792479.596,-3977.81,MAASTRICHTIANO
465017.407,7792479.675,-4090.23,MAASTRICHTIANO
466517.474,7792479.755,-4116.54,MAASTRICHTIANO
468017.541,7792479.834,-4145.12,MAASTRICHTIANO
469517.608,7792479.914,-4210.01,MAASTRICHTIANO
471017.675,7792479.993,-4318.07,MAASTRICHTIANO
472517.742,7792480.073,-4467.7,MAASTRICHTIANO
474017.809,7792480.153,-4633.03,MAASTRICHTIANO
431215.977,7790977.85,-2810.95,MAASTRICHTIANO
432016.012,7790977.892,-2874.87,MAASTRICHTIANO
433516.079,7790977.972,-2997.0,MAASTRICHTIANO
435016.146,7790978.051,-3118.34,MAASTRICHTIANO
436516.213,7790978.131,-3240.7,MAASTRICHTIANO
438016.28,7790978.21,-3356.85,MAASTRICHTIANO
439516.347,7790978.29,-3450.31,MAASTRICHTIANO
441016.414,7790978.37,-3546.97,MAASTRICHTIANO
442516.481,7790978.449,-3572.74,MAASTRICHTIANO
444016.548,7790978.529,-3593.39,MAASTRICHTIANO
445516.615,7790978.608,-3596.21,MAASTRICHTIANO
447016.682,7790978.688,-3676.84,MAASTRICHTIANO
448516.749,7790978.767,-3765.36,MAASTRICHTIANO
450016.816,7790978.847,-3819.97,MAASTRICHTIANO
451516.883,7790978.927,-3815.85,MAASTRICHTIANO
453016.95,7790979.006,-3863.87,MAASTRICHTIANO
454517.017,7790979.086,-3998.67,MAASTRICHTIANO
456017.084,7790979.165,-4029.6,MAASTRICHTIANO
457517.152,7790979.245,-4078.81,MAASTRICHTIANO
459017.219,7790979.325,-4010.35,MAASTRICHTIANO
460517.286,7790979.404,-3729.94,MAASTRICHTIANO
462017.353,7790979.484,-3783.72,MAASTRICHTIANO
463517.42,7790979.563,-3902.16,MAASTRICHTIANO
465017.487,7790979.643,-3973.36,MAASTRICHTIANO
466517.554,7790979.722,-3997.76,MAASTRICHTIANO
468017.621,7790979.802,-4031.39,MAASTRICHTIANO
469517.688,7790979.882,-4093.92,MAASTRICHTIANO
471017.755,7790979.961,-4211.44,MAASTRICHTIANO
472517.822,7790980.041,-4406.75,MAASTRICHTIANO
474017.889,7790980.12,-4616.27,MAASTRICHTIANO
431216.056,7789477.817,-2838.16,MAASTRICHTIANO
432016.092,7789477.86,-2901.3,MAASTRICHTIANO
433516.159,7789477.939,-3023.49,MAASTRICHTIANO
435016.226,7789478.019,-3144.45,MAASTRICHTIANO
436516.293,7789478.099,-3262.49,MAASTRICHTIANO
438016.36,7789478.178,-3369.77,MAASTRICHTIANO
439516.427,7789478.258,-3457.0,MAASTRICHTIANO
