X,Y,Z,formation
362.34600000001956,12450.286999999546,-2784.95,MAASTRICHTIANO
662.359999999986,12450.302999999374,-2802.06,MAASTRICHTIANO
1162.3820000000414,12450.32899999991,-2833.81,MAASTRICHTIANO
1662.4040000000386,12450.35599999968,-2865.4,MAASTRICHTIANO
2162.427000000025,12450.382000000216,-2896.7,MAASTRICHTIANO
2662.4490000000224,12450.408999999985,-2927.73,MAASTRICHTIANO
3162.4710000000196,12450.43499999959,-2958.58,MAASTRICHTIANO
3662.494000000006,12450.46199999936,-2989.36,MAASTRICHTIANO
4162.516000000003,12450.487999999896,-3020.15,MAASTRICHTIANO
4662.5380000000005,12450.514999999665,-3050.87,MAASTRICHTIANO
5162.560999999987,12450.541000000201,-3081.39,MAASTRICHTIANO
5662.583000000042,12450.56799999997,-3111.63,MAASTRICHTIANO
6162.60500000004,12450.59499999974,-3141.6,MAASTRICHTIANO
6662.628000000026,12450.620999999344,-3171.28,MAASTRICHTIANO
7162.650000000023,12450.648000000045,-3200.47,MAASTRICHTIANO
7662.6720000000205,12450.67399999965,-3228.56,MAASTRICHTIANO
8162.695000000007,12450.700999999419,-3254.57,MAASTRICHTIANO
8662.717000000004,12450.726999999955,-3277.98,MAASTRICHTIANO
9162.739000000001,12450.753999999724,-3299.72,MAASTRICHTIANO
9662.761999999988,12450.77999999933,-3321.82,MAASTRICHTIANO
10162.783999999985,12450.80700000003,-3324.42,MAASTRICHTIANO
10662.80600000004,12450.832999999635,-3358.36,MAASTRICHTIANO
11162.829000000027,12450.859999999404,-3385.45,MAASTRICHTIANO
11662.851000000024,12450.88599999994,-3413.06,MAASTRICHTIANO
12162.873000000021,12450.91299999971,-3419.6,MAASTRICHTIANO
12662.896000000008,12450.938999999315,-3422.26,MAASTRICHTIANO
13162.918000000005,12450.966000000015,-3423.63,MAASTRICHTIANO
13662.940000000002,12450.99199999962,-3424.74,MAASTRICHTIANO
14162.962999999989,12451.018999999389,-3442.88,MAASTRICHTIANO
14662.984999999986,12451.044999999925,-3472.07,MAASTRICHTIANO
15163.007000000041,12451.071999999695,-3501.28,MAASTRICHTIANO
15663.030000000028,12451.098999999464,-3520.89,MAASTRICHTIANO
16163.052000000025,12451.125,-3539.99,MAASTRICHTIANO
16663.07500000001,12451.151999999769,-3559.09,MAASTRICHTIANO
17163.09700000001,12451.177999999374,-3580.21,MAASTRICHTIANO
17663.119000000006,12451.205000000075,-3613.84,MAASTRICHTIANO
18163.141999999993,12451.23099999968,-3639.46,MAASTRICHTIANO
18663.16399999999,12451.257999999449,-3666.21,MAASTRICHTIANO
19163.185999999987,12451.283999999985,-3699.01,MAASTRICHTIANO
19663.20900000003,12451.310999999754,-3731.69,MAASTRICHTIANO
20163.23100000003,12451.33699999936,-3761.25,MAASTRICHTIANO
20663.253000000026,12451.36400000006,-3774.07,MAASTRICHTIANO
21163.276000000013,12451.389999999665,-3794.97,MAASTRICHTIANO
21663.29800000001,12451.416999999434,-3814.72,MAASTRICHTIANO
22163.320000000007,12451.44299999997,-3830.97,MAASTRICHTIANO
22663.342999999993,12451.46999999974,-3844.45,MAASTRICHTIANO
23163.36499999999,12451.495999999344,-3856.58,MAASTRICHTIANO
23663.386999999988,12451.523000000045,-3869.0,MAASTRICHTIANO
24163.410000000033,12451.54899999965,-3883.94,MAASTRICHTIANO
24663.43200000003,12451.575999999419,-3916.53,MAASTRICHTIANO
25163.454000000027,12451.60300000012,-3923.4,MAASTRICHTIANO
25663.477000000014,12451.628999999724,-3920.89,MAASTRICHTIANO
26163.49900000001,12451.655999999493,-3944.66,MAASTRICHTIANO
26663.521000000008,12451.68200000003,-3964.96,MAASTRICHTIANO
27163.543999999994,12451.708999999799,-3973.08,MAASTRICHTIANO
27663.56599999999,12451.734999999404,-3936.16,MAASTRICHTIANO
28163.58799999999,12451.762000000104,-3860.67,MAASTRICHTIANO
28663.611000000034,12451.78799999971,-3815.99,MAASTRICHTIANO
29163.63300000003,12451.814999999478,-3791.79,MAASTRICHTIANO
29663.655000000028,12451.841000000015,-3791.84,MAASTRICHTIANO
30163.678000000014,12451.867999999784,-3819.64,MAASTRICHTIANO
30663.70000000001,12451.893999999389,-3856.69,MAASTRICHTIANO
31163.72200000001,12451.92100000009,-3912.93,MAASTRICHTIANO
31663.744999999995,12451.946999999695,-3957.27,MAASTRICHTIANO
32163.766999999993,12451.973999999464,-3993.11,MAASTRICHTIANO
