X,Y,Z,formation
440716.008,7798378.513,-3327.57,MAASTRICHTIANO
440728.509,7798378.513,-3327.48,MAASTRICHTIANO
440741.009,7798378.514,-3327.39,MAASTRICHTIANO
440753.51,7798378.515,-3327.31,MAASTRICHTIANO
440766.011,7798378.515,-3327.22,MAASTRICHTIANO
440778.511,7798378.516,-3327.13,MAASTRICHTIANO
440791.012,7798378.517,-3327.04,MAASTRICHTIANO
440803.512,7798378.517,-3326.95,MAASTRICHTIANO
440816.013,7798378.518,-3326.86,MAASTRICHTIANO
440828.513,7798378.519,-3326.78,MAASTRICHTIANO
440841.014,7798378.519,-3326.69,MAASTRICHTIANO
440853.515,7798378.52,-3326.6,MAASTRICHTIANO
440866.015,7798378.521,-3326.51,MAASTRICHTIANO
440878.516,7798378.521,-3326.42,MAASTRICHTIANO
440891.016,7798378.522,-3326.34,MAASTRICHTIANO
440903.517,7798378.523,-3326.25,MAASTRICHTIANO
440916.017,7798378.523,-3326.16,MAASTRICHTIANO
440928.518,7798378.524,-3326.07,MAASTRICHTIANO
440941.018,7798378.525,-3325.98,MAASTRICHTIANO
440953.519,7798378.525,-3325.89,MAASTRICHTIANO
440966.02,7798378.526,-3325.81,MAASTRICHTIANO
440978.52,7798378.527,-3325.72,MAASTRICHTIANO
440991.021,7798378.527,-3325.63,MAASTRICHTIANO
441003.521,7798378.528,-3325.54,MAASTRICHTIANO
441016.022,7798378.529,-3325.45,MAASTRICHTIANO
441028.522,7798378.529,-3325.36,MAASTRICHTIANO
441041.023,7798378.53,-3325.28,MAASTRICHTIANO
441053.523,7798378.531,-3325.19,MAASTRICHTIANO
441066.024,7798378.531,-3325.1,MAASTRICHTIANO
441078.525,7798378.532,-3325.01,MAASTRICHTIANO
441091.025,7798378.533,-3324.92,MAASTRICHTIANO
441103.526,7798378.533,-3324.92,MAASTRICHTIANO
441116.026,7798378.534,-3325.93,MAASTRICHTIANO
441128.527,7798378.535,-3326.93,MAASTRICHTIANO
441141.027,7798378.535,-3327.93,MAASTRICHTIANO
441153.528,7798378.536,-3328.94,MAASTRICHTIANO
441166.028,7798378.537,-3329.94,MAASTRICHTIANO
441178.529,7798378.537,-3330.94,MAASTRICHTIANO
441191.03,7798378.538,-3331.94,MAASTRICHTIANO
441203.53,7798378.539,-3332.95,MAASTRICHTIANO
441216.031,7798378.539,-3333.95,MAASTRICHTIANO
441228.531,7798378.54,-3334.95,MAASTRICHTIANO
441241.032,7798378.541,-3335.96,MAASTRICHTIANO
441253.532,7798378.541,-3336.96,MAASTRICHTIANO
441266.033,7798378.542,-3337.96,MAASTRICHTIANO
441278.533,7798378.543,-3338.96,MAASTRICHTIANO
441291.034,7798378.543,-3339.97,MAASTRICHTIANO
441303.535,7798378.544,-3340.97,MAASTRICHTIANO
441316.035,7798378.545,-3341.97,MAASTRICHTIANO
441328.536,7798378.545,-3342.98,MAASTRICHTIANO
441341.036,7798378.546,-3343.98,MAASTRICHTIANO
441353.537,7798378.547,-3344.98,MAASTRICHTIANO
441366.037,7798378.547,-3345.98,MAASTRICHTIANO
441378.538,7798378.548,-3346.99,MAASTRICHTIANO
441391.039,7798378.549,-3347.99,MAASTRICHTIANO
441403.539,7798378.549,-3348.99,MAASTRICHTIANO
441416.04,7798378.55,-3350.0,MAASTRICHTIANO
441428.54,7798378.551,-3351.0,MAASTRICHTIANO
441441.041,7798378.551,-3352.0,MAASTRICHTIANO
441453.541,7798378.552,-3353.01,MAASTRICHTIANO
441466.042,7798378.553,-3354.01,MAASTRICHTIANO
441478.542,7798378.553,-3355.01,MAASTRICHTIANO
441491.043,7798378.554,-3356.01,MAASTRICHTIANO
441503.544,7798378.555,-3356.01,MAASTRICHTIANO
441516.044,7798378.555,-3361.09,MAASTRICHTIANO
441528.545,7798378.556,-3361.09,MAASTRICHTIANO
441541.045,7798378.557,-3361.09,MAASTRICHTIANO
441553.546,7798378.557,-3361.74,MAASTRICHTIANO
441566.046,7798378.558,-3362.4,MAASTRICHTIANO
441578.547,7798378.559,-3363.05,MAASTRICHTIANO
441591.047,7798378.559,-3363.71,MAASTRICHTIANO
441603.548,7798378.56,-3364.36,MAASTRICHTIANO
441616.049,7798378.561,-3365.02,MAASTRICHTIANO
