X,Y,Z,formation
0.0,0.0,-2905.49,top
500.0,0.0,-2941.5,top
1000.0,0.0,-2980.75,top
1500.0,0.0,-3019.86,top
2000.0,0.0,-3058.76,top
2500.0,0.0,-3097.35,top
3000.0,0.0,-3135.5,top
3500.0,0.0,-3173.03,top
4000.0,0.0,-3209.75,top
4500.0,0.0,-3245.46,top
5000.0,0.0,-3279.93,top
5500.0,0.0,-3312.96,top
6000.0,0.0,-3344.35,top
6500.0,0.0,-3373.94,top
7000.0,0.0,-3401.58,top
7500.0,0.0,-3427.15,top
8000.0,0.0,-3450.59,top
8500.0,0.0,-3471.83,top
9000.0,0.0,-3490.78,top
9500.0,0.0,-3507.39,top
10000.0,0.0,-3521.79,top
10500.0,0.0,-3534.31,top
11000.0,0.0,-3545.4,top
11500.0,0.0,-3555.5,top
12000.0,0.0,-3565.12,top
12500.0,0.0,-3574.75,top
13000.0,0.0,-3584.85,top
13500.0,0.0,-3596.05,top
14000.0,0.0,-3609.06,top
14500.0,0.0,-3624.5,top
15000.0,0.0,-3642.77,top
15500.0,0.0,-3663.87,top
16000.0,0.0,-3687.41,top
16500.0,0.0,-3712.67,top
17000.0,0.0,-3738.83,top
17500.0,0.0,-3765.01,top
18000.0,0.0,-3790.31,top
18500.0,0.0,-3813.99,top
19000.0,0.0,-3835.5,top
19500.0,0.0,-3854.64,top
20000.0,0.0,-3871.6,top
20500.0,0.0,-3886.81,top
21000.0,0.0,-3900.71,top
21500.0,0.0,-3913.69,top
22000.0,0.0,-3925.95,top
22500.0,0.0,-3937.52,top
23000.0,0.0,-3948.39,top
23500.0,0.0,-3958.51,top
24000.0,0.0,-3967.89,top
24500.0,0.0,-3976.67,top
25000.0,0.0,-3985.14,top
25500.0,0.0,-3993.69,top
26000.0,0.0,-4002.82,top
26500.0,0.0,-4013.13,top
27000.0,0.0,-4025.17,top
27500.0,0.0,-4039.52,top
28000.0,0.0,-4056.9,top
28500.0,0.0,-4077.72,top
29000.0,0.0,-4101.6,top
29500.0,0.0,-4126.21,top
30000.0,0.0,-4145.18,top
30500.0,0.0,-4144.23,top
31000.0,0.0,-4090.35,top
31500.0,0.0,-3946.02,top
32000.0,0.0,-3831.69,top
32500.0,0.0,-3893.25,top
33000.0,0.0,-3882.03,top
33500.0,0.0,-3862.54,top
34000.0,0.0,-3836.31,top
34500.0,0.0,-3815.55,top
35000.0,0.0,-3771.77,top
35500.0,0.0,-3773.81,top
36000.0,0.0,-3775.22,top
36500.0,0.0,-3708.59,top
37000.0,0.0,-4279.83,top
37500.0,0.0,-4518.8,top
38000.0,0.0,-4646.08,top
38500.0,0.0,-4759.98,top
39000.0,0.0,-4823.13,top
39500.0,0.0,-4865.55,top
40000.0,0.0,-4853.25,top
40500.0,0.0,-4771.78,top
41000.0,0.0,-4691.0,top
41500.0,0.0,-4658.42,top
42000.0,0.0,-4654.51,top
42500.0,0.0,-4660.85,top
43000.0,0.0,-4666.55,top
0.0,500.0,-2897.02,top
500.0,500.0,-2933.16,top
1000.0,500.0,-2972.49,top
1500.0,500.0,-3011.67,top
2000.0,500.0,-3050.64,top
2500.0,500.0,-3089.3,top
3000.0,500.0,-3127.52,top
3500.0,500.0,-3165.16,top
