X,Y,Z,formation
400000.0,7651000.0,-3483.15,bes_98.5
401000.0,7651000.0,-3533.05,bes_98.5
402000.0,7651000.0,-3632.53,bes_98.5
403000.0,7651000.0,-3720.35,bes_98.5
404000.0,7651000.0,-3825.49,bes_98.5
405000.0,7651000.0,-4000.63,bes_98.5
406000.0,7651000.0,-4215.62,bes_98.5
407000.0,7651000.0,-4373.14,bes_98.5
408000.0,7651000.0,-4418.0,bes_98.5
409000.0,7651000.0,-4415.72,bes_98.5
410000.0,7651000.0,-4421.49,bes_98.5
411000.0,7651000.0,-4406.16,bes_98.5
412000.0,7651000.0,-4359.47,bes_98.5
413000.0,7651000.0,-4264.76,bes_98.5
414000.0,7651000.0,-4113.69,bes_98.5
415000.0,7651000.0,-4006.86,bes_98.5
416000.0,7651000.0,-4045.66,bes_98.5
417000.0,7651000.0,-4168.21,bes_98.5
418000.0,7651000.0,-4262.77,bes_98.5
419000.0,7651000.0,-4331.99,bes_98.5
420000.0,7651000.0,-4406.23,bes_98.5
421000.0,7651000.0,-4462.99,bes_98.5
422000.0,7651000.0,-4455.21,bes_98.5
423000.0,7651000.0,-4366.76,bes_98.5
424000.0,7651000.0,-4280.91,bes_98.5
425000.0,7651000.0,-4255.26,bes_98.5
426000.0,7651000.0,-4241.54,bes_98.5
427000.0,7651000.0,-4270.69,bes_98.5
428000.0,7651000.0,-4425.01,bes_98.5
429000.0,7651000.0,-4642.91,bes_98.5
430000.0,7651000.0,-4753.89,bes_98.5
431000.0,7651000.0,-4654.09,bes_98.5
432000.0,7651000.0,-4424.63,bes_98.5
433000.0,7651000.0,-4233.81,bes_98.5
434000.0,7651000.0,-4201.75,bes_98.5
435000.0,7651000.0,-4382.6,bes_98.5
436000.0,7651000.0,-4685.54,bes_98.5
437000.0,7651000.0,-4937.04,bes_98.5
438000.0,7651000.0,-5079.7,bes_98.5
439000.0,7651000.0,-5100.36,bes_98.5
440000.0,7651000.0,-4888.73,bes_98.5
441000.0,7651000.0,-4501.9,bes_98.5
442000.0,7651000.0,-4289.68,bes_98.5
443000.0,7651000.0,-4398.74,bes_98.5
444000.0,7651000.0,-4623.01,bes_98.5
445000.0,7651000.0,-4792.87,bes_98.5
446000.0,7651000.0,-4886.97,bes_98.5
447000.0,7651000.0,-4932.04,bes_98.5
448000.0,7651000.0,-4951.83,bes_98.5
449000.0,7651000.0,-4961.46,bes_98.5
450000.0,7651000.0,-5016.28,bes_98.5
451000.0,7651000.0,-5151.16,bes_98.5
452000.0,7651000.0,-5263.6,bes_98.5
453000.0,7651000.0,-5231.1,bes_98.5
454000.0,7651000.0,-5105.33,bes_98.5
455000.0,7651000.0,-5025.42,bes_98.5
456000.0,7651000.0,-5051.46,bes_98.5
457000.0,7651000.0,-5165.2,bes_98.5
458000.0,7651000.0,-5321.23,bes_98.5
459000.0,7651000.0,-5448.64,bes_98.5
460000.0,7651000.0,-5485.79,bes_98.5
461000.0,7651000.0,-5465.17,bes_98.5
462000.0,7651000.0,-5465.2,bes_98.5
463000.0,7651000.0,-5460.18,bes_98.5
464000.0,7651000.0,-5339.54,bes_98.5
465000.0,7651000.0,-4884.18,bes_98.5
466000.0,7651000.0,-3947.12,bes_98.5
467000.0,7651000.0,-2969.96,bes_98.5
468000.0,7651000.0,-2462.75,bes_98.5
469000.0,7651000.0,-2287.33,bes_98.5
470000.0,7651000.0,-2161.84,bes_98.5
471000.0,7651000.0,-2073.24,bes_98.5
472000.0,7651000.0,-2119.21,bes_98.5
473000.0,7651000.0,-2349.09,bes_98.5
474000.0,7651000.0,-2716.26,bes_98.5
475000.0,7651000.0,-3151.47,bes_98.5
476000.0,7651000.0,-3569.1,bes_98.5
477000.0,7651000.0,-3831.44,bes_98.5
478000.0,7651000.0,-3878.84,bes_98.5
479000.0,7651000.0,-3786.42,bes_98.5
480000.0,7651000.0,-3656.74,bes_98.5
481000.0,7651000.0,-3589.87,bes_98.5
482000.0,7651000.0,-3586.85,bes_98.5
483000.0,7651000.0,-3599.52,bes_98.5
484000.0,7651000.0,-3766.57,bes_98.5
485000.0,7651000.0,-4299.41,bes_98.5
486000.0,7651000.0,-5094.83,bes_98.5
487000.0,7651000.0,-5784.22,bes_98.5
488000.0,7651000.0,-6293.43,bes_98.5
489000.0,7651000.0,-6797.04,bes_98.5
490000.0,7651000.0,-7268.35,bes_98.5
491000.0,7651000.0,-7539.39,bes_98.5
492000.0,7651000.0,-7489.73,bes_98.5
493000.0,7651000.0,-7295.57,bes_98.5
494000.0,7651000.0,-7198.82,bes_98.5
495000.0,7651000.0,-6861.06,bes_98.5
496000.0,7651000.0,-5701.05,bes_98.5
497000.0,7651000.0,-4393.24,bes_98.5
498000.0,7651000.0,-4000.74,bes_98.5
499000.0,7651000.0,-4179.51,bes_98.5
500000.0,7651000.0,-4680.58,bes_98.5
501000.0,7651000.0,-5454.88,bes_98.5
502000.0,7651000.0,-5866.12,bes_98.5
503000.0,7651000.0,-5642.92,bes_98.5
504000.0,7651000.0,-4951.36,bes_98.5
505000.0,7651000.0,-4108.73,bes_98.5
506000.0,7651000.0,-3547.45,bes_98.5
507000.0,7651000.0,-3527.92,bes_98.5
508000.0,7651000.0,-3859.69,bes_98.5
509000.0,7651000.0,-4177.71,bes_98.5
510000.0,7651000.0,-4363.31,bes_98.5
511000.0,7651000.0,-4448.13,bes_98.5
512000.0,7651000.0,-4429.05,bes_98.5
513000.0,7651000.0,-4295.67,bes_98.5
514000.0,7651000.0,-3961.76,bes_98.5
515000.0,7651000.0,-3726.03,bes_98.5
516000.0,7651000.0,-4545.82,bes_98.5
517000.0,7651000.0,-6089.95,bes_98.5
518000.0,7651000.0,-5956.48,bes_98.5
519000.0,7651000.0,-4426.53,bes_98.5
520000.0,7651000.0,-4836.58,bes_98.5
521000.0,7651000.0,-6711.23,bes_98.5
522000.0,7651000.0,-7360.12,bes_98.5
523000.0,7651000.0,-7153.84,bes_98.5
524000.0,7651000.0,-7270.71,bes_98.5
525000.0,7651000.0,-7519.95,bes_98.5
526000.0,7651000.0,-7368.34,bes_98.5
527000.0,7651000.0,-6908.83,bes_98.5
528000.0,7651000.0,-6623.43,bes_98.5
529000.0,7651000.0,-6562.35,bes_98.5
530000.0,7651000.0,-6656.03,bes_98.5
531000.0,7651000.0,-6955.89,bes_98.5
532000.0,7651000.0,-7188.1,bes_98.5
533000.0,7651000.0,-7150.3,bes_98.5
534000.0,7651000.0,-6972.19,bes_98.5
535000.0,7651000.0,-6328.88,bes_98.5
536000.0,7651000.0,-4855.34,bes_98.5
537000.0,7651000.0,-3593.06,bes_98.5
538000.0,7651000.0,-3479.27,bes_98.5
539000.0,7651000.0,-3766.62,bes_98.5
540000.0,7651000.0,-3787.97,bes_98.5
541000.0,7651000.0,-3676.07,bes_98.5
542000.0,7651000.0,-3571.14,bes_98.5
543000.0,7651000.0,-3495.16,bes_98.5
544000.0,7651000.0,-3416.16,bes_98.5
545000.0,7651000.0,-3260.34,bes_98.5
546000.0,7651000.0,-3027.85,bes_98.5
547000.0,7651000.0,-2864.22,bes_98.5
548000.0,7651000.0,-2843.66,bes_98.5
549000.0,7651000.0,-2901.01,bes_98.5
550000.0,7651000.0,-3002.41,bes_98.5
551000.0,7651000.0,-3637.62,bes_98.5
552000.0,7651000.0,-5027.24,bes_98.5
553000.0,7651000.0,-6175.61,bes_98.5
554000.0,7651000.0,-6586.53,bes_98.5
555000.0,7651000.0,-6748.42,bes_98.5
556000.0,7651000.0,-6910.25,bes_98.5
557000.0,7651000.0,-7089.51,bes_98.5
558000.0,7651000.0,-7276.39,bes_98.5
559000.0,7651000.0,-7399.7,bes_98.5
560000.0,7651000.0,-7432.06,bes_98.5
561000.0,7651000.0,-7419.33,bes_98.5
562000.0,7651000.0,-7393.04,bes_98.5
563000.0,7651000.0,-7348.81,bes_98.5
564000.0,7651000.0,-7274.32,bes_98.5
565000.0,7651000.0,-7175.09,bes_98.5
566000.0,7651000.0,-7078.28,bes_98.5
567000.0,7651000.0,-7009.37,bes_98.5
568000.0,7651000.0,-6978.27,bes_98.5
569000.0,7651000.0,-6979.7,bes_98.5
570000.0,7651000.0,-6999.22,bes_98.5
571000.0,7651000.0,-7015.54,bes_98.5
572000.0,7651000.0,-7003.95,bes_98.5
573000.0,7651000.0,-6946.55,bes_98.5
574000.0,7651000.0,-6829.51,bes_98.5
575000.0,7651000.0,-6698.33,bes_98.5
576000.0,7651000.0,-6621.47,bes_98.5
577000.0,7651000.0,-6571.12,bes_98.5
578000.0,7651000.0,-6507.46,bes_98.5
579000.0,7651000.0,-6617.05,bes_98.5
400000.0,7652000.0,-3469.92,bes_98.5
401000.0,7652000.0,-3517.24,bes_98.5
402000.0,7652000.0,-3608.92,bes_98.5
403000.0,7652000.0,-3693.21,bes_98.5
404000.0,7652000.0,-3796.27,bes_98.5
405000.0,7652000.0,-3958.44,bes_98.5
406000.0,7652000.0,-4160.46,bes_98.5
407000.0,7652000.0,-4319.07,bes_98.5
408000.0,7652000.0,-4373.39,bes_98.5
409000.0,7652000.0,-4394.32,bes_98.5
410000.0,7652000.0,-4433.34,bes_98.5
411000.0,7652000.0,-4431.23,bes_98.5
412000.0,7652000.0,-4384.23,bes_98.5
413000.0,7652000.0,-4295.07,bes_98.5
414000.0,7652000.0,-4157.97,bes_98.5
415000.0,7652000.0,-4079.71,bes_98.5
416000.0,7652000.0,-4140.18,bes_98.5
417000.0,7652000.0,-4247.27,bes_98.5
418000.0,7652000.0,-4305.4,bes_98.5
419000.0,7652000.0,-4347.23,bes_98.5
420000.0,7652000.0,-4407.46,bes_98.5
421000.0,7652000.0,-4450.95,bes_98.5
422000.0,7652000.0,-4418.33,bes_98.5
423000.0,7652000.0,-4300.11,bes_98.5
424000.0,7652000.0,-4212.12,bes_98.5
425000.0,7652000.0,-4225.79,bes_98.5
426000.0,7652000.0,-4262.01,bes_98.5
427000.0,7652000.0,-4312.59,bes_98.5
428000.0,7652000.0,-4430.78,bes_98.5
429000.0,7652000.0,-4557.58,bes_98.5
430000.0,7652000.0,-4537.14,bes_98.5
431000.0,7652000.0,-4297.57,bes_98.5
432000.0,7652000.0,-4037.56,bes_98.5
433000.0,7652000.0,-4012.14,bes_98.5
434000.0,7652000.0,-4216.27,bes_98.5
435000.0,7652000.0,-4510.86,bes_98.5
436000.0,7652000.0,-4795.04,bes_98.5
437000.0,7652000.0,-5001.33,bes_98.5
438000.0,7652000.0,-5114.39,bes_98.5
439000.0,7652000.0,-5093.72,bes_98.5
440000.0,7652000.0,-4820.6,bes_98.5
441000.0,7652000.0,-4409.01,bes_98.5
442000.0,7652000.0,-4234.46,bes_98.5
443000.0,7652000.0,-4372.59,bes_98.5
444000.0,7652000.0,-4579.6,bes_98.5
445000.0,7652000.0,-4714.45,bes_98.5
446000.0,7652000.0,-4778.69,bes_98.5
447000.0,7652000.0,-4825.78,bes_98.5
448000.0,7652000.0,-4899.72,bes_98.5
449000.0,7652000.0,-4987.23,bes_98.5
450000.0,7652000.0,-5088.74,bes_98.5
451000.0,7652000.0,-5214.62,bes_98.5
452000.0,7652000.0,-5278.97,bes_98.5
453000.0,7652000.0,-5184.26,bes_98.5
454000.0,7652000.0,-5009.56,bes_98.5
455000.0,7652000.0,-4921.09,bes_98.5
456000.0,7652000.0,-4966.7,bes_98.5
457000.0,7652000.0,-5101.26,bes_98.5
458000.0,7652000.0,-5279.18,bes_98.5
459000.0,7652000.0,-5439.3,bes_98.5
460000.0,7652000.0,-5511.92,bes_98.5
461000.0,7652000.0,-5509.82,bes_98.5
462000.0,7652000.0,-5507.94,bes_98.5
463000.0,7652000.0,-5480.87,bes_98.5
464000.0,7652000.0,-5322.47,bes_98.5
465000.0,7652000.0,-4874.83,bes_98.5
466000.0,7652000.0,-4021.52,bes_98.5
467000.0,7652000.0,-3100.14,bes_98.5
468000.0,7652000.0,-2555.69,bes_98.5
469000.0,7652000.0,-2316.07,bes_98.5
470000.0,7652000.0,-2160.43,bes_98.5
471000.0,7652000.0,-2063.24,bes_98.5
472000.0,7652000.0,-2076.6,bes_98.5
473000.0,7652000.0,-2236.93,bes_98.5
474000.0,7652000.0,-2567.25,bes_98.5
475000.0,7652000.0,-3051.39,bes_98.5
476000.0,7652000.0,-3533.31,bes_98.5
477000.0,7652000.0,-3829.26,bes_98.5
478000.0,7652000.0,-3894.79,bes_98.5
479000.0,7652000.0,-3796.85,bes_98.5
480000.0,7652000.0,-3663.25,bes_98.5
481000.0,7652000.0,-3619.29,bes_98.5
482000.0,7652000.0,-3644.25,bes_98.5
483000.0,7652000.0,-3684.47,bes_98.5
484000.0,7652000.0,-3846.18,bes_98.5
485000.0,7652000.0,-4288.04,bes_98.5
486000.0,7652000.0,-4963.16,bes_98.5
487000.0,7652000.0,-5596.34,bes_98.5
488000.0,7652000.0,-6106.29,bes_98.5
489000.0,7652000.0,-6615.82,bes_98.5
