X,Y,Z,formation
400000.0,7651000.0,-3336.78,9.0
401000.0,7651000.0,-3403.51,9.0
402000.0,7651000.0,-3542.12,9.0
403000.0,7651000.0,-3668.84,46.0
404000.0,7651000.0,-3790.91,46.0
405000.0,7651000.0,-3965.98,37.0
406000.0,7651000.0,-4178.83,37.0
407000.0,7651000.0,-4335.92,16.0
408000.0,7651000.0,-4378.56,37.0
409000.0,7651000.0,-4369.28,28.0
410000.0,7651000.0,-4367.7,28.0
411000.0,7651000.0,-4340.38,19.0
412000.0,7651000.0,-4272.59,1.0
413000.0,7651000.0,-4144.72,1.0
414000.0,7651000.0,-3946.92,10.0
415000.0,7651000.0,-3792.45,17.0
416000.0,7651000.0,-3778.87,17.0
417000.0,7651000.0,-3845.8,17.0
418000.0,7651000.0,-3917.36,22.0
419000.0,7651000.0,-3992.31,22.0
420000.0,7651000.0,-4070.08,17.0
421000.0,7651000.0,-4132.01,22.0
422000.0,7651000.0,-4149.89,17.0
423000.0,7651000.0,-4101.06,17.0
424000.0,7651000.0,-4013.48,17.0
425000.0,7651000.0,-3939.99,22.0
426000.0,7651000.0,-3911.75,22.0
427000.0,7651000.0,-3973.83,17.0
428000.0,7651000.0,-4153.6,17.0
429000.0,7651000.0,-4387.69,17.0
430000.0,7651000.0,-4548.94,1.0
431000.0,7651000.0,-4522.33,25.0
432000.0,7651000.0,-4335.72,25.0
433000.0,7651000.0,-4153.87,25.0
434000.0,7651000.0,-4131.38,25.0
435000.0,7651000.0,-4324.18,25.0
436000.0,7651000.0,-4620.31,25.0
437000.0,7651000.0,-4854.88,25.0
438000.0,7651000.0,-4987.78,24.0
439000.0,7651000.0,-5004.94,24.0
440000.0,7651000.0,-4780.39,24.0
441000.0,7651000.0,-4388.98,21.0
442000.0,7651000.0,-4206.65,16.0
443000.0,7651000.0,-4317.11,16.0
444000.0,7651000.0,-4490.27,16.0
445000.0,7651000.0,-4618.42,16.0
446000.0,7651000.0,-4691.54,28.0
447000.0,7651000.0,-4715.99,28.0
448000.0,7651000.0,-4726.23,28.0
449000.0,7651000.0,-4763.44,28.0
450000.0,7651000.0,-4872.31,28.0
451000.0,7651000.0,-5046.59,28.0
452000.0,7651000.0,-5181.59,28.0
453000.0,7651000.0,-5173.0,28.0
454000.0,7651000.0,-5062.15,28.0
455000.0,7651000.0,-4984.8,28.0
456000.0,7651000.0,-5011.17,28.0
457000.0,7651000.0,-5125.07,28.0
458000.0,7651000.0,-5281.2,28.0
459000.0,7651000.0,-5408.71,28.0
460000.0,7651000.0,-5445.95,28.0
461000.0,7651000.0,-5425.42,28.0
462000.0,7651000.0,-5425.54,29.0
463000.0,7651000.0,-5420.63,29.0
464000.0,7651000.0,-5300.1,29.0
465000.0,7651000.0,-4844.86,29.0
466000.0,7651000.0,-3907.92,37.0
467000.0,7651000.0,-2930.9,37.0
468000.0,7651000.0,-2423.82,37.0
469000.0,7651000.0,-2248.55,37.0
470000.0,7651000.0,-2123.21,37.0
471000.0,7651000.0,-2034.76,37.0
472000.0,7651000.0,-2080.89,37.0
473000.0,7651000.0,-2310.93,37.0
474000.0,7651000.0,-2678.27,37.0
475000.0,7651000.0,-3113.65,37.0
476000.0,7651000.0,-3531.45,37.0
477000.0,7651000.0,-3793.95,37.0
478000.0,7651000.0,-3841.53,37.0
479000.0,7651000.0,-3749.28,37.0
480000.0,7651000.0,-3619.77,37.0
481000.0,7651000.0,-3553.09,37.0
482000.0,7651000.0,-3550.25,37.0
483000.0,7651000.0,-3563.11,37.0
484000.0,7651000.0,-3730.33,37.0
485000.0,7651000.0,-4263.34,37.0
486000.0,7651000.0,-5058.91,37.0
