X,Y,Z,formation
0,0,-3336,bes
1000,0,-3403,bes
2000,0,-3542,bes
3000,0,-3668,bes
4000,0,-3790,bes
5000,0,-3965,bes
6000,0,-4178,bes
7000,0,-4335,bes
8000,0,-4378,bes
9000,0,-4369,bes
10000,0,-4367,bes
11000,0,-4340,bes
12000,0,-4272,bes
13000,0,-4144,bes
14000,0,-3946,bes
15000,0,-3792,bes
16000,0,-3778,bes
17000,0,-3845,bes
18000,0,-3917,bes
19000,0,-3992,bes
20000,0,-4070,bes
21000,0,-4132,bes
22000,0,-4149,bes
23000,0,-4101,bes
24000,0,-4013,bes
25000,0,-3939,bes
26000,0,-3911,bes
27000,0,-3973,bes
28000,0,-4153,bes
29000,0,-4387,bes
30000,0,-4548,bes
31000,0,-4522,bes
32000,0,-4335,bes
33000,0,-4153,bes
34000,0,-4131,bes
35000,0,-4324,bes
36000,0,-4620,bes
37000,0,-4854,bes
38000,0,-4987,bes
39000,0,-5004,bes
40000,0,-4780,bes
41000,0,-4388,bes
42000,0,-4206,bes
43000,0,-4317,bes
44000,0,-4490,bes
45000,0,-4618,bes
46000,0,-4691,bes
47000,0,-4715,bes
48000,0,-4726,bes
49000,0,-4763,bes
50000,0,-4872,bes
51000,0,-5046,bes
52000,0,-5181,bes
53000,0,-5173,bes
54000,0,-5062,bes
55000,0,-4984,bes
56000,0,-5011,bes
57000,0,-5125,bes
58000,0,-5281,bes
59000,0,-5408,bes
60000,0,-5445,bes
61000,0,-5425,bes
62000,0,-5425,bes
63000,0,-5420,bes
64000,0,-5300,bes
65000,0,-4844,bes
66000,0,-3907,bes
67000,0,-2930,bes
68000,0,-2423,bes
69000,0,-2248,bes
70000,0,-2123,bes
71000,0,-2034,bes
72000,0,-2080,bes
73000,0,-2310,bes
74000,0,-2678,bes
75000,0,-3113,bes
76000,0,-3531,bes
77000,0,-3793,bes
78000,0,-3841,bes
79000,0,-3749,bes
80000,0,-3619,bes
81000,0,-3553,bes
82000,0,-3550,bes
83000,0,-3563,bes
84000,0,-3730,bes
85000,0,-4263,bes
86000,0,-5058,bes
