X,Y,Z,formation
0,0,-3336,bes
0,1000,-3302,bes
0,2000,-3239,bes
0,3000,-3182,bes
0,4000,-3161,bes
0,5000,-3212,bes
0,6000,-3340,bes
0,7000,-3497,bes
0,8000,-3616,bes
0,9000,-3681,bes
0,10000,-3712,bes
0,11000,-3705,bes
0,12000,-3655,bes
0,13000,-3571,bes
0,14000,-3455,bes
0,15000,-3339,bes
0,16000,-3266,bes
0,17000,-3217,bes
0,18000,-3073,bes
0,19000,-2829,bes
0,20000,-2658,bes
0,21000,-2593,bes
0,22000,-2555,bes
0,23000,-2520,bes
0,24000,-2486,bes
0,25000,-2464,bes
0,26000,-2458,bes
0,27000,-2458,bes
0,28000,-2459,bes
0,29000,-2469,bes
0,30000,-2499,bes
0,31000,-2537,bes
0,32000,-2551,bes
0,33000,-2498,bes
0,34000,-2375,bes
0,35000,-2232,bes
0,36000,-2120,bes
0,37000,-2052,bes
0,38000,-2004,bes
0,39000,-1964,bes
0,40000,-1925,bes
0,41000,-1871,bes
0,42000,-1782,bes
0,43000,-1669,bes
0,44000,-1564,bes
0,45000,-1485,bes
0,46000,-1423,bes
0,47000,-1366,bes
0,48000,-1314,bes
0,49000,-1277,bes
0,50000,-1245,bes
0,51000,-1189,bes
0,52000,-1105,bes
0,53000,-1009,bes
0,54000,-911,bes
0,55000,-813,bes
0,56000,-712,bes
0,57000,-616,bes
0,58000,-557,bes
0,59000,-534,bes
0,60000,-512,bes
0,61000,-491,bes
0,62000,-506,bes
0,63000,-543,bes
0,64000,-577,bes
0,65000,-619,bes
0,66000,-654,bes
0,67000,-641,bes
0,68000,-581,bes
0,69000,-506,bes
0,70000,-443,bes
0,71000,-414,bes
0,72000,-424,bes
0,73000,-450,bes
0,74000,-475,bes
0,75000,-483,bes
0,76000,-463,bes
0,77000,-428,bes
0,78000,-392,bes
0,79000,-366,bes
0,80000,-362,bes
0,81000,-376,bes
0,82000,-386,bes
0,83000,-374,bes
0,84000,-335,bes
0,85000,-284,bes
0,86000,-233,bes
0,87000,-182,bes
0,88000,-138,bes
0,89000,-151,bes
0,90000,-239,bes
0,91000,-364,bes
0,92000,-487,bes
0,93000,-567,bes
0,94000,-592,bes
0,95000,-590,bes
0,96000,-575,bes
0,97000,-546,bes
0,98000,-511,bes
0,99000,-473,bes
0,100000,-443,bes
0,101000,-434,bes
0,102000,-444,bes
0,103000,-458,bes
0,104000,-452,bes
0,105000,-410,bes
0,106000,-345,bes
0,107000,-275,bes
0,108000,-213,bes
0,109000,-175,bes
0,110000,-178,bes
0,111000,-220,bes
0,112000,-290,bes
0,113000,-367,bes
0,114000,-428,bes
0,115000,-449,bes
0,116000,-436,bes
0,117000,-411,bes
0,118000,-386,bes
0,119000,-363,bes
0,120000,-342,bes
0,121000,-319,bes
0,122000,-293,bes
0,123000,-265,bes
0,124000,-237,bes
0,125000,-215,bes
0,126000,-201,bes
0,127000,-193,bes
0,128000,-191,bes
0,129000,-199,bes
0,130000,-220,bes
0,131000,-248,bes
0,132000,-275,bes
0,133000,-300,bes
0,134000,-333,bes
0,135000,-368,bes
0,136000,-396,bes
0,137000,-425,bes
0,138000,-461,bes
0,139000,-503,bes
0,140000,-546,bes
0,141000,-585,bes
0,142000,-621,bes
0,143000,-651,bes
0,144000,-673,bes
0,145000,-687,bes
0,146000,-694,bes
0,147000,-693,bes
0,148000,-684,bes
5000,0,-3965,bes
5000,1000,-3923,bes
5000,2000,-3840,bes
5000,3000,-3757,bes
5000,4000,-3664,bes
5000,5000,-3575,bes
5000,6000,-3530,bes
5000,7000,-3571,bes
5000,8000,-3669,bes
5000,9000,-3724,bes
5000,10000,-3705,bes
5000,11000,-3657,bes
5000,12000,-3610,bes
5000,13000,-3586,bes
5000,14000,-3582,bes
5000,15000,-3546,bes
5000,16000,-3434,bes
5000,17000,-3285,bes
5000,18000,-3175,bes
5000,19000,-3117,bes
5000,20000,-3074,bes
5000,21000,-3018,bes
5000,22000,-2933,bes
5000,23000,-2823,bes
5000,24000,-2728,bes
5000,25000,-2673,bes
5000,26000,-2649,bes
5000,27000,-2634,bes
5000,28000,-2618,bes
5000,29000,-2593,bes
5000,30000,-2556,bes
5000,31000,-2522,bes
5000,32000,-2498,bes
5000,33000,-2486,bes
5000,34000,-2482,bes
5000,35000,-2472,bes
5000,36000,-2434,bes
5000,37000,-2365,bes
5000,38000,-2285,bes
5000,39000,-2221,bes
5000,40000,-2176,bes
5000,41000,-2129,bes
5000,42000,-2062,bes
5000,43000,-1975,bes
5000,44000,-1889,bes
5000,45000,-1822,bes
5000,46000,-1777,bes
5000,47000,-1751,bes
5000,48000,-1733,bes
5000,49000,-1702,bes
5000,50000,-1646,bes
5000,51000,-1577,bes
5000,52000,-1513,bes
5000,53000,-1465,bes
5000,54000,-1434,bes
5000,55000,-1419,bes
5000,56000,-1416,bes
5000,57000,-1413,bes
5000,58000,-1390,bes
5000,59000,-1362,bes
5000,60000,-1371,bes
5000,61000,-1388,bes
5000,62000,-1337,bes
5000,63000,-1227,bes
5000,64000,-1131,bes
5000,65000,-1076,bes
5000,66000,-1034,bes
5000,67000,-979,bes
