X,Y,Z,formation
0,0,-3490,bes_99
0,1000,-3478,bes_99
0,2000,-3448,bes_99
0,3000,-3394,bes_99
0,4000,-3356,bes_99
0,5000,-3410,bes_99
0,6000,-3574,bes_99
0,7000,-3761,bes_99
0,8000,-3868,bes_99
0,9000,-3874,bes_99
0,10000,-3825,bes_99
0,11000,-3760,bes_99
0,12000,-3692,bes_99
0,13000,-3626,bes_99
0,14000,-3577,bes_99
0,15000,-3559,bes_99
0,16000,-3529,bes_99
0,17000,-3411,bes_99
0,18000,-3158,bes_99
0,19000,-2865,bes_99
0,20000,-2692,bes_99
0,21000,-2627,bes_99
0,22000,-2588,bes_99
0,23000,-2553,bes_99
0,24000,-2519,bes_99
0,25000,-2497,bes_99
0,26000,-2490,bes_99
0,27000,-2490,bes_99
0,28000,-2491,bes_99
0,29000,-2502,bes_99
0,30000,-2531,bes_99
0,31000,-2569,bes_99
0,32000,-2583,bes_99
0,33000,-2529,bes_99
0,34000,-2407,bes_99
0,35000,-2263,bes_99
0,36000,-2151,bes_99
0,37000,-2083,bes_99
0,38000,-2035,bes_99
0,39000,-1994,bes_99
0,40000,-1955,bes_99
0,41000,-1901,bes_99
0,42000,-1813,bes_99
0,43000,-1699,bes_99
0,44000,-1593,bes_99
0,45000,-1514,bes_99
0,46000,-1453,bes_99
0,47000,-1396,bes_99
0,48000,-1343,bes_99
0,49000,-1306,bes_99
0,50000,-1274,bes_99
0,51000,-1217,bes_99
0,52000,-1134,bes_99
0,53000,-1038,bes_99
0,54000,-939,bes_99
0,55000,-841,bes_99
0,56000,-740,bes_99
0,57000,-644,bes_99
0,58000,-584,bes_99
0,59000,-561,bes_99
0,60000,-539,bes_99
0,61000,-518,bes_99
0,62000,-533,bes_99
0,63000,-570,bes_99
0,64000,-604,bes_99
0,65000,-645,bes_99
0,66000,-680,bes_99
0,67000,-667,bes_99
0,68000,-607,bes_99
0,69000,-532,bes_99
0,70000,-468,bes_99
0,71000,-440,bes_99
0,72000,-449,bes_99
0,73000,-475,bes_99
0,74000,-499,bes_99
0,75000,-508,bes_99
