X,Y,Z,formation
0.0,0.0,-3344,bes_89
0.0,0.0,-3359,bes_90
0.0,0.0,-3375,bes_91
0.0,0.0,-3390,bes_92
0.0,0.0,-3406,bes_93
0.0,0.0,-3421,bes_94
0.0,0.0,-3436,bes_95
0.0,0.0,-3452,bes_96
0.0,0.0,-3467,bes_97
0.0,0.0,-3483,bes_98
0.0,0.0,-3498,bes_99
0.0,0.0,-3506,bes_100
10000.0,0.0,-4370,bes_89
10000.0,0.0,-4376,bes_90
10000.0,0.0,-4381,bes_91
10000.0,0.0,-4387,bes_92
10000.0,0.0,-4393,bes_93
10000.0,0.0,-4398,bes_94
10000.0,0.0,-4404,bes_95
10000.0,0.0,-4410,bes_96
10000.0,0.0,-4415,bes_97
10000.0,0.0,-4421,bes_98
10000.0,0.0,-4427,bes_99
10000.0,0.0,-4429,bes_100
20000.0,0.0,-4087,bes_89
20000.0,0.0,-4123,bes_90
20000.0,0.0,-4158,bes_91
20000.0,0.0,-4193,bes_92
20000.0,0.0,-4229,bes_93
20000.0,0.0,-4264,bes_94
20000.0,0.0,-4300,bes_95
20000.0,0.0,-4335,bes_96
20000.0,0.0,-4370,bes_97
20000.0,0.0,-4406,bes_98
20000.0,0.0,-4441,bes_99
20000.0,0.0,-4459,bes_100
30000.0,0.0,-4559,bes_89
30000.0,0.0,-4581,bes_90
30000.0,0.0,-4602,bes_91
30000.0,0.0,-4624,bes_92
30000.0,0.0,-4646,bes_93
30000.0,0.0,-4667,bes_94
30000.0,0.0,-4689,bes_95
30000.0,0.0,-4710,bes_96
30000.0,0.0,-4732,bes_97
30000.0,0.0,-4753,bes_98
30000.0,0.0,-4775,bes_99
30000.0,0.0,-4786,bes_100
40000.0,0.0,-4786,bes_89
40000.0,0.0,-4797,bes_90
40000.0,0.0,-4808,bes_91
40000.0,0.0,-4820,bes_92
40000.0,0.0,-4831,bes_93
40000.0,0.0,-4843,bes_94
40000.0,0.0,-4854,bes_95
40000.0,0.0,-4865,bes_96
40000.0,0.0,-4877,bes_97
40000.0,0.0,-4888,bes_98
40000.0,0.0,-4900,bes_99
40000.0,0.0,-4905,bes_100
50000.0,0.0,-4879,bes_89
50000.0,0.0,-4895,bes_90
50000.0,0.0,-4910,bes_91
50000.0,0.0,-4925,bes_92
50000.0,0.0,-4940,bes_93
50000.0,0.0,-4955,bes_94
50000.0,0.0,-4970,bes_95
50000.0,0.0,-4985,bes_96
50000.0,0.0,-5001,bes_97
50000.0,0.0,-5016,bes_98
50000.0,0.0,-5031,bes_99
50000.0,0.0,-5039,bes_100
60000.0,0.0,-5448,bes_89
60000.0,0.0,-5452,bes_90
60000.0,0.0,-5456,bes_91
60000.0,0.0,-5460,bes_92
60000.0,0.0,-5464,bes_93
60000.0,0.0,-5469,bes_94
60000.0,0.0,-5473,bes_95
60000.0,0.0,-5477,bes_96
60000.0,0.0,-5481,bes_97
60000.0,0.0,-5485,bes_98
60000.0,0.0,-5489,bes_99
60000.0,0.0,-5492,bes_100
70000.0,0.0,-2125,bes_89
70000.0,0.0,-2129,bes_90
70000.0,0.0,-2133,bes_91
70000.0,0.0,-2137,bes_92
70000.0,0.0,-2141,bes_93
70000.0,0.0,-2145,bes_94
70000.0,0.0,-2149,bes_95
70000.0,0.0,-2153,bes_96
70000.0,0.0,-2157,bes_97
70000.0,0.0,-2161,bes_98
70000.0,0.0,-2165,bes_99
70000.0,0.0,-2167,bes_100
80000.0,0.0,-3621,bes_89
80000.0,0.0,-3625,bes_90
80000.0,0.0,-3629,bes_91
80000.0,0.0,-3633,bes_92
80000.0,0.0,-3637,bes_93
80000.0,0.0,-3641,bes_94
80000.0,0.0,-3645,bes_95
80000.0,0.0,-3648,bes_96
80000.0,0.0,-3652,bes_97
80000.0,0.0,-3656,bes_98
80000.0,0.0,-3660,bes_99
80000.0,0.0,-3662,bes_100
90000.0,0.0,-7233,bes_89
90000.0,0.0,-7237,bes_90
90000.0,0.0,-7241,bes_91
90000.0,0.0,-7245,bes_92
90000.0,0.0,-7248,bes_93
90000.0,0.0,-7252,bes_94
90000.0,0.0,-7256,bes_95
90000.0,0.0,-7260,bes_96
90000.0,0.0,-7264,bes_97
90000.0,0.0,-7268,bes_98
90000.0,0.0,-7272,bes_99
90000.0,0.0,-7274,bes_100
100000.0,0.0,-4585,bes_89
100000.0,0.0,-4596,bes_90
100000.0,0.0,-4606,bes_91
100000.0,0.0,-4617,bes_92
100000.0,0.0,-4627,bes_93
