X,Y,Z,formation
400000,7651000,-3436,bes_95
401000,7651000,-3492,bes_95
402000,7651000,-3603,bes_95
403000,7651000,-3704,bes_95
404000,7651000,-3814,bes_95
405000,7651000,-3989,bes_95
406000,7651000,-4204,bes_95
407000,7651000,-4361,bes_95
408000,7651000,-4405,bes_95
409000,7651000,-4401,bes_95
410000,7651000,-4404,bes_95
411000,7651000,-4385,bes_95
412000,7651000,-4332,bes_95
413000,7651000,-4226,bes_95
414000,7651000,-4061,bes_95
415000,7651000,-3939,bes_95
416000,7651000,-3961,bes_95
417000,7651000,-4066,bes_95
418000,7651000,-4153,bes_95
419000,7651000,-4224,bes_95
420000,7651000,-4300,bes_95
421000,7651000,-4358,bes_95
422000,7651000,-4358,bes_95
423000,7651000,-4282,bes_95
424000,7651000,-4196,bes_95
425000,7651000,-4155,bes_95
426000,7651000,-4137,bes_95
427000,7651000,-4176,bes_95
428000,7651000,-4339,bes_95
429000,7651000,-4562,bes_95
430000,7651000,-4689,bes_95
431000,7651000,-4612,bes_95
432000,7651000,-4396,bes_95
433000,7651000,-4208,bes_95
434000,7651000,-4179,bes_95
435000,7651000,-4364,bes_95
436000,7651000,-4664,bes_95
437000,7651000,-4911,bes_95
438000,7651000,-5050,bes_95
439000,7651000,-5070,bes_95
440000,7651000,-4854,bes_95
441000,7651000,-4466,bes_95
442000,7651000,-4263,bes_95
443000,7651000,-4372,bes_95
444000,7651000,-4581,bes_95
445000,7651000,-4737,bes_95
446000,7651000,-4825,bes_95
447000,7651000,-4863,bes_95
448000,7651000,-4880,bes_95
449000,7651000,-4898,bes_95
450000,7651000,-4970,bes_95
451000,7651000,-5118,bes_95
452000,7651000,-5237,bes_95
453000,7651000,-5212,bes_95
454000,7651000,-5091,bes_95
455000,7651000,-5012,bes_95
456000,7651000,-5038,bes_95
457000,7651000,-5152,bes_95
458000,7651000,-5308,bes_95
459000,7651000,-5436,bes_95
460000,7651000,-5473,bes_95
461000,7651000,-5452,bes_95
462000,7651000,-5452,bes_95
463000,7651000,-5447,bes_95
464000,7651000,-5327,bes_95
465000,7651000,-4871,bes_95
466000,7651000,-3934,bes_95
467000,7651000,-2957,bes_95
468000,7651000,-2450,bes_95
469000,7651000,-2275,bes_95
470000,7651000,-2149,bes_95
471000,7651000,-2061,bes_95
472000,7651000,-2107,bes_95
473000,7651000,-2337,bes_95
474000,7651000,-2704,bes_95
475000,7651000,-3139,bes_95
476000,7651000,-3557,bes_95
477000,7651000,-3819,bes_95
478000,7651000,-3867,bes_95
479000,7651000,-3774,bes_95
480000,7651000,-3645,bes_95
481000,7651000,-3578,bes_95
482000,7651000,-3575,bes_95
483000,7651000,-3588,bes_95
484000,7651000,-3755,bes_95
485000,7651000,-4288,bes_95
486000,7651000,-5083,bes_95
487000,7651000,-5772,bes_95
488000,7651000,-6282,bes_95
489000,7651000,-6785,bes_95
490000,7651000,-7256,bes_95
491000,7651000,-7526,bes_95
492000,7651000,-7463,bes_95
493000,7651000,-7230,bes_95
494000,7651000,-7079,bes_95
495000,7651000,-6715,bes_95
496000,7651000,-5592,bes_95
497000,7651000,-4345,bes_95
498000,7651000,-3959,bes_95
499000,7651000,-4126,bes_95
500000,7651000,-4649,bes_95
501000,7651000,-5440,bes_95
502000,7651000,-5852,bes_95
503000,7651000,-5630,bes_95
504000,7651000,-4940,bes_95
505000,7651000,-4098,bes_95
506000,7651000,-3537,bes_95
507000,7651000,-3517,bes_95
508000,7651000,-3849,bes_95
509000,7651000,-4167,bes_95
510000,7651000,-4353,bes_95
