X,Y,Z,formation
400000,7651000,-3336,bes_89
401000,7651000,-3403,bes_89
402000,7651000,-3542,bes_89
403000,7651000,-3668,bes_89
404000,7651000,-3790,bes_89
405000,7651000,-3965,bes_89
406000,7651000,-4178,bes_89
407000,7651000,-4335,bes_89
408000,7651000,-4378,bes_89
409000,7651000,-4369,bes_89
410000,7651000,-4367,bes_89
411000,7651000,-4340,bes_89
412000,7651000,-4272,bes_89
413000,7651000,-4144,bes_89
414000,7651000,-3946,bes_89
415000,7651000,-3792,bes_89
416000,7651000,-3778,bes_89
417000,7651000,-3845,bes_89
418000,7651000,-3917,bes_89
419000,7651000,-3992,bes_89
420000,7651000,-4070,bes_89
421000,7651000,-4132,bes_89
422000,7651000,-4149,bes_89
423000,7651000,-4101,bes_89
424000,7651000,-4013,bes_89
425000,7651000,-3939,bes_89
426000,7651000,-3911,bes_89
427000,7651000,-3973,bes_89
428000,7651000,-4153,bes_89
429000,7651000,-4387,bes_89
430000,7651000,-4548,bes_89
431000,7651000,-4522,bes_89
432000,7651000,-4335,bes_89
433000,7651000,-4153,bes_89
434000,7651000,-4131,bes_89
435000,7651000,-4324,bes_89
436000,7651000,-4620,bes_89
437000,7651000,-4854,bes_89
438000,7651000,-4987,bes_89
439000,7651000,-5004,bes_89
440000,7651000,-4780,bes_89
441000,7651000,-4388,bes_89
442000,7651000,-4206,bes_89
443000,7651000,-4317,bes_89
444000,7651000,-4490,bes_89
445000,7651000,-4618,bes_89
446000,7651000,-4691,bes_89
447000,7651000,-4715,bes_89
448000,7651000,-4726,bes_89
449000,7651000,-4763,bes_89
450000,7651000,-4872,bes_89
451000,7651000,-5046,bes_89
452000,7651000,-5181,bes_89
453000,7651000,-5173,bes_89
454000,7651000,-5062,bes_89
455000,7651000,-4984,bes_89
456000,7651000,-5011,bes_89
457000,7651000,-5125,bes_89
458000,7651000,-5281,bes_89
459000,7651000,-5408,bes_89
460000,7651000,-5445,bes_89
461000,7651000,-5425,bes_89
462000,7651000,-5425,bes_89
463000,7651000,-5420,bes_89
464000,7651000,-5300,bes_89
465000,7651000,-4844,bes_89
466000,7651000,-3907,bes_89
467000,7651000,-2930,bes_89
468000,7651000,-2423,bes_89
469000,7651000,-2248,bes_89
470000,7651000,-2123,bes_89
471000,7651000,-2034,bes_89
472000,7651000,-2080,bes_89
473000,7651000,-2310,bes_89
474000,7651000,-2678,bes_89
475000,7651000,-3113,bes_89
476000,7651000,-3531,bes_89
477000,7651000,-3793,bes_89
478000,7651000,-3841,bes_89
479000,7651000,-3749,bes_89
480000,7651000,-3619,bes_89
481000,7651000,-3553,bes_89
482000,7651000,-3550,bes_89
483000,7651000,-3563,bes_89
484000,7651000,-3730,bes_89
485000,7651000,-4263,bes_89
486000,7651000,-5058,bes_89
487000,7651000,-5748,bes_89
488000,7651000,-6257,bes_89
489000,7651000,-6761,bes_89
490000,7651000,-7231,bes_89
491000,7651000,-7498,bes_89
492000,7651000,-7407,bes_89
493000,7651000,-7088,bes_89
494000,7651000,-6822,bes_89
495000,7651000,-6401,bes_89
496000,7651000,-5358,bes_89
497000,7651000,-4240,bes_89
498000,7651000,-3870,bes_89
499000,7651000,-4011,bes_89
500000,7651000,-4580,bes_89
501000,7651000,-5410,bes_89
502000,7651000,-5823,bes_89
503000,7651000,-5604,bes_89
504000,7651000,-4918,bes_89
505000,7651000,-4075,bes_89
506000,7651000,-3514,bes_89
507000,7651000,-3495,bes_89
508000,7651000,-3827,bes_89
509000,7651000,-4145,bes_89
510000,7651000,-4331,bes_89
511000,7651000,-4416,bes_89
512000,7651000,-4397,bes_89
513000,7651000,-4263,bes_89
514000,7651000,-3929,bes_89
515000,7651000,-3691,bes_89
516000,7651000,-4479,bes_89
517000,7651000,-5994,bes_89
518000,7651000,-5890,bes_89
519000,7651000,-4391,bes_89
520000,7651000,-4801,bes_89
521000,7651000,-6662,bes_89
522000,7651000,-7274,bes_89
523000,7651000,-7033,bes_89
524000,7651000,-7107,bes_89
525000,7651000,-7258,bes_89
526000,7651000,-7011,bes_89
527000,7651000,-6549,bes_89
528000,7651000,-6258,bes_89
529000,7651000,-6074,bes_89
530000,7651000,-6104,bes_89
531000,7651000,-6571,bes_89
532000,7651000,-7032,bes_89
533000,7651000,-7091,bes_89
534000,7651000,-6828,bes_89
535000,7651000,-6088,bes_89
536000,7651000,-4708,bes_89
537000,7651000,-3548,bes_89
538000,7651000,-3444,bes_89
539000,7651000,-3734,bes_89
540000,7651000,-3757,bes_89
541000,7651000,-3646,bes_89
542000,7651000,-3541,bes_89
543000,7651000,-3465,bes_89
544000,7651000,-3387,bes_89
545000,7651000,-3231,bes_89
546000,7651000,-2998,bes_89
547000,7651000,-2835,bes_89
548000,7651000,-2813,bes_89
549000,7651000,-2869,bes_89
550000,7651000,-2962,bes_89
551000,7651000,-3493,bes_89
552000,7651000,-4631,bes_89
553000,7651000,-5562,bes_89
554000,7651000,-5919,bes_89
555000,7651000,-6088,bes_89
556000,7651000,-6235,bes_89
557000,7651000,-6364,bes_89
558000,7651000,-6476,bes_89
559000,7651000,-6535,bes_89
560000,7651000,-6526,bes_89
561000,7651000,-6485,bes_89
562000,7651000,-6437,bes_89
563000,7651000,-6383,bes_89
564000,7651000,-6317,bes_89
565000,7651000,-6236,bes_89
566000,7651000,-6149,bes_89
567000,7651000,-6067,bes_89
568000,7651000,-6005,bes_89
569000,7651000,-5969,bes_89
570000,7651000,-5955,bes_89
571000,7651000,-5953,bes_89
572000,7651000,-5953,bes_89
573000,7651000,-5944,bes_89
574000,7651000,-5898,bes_89
575000,7651000,-5825,bes_89
576000,7651000,-5785,bes_89
577000,7651000,-5769,bes_89
578000,7651000,-5743,bes_89
579000,7651000,-5857,bes_89
400000,7652000,-3302,bes_89
401000,7652000,-3369,bes_89
402000,7652000,-3509,bes_89
403000,7652000,-3640,bes_89
404000,7652000,-3761,bes_89
405000,7652000,-3923,bes_89
406000,7652000,-4121,bes_89
407000,7652000,-4278,bes_89
408000,7652000,-4334,bes_89
409000,7652000,-4351,bes_89
410000,7652000,-4382,bes_89
411000,7652000,-4376,bes_89
412000,7652000,-4321,bes_89
413000,7652000,-4210,bes_89
414000,7652000,-4021,bes_89
415000,7652000,-3869,bes_89
416000,7652000,-3855,bes_89
417000,7652000,-3902,bes_89
418000,7652000,-3932,bes_89
419000,7652000,-3971,bes_89
420000,7652000,-4032,bes_89
421000,7652000,-4084,bes_89
422000,7652000,-4086,bes_89
423000,7652000,-4018,bes_89
424000,7652000,-3931,bes_89
425000,7652000,-3888,bes_89
426000,7652000,-3900,bes_89
427000,7652000,-3979,bes_89
428000,7652000,-4133,bes_89
429000,7652000,-4308,bes_89
430000,7652000,-4366,bes_89
431000,7652000,-4200,bes_89
432000,7652000,-3969,bes_89
433000,7652000,-3939,bes_89
434000,7652000,-4135,bes_89
435000,7652000,-4425,bes_89
436000,7652000,-4700,bes_89
437000,7652000,-4898,bes_89
438000,7652000,-5013,bes_89
439000,7652000,-5003,bes_89
440000,7652000,-4728,bes_89
441000,7652000,-4309,bes_89
442000,7652000,-4148,bes_89
443000,7652000,-4275,bes_89
444000,7652000,-4438,bes_89
445000,7652000,-4550,bes_89
446000,7652000,-4612,bes_89
447000,7652000,-4648,bes_89
448000,7652000,-4703,bes_89
449000,7652000,-4798,bes_89
450000,7652000,-4933,bes_89
451000,7652000,-5094,bes_89
452000,7652000,-5192,bes_89
453000,7652000,-5128,bes_89
454000,7652000,-4967,bes_89
455000,7652000,-4880,bes_89
456000,7652000,-4926,bes_89
457000,7652000,-5060,bes_89
458000,7652000,-5238,bes_89
459000,7652000,-5399,bes_89
460000,7652000,-5471,bes_89
461000,7652000,-5469,bes_89
462000,7652000,-5468,bes_89
463000,7652000,-5441,bes_89
464000,7652000,-5282,bes_89
465000,7652000,-4835,bes_89
466000,7652000,-3982,bes_89
467000,7652000,-3060,bes_89
468000,7652000,-2516,bes_89
469000,7652000,-2277,bes_89
470000,7652000,-2121,bes_89
471000,7652000,-2024,bes_89
472000,7652000,-2038,bes_89
473000,7652000,-2198,bes_89
474000,7652000,-2529,bes_89
475000,7652000,-3013,bes_89
476000,7652000,-3495,bes_89
477000,7652000,-3791,bes_89
478000,7652000,-3857,bes_89
479000,7652000,-3759,bes_89
480000,7652000,-3626,bes_89
481000,7652000,-3582,bes_89
482000,7652000,-3607,bes_89
483000,7652000,-3647,bes_89
484000,7652000,-3809,bes_89
485000,7652000,-4251,bes_89
486000,7652000,-4927,bes_89
487000,7652000,-5560,bes_89
488000,7652000,-6070,bes_89
489000,7652000,-6580,bes_89
490000,7652000,-7000,bes_89
491000,7652000,-7111,bes_89
492000,7652000,-6830,bes_89
493000,7652000,-6409,bes_89
494000,7652000,-6092,bes_89
495000,7652000,-5600,bes_89
496000,7652000,-4565,bes_89
497000,7652000,-3549,bes_89
498000,7652000,-3282,bes_89
499000,7652000,-3528,bes_89
500000,7652000,-4208,bes_89
501000,7652000,-5149,bes_89
502000,7652000,-5627,bes_89
503000,7652000,-5358,bes_89
504000,7652000,-4518,bes_89
505000,7652000,-3551,bes_89
506000,7652000,-3019,bes_89
507000,7652000,-3140,bes_89
508000,7652000,-3606,bes_89
509000,7652000,-3977,bes_89
510000,7652000,-4179,bes_89
511000,7652000,-4326,bes_89
512000,7652000,-4371,bes_89
513000,7652000,-4219,bes_89
514000,7652000,-3816,bes_89
515000,7652000,-3646,bes_89
516000,7652000,-4596,bes_89
517000,7652000,-6135,bes_89
518000,7652000,-6227,bes_89
519000,7652000,-5082,bes_89
520000,7652000,-5370,bes_89
521000,7652000,-6780,bes_89
522000,7652000,-7105,bes_89
523000,7652000,-6689,bes_89
524000,7652000,-6627,bes_89
525000,7652000,-6825,bes_89
526000,7652000,-6865,bes_89
527000,7652000,-6689,bes_89
528000,7652000,-6415,bes_89
529000,7652000,-6092,bes_89
530000,7652000,-5962,bes_89
531000,7652000,-6350,bes_89
532000,7652000,-6918,bes_89
533000,7652000,-7101,bes_89
534000,7652000,-6867,bes_89
535000,7652000,-6100,bes_89
536000,7652000,-4745,bes_89
537000,7652000,-3664,bes_89
538000,7652000,-3516,bes_89
539000,7652000,-3710,bes_89
540000,7652000,-3707,bes_89
541000,7652000,-3596,bes_89
542000,7652000,-3517,bes_89
543000,7652000,-3475,bes_89
544000,7652000,-3402,bes_89
