X,Y,Z,formation
0.0,0.0,-2344,topo
0.0,5000.0,-2222,topo
0.0,10000.0,-2717,topo
0.0,15000.0,-2350,topo
0.0,20000.0,-1660,topo
0.0,25000.0,-1466,topo
0.0,30000.0,-1501,topo
0.0,35000.0,-1234,topo
0.0,40000.0,-926,topo
0.0,45000.0,-486,topo
0.0,50000.0,-246,topo
0.0,55000.0,186,topo
0.0,60000.0,487,topo
0.0,65000.0,380,topo
0.0,70000.0,556,topo
0.0,75000.0,515,topo
0.0,80000.0,636,topo
0.0,85000.0,715,topo
0.0,90000.0,759,topo
0.0,95000.0,409,topo
0.0,100000.0,556,topo
0.0,105000.0,589,topo
0.0,110000.0,822,topo
0.0,115000.0,550,topo
0.0,120000.0,658,topo
0.0,125000.0,784,topo
0.0,130000.0,779,topo
0.0,135000.0,630,topo
0.0,140000.0,446,topo
0.0,145000.0,304,topo
0.0,148000.0,308,topo
10000.0,0.0,-3370,topo
10000.0,5000.0,-3188,topo
10000.0,10000.0,-2943,topo
10000.0,15000.0,-2745,topo
10000.0,20000.0,-2477,topo
10000.0,25000.0,-1865,topo
10000.0,30000.0,-2008,topo
10000.0,35000.0,-1713,topo
10000.0,40000.0,-1471,topo
10000.0,45000.0,-1188,topo
10000.0,50000.0,-1071,topo
10000.0,55000.0,-1021,topo
10000.0,60000.0,-828,topo
10000.0,65000.0,-684,topo
10000.0,70000.0,-446,topo
10000.0,75000.0,-318,topo
10000.0,80000.0,-40,topo
10000.0,85000.0,121,topo
10000.0,90000.0,335,topo
10000.0,95000.0,335,topo
10000.0,100000.0,512,topo
10000.0,105000.0,291,topo
10000.0,110000.0,437,topo
10000.0,115000.0,390,topo
10000.0,120000.0,155,topo
10000.0,125000.0,131,topo
10000.0,130000.0,75,topo
10000.0,135000.0,-34,topo
10000.0,140000.0,85,topo
10000.0,145000.0,185,topo
10000.0,148000.0,181,topo
20000.0,0.0,-3087,topo
20000.0,5000.0,-2986,topo
20000.0,10000.0,-2906,topo
20000.0,15000.0,-3060,topo
20000.0,20000.0,-3053,topo
20000.0,25000.0,-3231,topo
20000.0,30000.0,-2976,topo
20000.0,35000.0,-2702,topo
20000.0,40000.0,-2362,topo
20000.0,45000.0,-1778,topo
20000.0,50000.0,-1660,topo
20000.0,55000.0,-1562,topo
20000.0,60000.0,-1510,topo
20000.0,65000.0,-1038,topo
20000.0,70000.0,-1304,topo
20000.0,75000.0,-1154,topo
20000.0,80000.0,-799,topo
20000.0,85000.0,-837,topo
20000.0,90000.0,-813,topo
20000.0,95000.0,-697,topo
20000.0,100000.0,-771,topo
20000.0,105000.0,-554,topo
20000.0,110000.0,-725,topo
20000.0,115000.0,-975,topo
20000.0,120000.0,-1261,topo
20000.0,125000.0,-1284,topo
20000.0,130000.0,-1351,topo
20000.0,135000.0,-1158,topo
20000.0,140000.0,-1084,topo
20000.0,145000.0,-1069,topo
20000.0,148000.0,-1044,topo
30000.0,0.0,-3559,topo
30000.0,5000.0,-2528,topo
30000.0,10000.0,-3023,topo
30000.0,15000.0,-3013,topo
30000.0,20000.0,-2795,topo
30000.0,25000.0,-2963,topo
30000.0,30000.0,-2762,topo
30000.0,35000.0,-2834,topo
30000.0,40000.0,-2762,topo
30000.0,45000.0,-2725,topo
30000.0,50000.0,-2927,topo
30000.0,55000.0,-3041,topo
30000.0,60000.0,-2629,topo
30000.0,65000.0,-2331,topo
30000.0,70000.0,-2237,topo
30000.0,75000.0,-2376,topo
30000.0,80000.0,-2253,topo
30000.0,85000.0,-1980,topo
30000.0,90000.0,-1780,topo
30000.0,95000.0,-1804,topo
30000.0,100000.0,-2139,topo
30000.0,105000.0,-2070,topo
30000.0,110000.0,-2058,topo
30000.0,115000.0,-2161,topo
30000.0,120000.0,-2017,topo
30000.0,125000.0,-2139,topo
30000.0,130000.0,-2341,topo
30000.0,135000.0,-2424,topo
30000.0,140000.0,-2334,topo
30000.0,145000.0,-2532,topo
30000.0,148000.0,-2553,topo
40000.0,0.0,-3786,topo
40000.0,5000.0,-2981,topo
40000.0,10000.0,-3333,topo
40000.0,15000.0,-3583,topo
40000.0,20000.0,-3423,topo
40000.0,25000.0,-3255,topo
40000.0,30000.0,-2673,topo
40000.0,35000.0,-3070,topo
40000.0,40000.0,-3149,topo
40000.0,45000.0,-2746,topo
40000.0,50000.0,-2775,topo
40000.0,55000.0,-2894,topo
40000.0,60000.0,-3500,topo
40000.0,65000.0,-3208,topo
40000.0,70000.0,-3029,topo
40000.0,75000.0,-2808,topo
40000.0,80000.0,-3451,topo
40000.0,85000.0,-3743,topo
40000.0,90000.0,-3872,topo
40000.0,95000.0,-3760,topo
40000.0,100000.0,-3870,topo
40000.0,105000.0,-3499,topo
40000.0,110000.0,-3415,topo
40000.0,115000.0,-3297,topo
40000.0,120000.0,-3426,topo
40000.0,125000.0,-3453,topo
