X,Y,Z,formation
400000,7651000,0,sf
401000,7651000,0,sf
402000,7651000,0,sf
403000,7651000,0,sf
404000,7651000,0,sf
405000,7651000,0,sf
406000,7651000,0,sf
407000,7651000,0,sf
408000,7651000,0,sf
409000,7651000,0,sf
410000,7651000,0,sf
411000,7651000,0,sf
412000,7651000,0,sf
413000,7651000,0,sf
414000,7651000,0,sf
415000,7651000,0,sf
416000,7651000,0,sf
417000,7651000,0,sf
418000,7651000,0,sf
419000,7651000,0,sf
420000,7651000,0,sf
421000,7651000,0,sf
422000,7651000,0,sf
423000,7651000,0,sf
424000,7651000,0,sf
425000,7651000,0,sf
426000,7651000,0,sf
427000,7651000,0,sf
428000,7651000,0,sf
429000,7651000,0,sf
430000,7651000,0,sf
431000,7651000,0,sf
432000,7651000,0,sf
433000,7651000,0,sf
434000,7651000,0,sf
435000,7651000,0,sf
436000,7651000,0,sf
437000,7651000,0,sf
438000,7651000,0,sf
439000,7651000,0,sf
440000,7651000,0,sf
441000,7651000,0,sf
442000,7651000,0,sf
443000,7651000,0,sf
444000,7651000,0,sf
445000,7651000,0,sf
446000,7651000,0,sf
447000,7651000,0,sf
448000,7651000,0,sf
449000,7651000,0,sf
450000,7651000,0,sf
451000,7651000,0,sf
452000,7651000,0,sf
453000,7651000,0,sf
454000,7651000,0,sf
455000,7651000,0,sf
456000,7651000,0,sf
457000,7651000,0,sf
458000,7651000,0,sf
459000,7651000,0,sf
460000,7651000,0,sf
461000,7651000,0,sf
462000,7651000,0,sf
463000,7651000,0,sf
464000,7651000,0,sf
465000,7651000,0,sf
466000,7651000,0,sf
467000,7651000,0,sf
468000,7651000,0,sf
469000,7651000,0,sf
470000,7651000,0,sf
471000,7651000,0,sf
472000,7651000,0,sf
473000,7651000,0,sf
474000,7651000,0,sf
475000,7651000,0,sf
476000,7651000,0,sf
477000,7651000,0,sf
478000,7651000,0,sf
479000,7651000,0,sf
480000,7651000,0,sf
481000,7651000,0,sf
482000,7651000,0,sf
483000,7651000,0,sf
484000,7651000,0,sf
485000,7651000,0,sf
486000,7651000,0,sf
487000,7651000,0,sf
488000,7651000,0,sf
489000,7651000,0,sf
490000,7651000,0,sf
491000,7651000,0,sf
492000,7651000,0,sf
493000,7651000,0,sf
494000,7651000,0,sf
495000,7651000,0,sf
496000,7651000,0,sf
497000,7651000,0,sf
498000,7651000,0,sf
499000,7651000,0,sf
500000,7651000,0,sf
501000,7651000,0,sf
502000,7651000,0,sf
503000,7651000,0,sf
504000,7651000,0,sf
505000,7651000,0,sf
506000,7651000,0,sf
507000,7651000,0,sf
508000,7651000,0,sf
509000,7651000,0,sf
510000,7651000,0,sf
511000,7651000,0,sf
512000,7651000,0,sf
513000,7651000,0,sf
514000,7651000,0,sf
515000,7651000,0,sf
516000,7651000,0,sf
517000,7651000,0,sf
518000,7651000,0,sf
519000,7651000,0,sf
520000,7651000,0,sf
521000,7651000,0,sf
522000,7651000,0,sf
523000,7651000,0,sf
524000,7651000,0,sf
525000,7651000,0,sf
526000,7651000,0,sf
527000,7651000,0,sf
528000,7651000,0,sf
529000,7651000,0,sf
530000,7651000,0,sf
531000,7651000,0,sf
532000,7651000,0,sf
533000,7651000,0,sf
534000,7651000,0,sf
535000,7651000,0,sf
536000,7651000,0,sf
537000,7651000,0,sf
538000,7651000,0,sf
539000,7651000,0,sf
540000,7651000,0,sf
541000,7651000,0,sf
542000,7651000,0,sf
543000,7651000,0,sf
544000,7651000,0,sf
545000,7651000,0,sf
546000,7651000,0,sf
547000,7651000,0,sf
548000,7651000,0,sf
549000,7651000,0,sf
550000,7651000,0,sf
551000,7651000,0,sf
552000,7651000,0,sf
553000,7651000,0,sf
554000,7651000,0,sf
555000,7651000,0,sf
556000,7651000,0,sf
557000,7651000,0,sf
558000,7651000,0,sf
559000,7651000,0,sf
560000,7651000,0,sf
561000,7651000,0,sf
562000,7651000,0,sf
563000,7651000,0,sf
564000,7651000,0,sf
565000,7651000,0,sf
566000,7651000,0,sf
567000,7651000,0,sf
568000,7651000,0,sf
569000,7651000,0,sf
570000,7651000,0,sf
571000,7651000,0,sf
572000,7651000,0,sf
573000,7651000,0,sf
574000,7651000,0,sf
575000,7651000,0,sf
576000,7651000,0,sf
577000,7651000,0,sf
578000,7651000,0,sf
579000,7651000,0,sf
400000,7652000,0,sf
401000,7652000,0,sf
402000,7652000,0,sf
403000,7652000,0,sf
404000,7652000,0,sf
405000,7652000,0,sf
406000,7652000,0,sf
407000,7652000,0,sf
408000,7652000,0,sf
409000,7652000,0,sf
410000,7652000,0,sf
411000,7652000,0,sf
412000,7652000,0,sf
413000,7652000,0,sf
414000,7652000,0,sf
415000,7652000,0,sf
416000,7652000,0,sf
417000,7652000,0,sf
418000,7652000,0,sf
419000,7652000,0,sf
420000,7652000,0,sf
421000,7652000,0,sf
422000,7652000,0,sf
423000,7652000,0,sf
424000,7652000,0,sf
425000,7652000,0,sf
426000,7652000,0,sf
427000,7652000,0,sf
428000,7652000,0,sf
429000,7652000,0,sf
430000,7652000,0,sf
431000,7652000,0,sf
432000,7652000,0,sf
433000,7652000,0,sf
434000,7652000,0,sf
435000,7652000,0,sf
436000,7652000,0,sf
437000,7652000,0,sf
438000,7652000,0,sf
439000,7652000,0,sf
440000,7652000,0,sf
441000,7652000,0,sf
442000,7652000,0,sf
443000,7652000,0,sf
444000,7652000,0,sf
445000,7652000,0,sf
446000,7652000,0,sf
447000,7652000,0,sf
448000,7652000,0,sf
449000,7652000,0,sf
450000,7652000,0,sf
451000,7652000,0,sf
452000,7652000,0,sf
453000,7652000,0,sf
454000,7652000,0,sf
455000,7652000,0,sf
456000,7652000,0,sf
457000,7652000,0,sf
458000,7652000,0,sf
459000,7652000,0,sf
460000,7652000,0,sf
461000,7652000,0,sf
462000,7652000,0,sf
463000,7652000,0,sf
464000,7652000,0,sf
465000,7652000,0,sf
466000,7652000,0,sf
467000,7652000,0,sf
468000,7652000,0,sf
469000,7652000,0,sf
470000,7652000,0,sf
471000,7652000,0,sf
472000,7652000,0,sf
473000,7652000,0,sf
474000,7652000,0,sf
475000,7652000,0,sf
476000,7652000,0,sf
477000,7652000,0,sf
478000,7652000,0,sf
479000,7652000,0,sf
480000,7652000,0,sf
481000,7652000,0,sf
482000,7652000,0,sf
483000,7652000,0,sf
484000,7652000,0,sf
485000,7652000,0,sf
486000,7652000,0,sf
487000,7652000,0,sf
488000,7652000,0,sf
489000,7652000,0,sf
490000,7652000,0,sf
491000,7652000,0,sf
492000,7652000,0,sf
493000,7652000,0,sf
494000,7652000,0,sf
495000,7652000,0,sf
496000,7652000,0,sf
497000,7652000,0,sf
498000,7652000,0,sf
499000,7652000,0,sf
500000,7652000,0,sf
501000,7652000,0,sf
502000,7652000,0,sf
503000,7652000,0,sf
504000,7652000,0,sf
505000,7652000,0,sf
506000,7652000,0,sf
507000,7652000,0,sf
508000,7652000,0,sf
509000,7652000,0,sf
510000,7652000,0,sf
511000,7652000,0,sf
512000,7652000,0,sf
513000,7652000,0,sf
514000,7652000,0,sf
515000,7652000,0,sf
516000,7652000,0,sf
517000,7652000,0,sf
518000,7652000,0,sf
519000,7652000,0,sf
520000,7652000,0,sf
521000,7652000,0,sf
522000,7652000,0,sf
523000,7652000,0,sf
524000,7652000,0,sf
525000,7652000,0,sf
526000,7652000,0,sf
527000,7652000,0,sf
528000,7652000,0,sf
529000,7652000,0,sf
530000,7652000,0,sf
531000,7652000,0,sf
532000,7652000,0,sf
533000,7652000,0,sf
534000,7652000,0,sf
535000,7652000,0,sf
536000,7652000,0,sf
537000,7652000,0,sf
538000,7652000,0,sf
539000,7652000,0,sf
540000,7652000,0,sf
541000,7652000,0,sf
542000,7652000,0,sf
543000,7652000,0,sf
544000,7652000,0,sf
545000,7652000,0,sf
546000,7652000,0,sf
547000,7652000,0,sf
548000,7652000,0,sf
549000,7652000,0,sf
550000,7652000,0,sf
551000,7652000,0,sf
552000,7652000,0,sf
553000,7652000,0,sf
554000,7652000,0,sf
555000,7652000,0,sf
556000,7652000,0,sf
557000,7652000,0,sf
558000,7652000,0,sf
559000,7652000,0,sf
560000,7652000,0,sf
561000,7652000,0,sf
562000,7652000,0,sf
563000,7652000,0,sf
564000,7652000,0,sf
565000,7652000,0,sf
566000,7652000,0,sf
567000,7652000,0,sf
568000,7652000,0,sf
569000,7652000,0,sf
570000,7652000,0,sf
571000,7652000,0,sf
572000,7652000,0,sf
573000,7652000,0,sf
574000,7652000,0,sf
575000,7652000,0,sf
576000,7652000,0,sf
577000,7652000,0,sf
578000,7652000,0,sf
579000,7652000,0,sf
400000,7653000,0,sf
401000,7653000,0,sf
402000,7653000,0,sf
403000,7653000,0,sf
404000,7653000,0,sf
405000,7653000,0,sf
406000,7653000,0,sf
407000,7653000,0,sf
408000,7653000,0,sf
409000,7653000,0,sf
410000,7653000,0,sf
411000,7653000,0,sf
412000,7653000,0,sf
413000,7653000,0,sf
414000,7653000,0,sf
415000,7653000,0,sf
416000,7653000,0,sf
417000,7653000,0,sf
418000,7653000,0,sf
419000,7653000,0,sf
420000,7653000,0,sf
421000,7653000,0,sf
422000,7653000,0,sf
423000,7653000,0,sf
424000,7653000,0,sf
425000,7653000,0,sf
426000,7653000,0,sf
427000,7653000,0,sf
428000,7653000,0,sf
429000,7653000,0,sf
430000,7653000,0,sf
431000,7653000,0,sf
432000,7653000,0,sf
433000,7653000,0,sf
434000,7653000,0,sf
435000,7653000,0,sf
436000,7653000,0,sf
437000,7653000,0,sf
438000,7653000,0,sf
439000,7653000,0,sf
440000,7653000,0,sf
441000,7653000,0,sf
442000,7653000,0,sf
443000,7653000,0,sf
444000,7653000,0,sf
445000,7653000,0,sf
446000,7653000,0,sf
447000,7653000,0,sf
448000,7653000,0,sf
449000,7653000,0,sf
450000,7653000,0,sf
451000,7653000,0,sf
452000,7653000,0,sf
453000,7653000,0,sf
454000,7653000,0,sf
455000,7653000,0,sf
456000,7653000,0,sf
457000,7653000,0,sf
458000,7653000,0,sf
459000,7653000,0,sf
460000,7653000,0,sf
461000,7653000,0,sf
462000,7653000,0,sf
463000,7653000,0,sf
464000,7653000,0,sf
465000,7653000,0,sf
466000,7653000,0,sf
467000,7653000,0,sf
468000,7653000,0,sf
469000,7653000,0,sf
470000,7653000,0,sf
471000,7653000,0,sf
472000,7653000,0,sf
473000,7653000,0,sf
474000,7653000,0,sf
475000,7653000,0,sf
476000,7653000,0,sf
477000,7653000,0,sf
478000,7653000,0,sf
479000,7653000,0,sf
480000,7653000,0,sf
481000,7653000,0,sf
482000,7653000,0,sf
483000,7653000,0,sf
484000,7653000,0,sf
485000,7653000,0,sf
486000,7653000,0,sf
487000,7653000,0,sf
488000,7653000,0,sf
489000,7653000,0,sf
490000,7653000,0,sf
491000,7653000,0,sf
492000,7653000,0,sf
493000,7653000,0,sf
494000,7653000,0,sf
495000,7653000,0,sf
496000,7653000,0,sf
497000,7653000,0,sf
498000,7653000,0,sf
499000,7653000,0,sf
500000,7653000,0,sf
501000,7653000,0,sf
502000,7653000,0,sf
503000,7653000,0,sf
504000,7653000,0,sf
505000,7653000,0,sf
506000,7653000,0,sf
507000,7653000,0,sf
508000,7653000,0,sf
509000,7653000,0,sf
510000,7653000,0,sf
511000,7653000,0,sf
512000,7653000,0,sf
513000,7653000,0,sf
514000,7653000,0,sf
515000,7653000,0,sf
516000,7653000,0,sf
517000,7653000,0,sf
518000,7653000,0,sf
519000,7653000,0,sf
520000,7653000,0,sf
521000,7653000,0,sf
522000,7653000,0,sf
523000,7653000,0,sf
524000,7653000,0,sf
525000,7653000,0,sf
526000,7653000,0,sf
527000,7653000,0,sf
528000,7653000,0,sf
529000,7653000,0,sf
530000,7653000,0,sf
531000,7653000,0,sf
532000,7653000,0,sf
533000,7653000,0,sf
534000,7653000,0,sf
535000,7653000,0,sf
536000,7653000,0,sf
537000,7653000,0,sf
538000,7653000,0,sf
539000,7653000,0,sf
540000,7653000,0,sf
541000,7653000,0,sf
542000,7653000,0,sf
543000,7653000,0,sf
544000,7653000,0,sf
545000,7653000,0,sf
546000,7653000,0,sf
547000,7653000,0,sf
548000,7653000,0,sf
549000,7653000,0,sf
550000,7653000,0,sf
551000,7653000,0,sf
552000,7653000,0,sf
553000,7653000,0,sf
554000,7653000,0,sf
555000,7653000,0,sf
556000,7653000,0,sf
557000,7653000,0,sf
558000,7653000,0,sf
559000,7653000,0,sf
560000,7653000,0,sf
561000,7653000,0,sf
562000,7653000,0,sf
563000,7653000,0,sf
564000,7653000,0,sf
565000,7653000,0,sf
566000,7653000,0,sf
567000,7653000,0,sf
568000,7653000,0,sf
569000,7653000,0,sf
570000,7653000,0,sf
571000,7653000,0,sf
572000,7653000,0,sf
573000,7653000,0,sf
574000,7653000,0,sf
575000,7653000,0,sf
576000,7653000,0,sf
577000,7653000,0,sf
578000,7653000,0,sf
579000,7653000,0,sf
400000,7654000,0,sf
401000,7654000,0,sf
402000,7654000,0,sf
403000,7654000,0,sf
404000,7654000,0,sf
