X,Y,Z,formation
400000.0,7651000.0,-3336.78,bes_89.0
403000.0,7651000.0,-3668.84,bes_89.0
408000.0,7651000.0,-4378.56,bes_89.0
413000.0,7651000.0,-4144.72,bes_89.0
418000.0,7651000.0,-3917.36,bes_89.0
423000.0,7651000.0,-4101.06,bes_89.0
428000.0,7651000.0,-4153.6,bes_89.0
433000.0,7651000.0,-4153.87,bes_89.0
438000.0,7651000.0,-4987.78,bes_89.0
443000.0,7651000.0,-4317.11,bes_89.0
448000.0,7651000.0,-4726.23,bes_89.0
453000.0,7651000.0,-5173.0,bes_89.0
458000.0,7651000.0,-5281.2,bes_89.0
463000.0,7651000.0,-5420.63,bes_89.0
468000.0,7651000.0,-2423.82,bes_89.0
473000.0,7651000.0,-2310.93,bes_89.0
478000.0,7651000.0,-3841.53,bes_89.0
483000.0,7651000.0,-3563.11,bes_89.0
488000.0,7651000.0,-6257.65,bes_89.0
493000.0,7651000.0,-7088.7,bes_89.0
498000.0,7651000.0,-3870.52,bes_89.0
503000.0,7651000.0,-5604.99,bes_89.0
508000.0,7651000.0,-3827.41,bes_89.0
513000.0,7651000.0,-4263.71,bes_89.0
518000.0,7651000.0,-5890.57,bes_89.0
523000.0,7651000.0,-7033.95,bes_89.0
528000.0,7651000.0,-6258.23,bes_89.0
533000.0,7651000.0,-7091.75,bes_89.0
538000.0,7651000.0,-3444.13,bes_89.0
543000.0,7651000.0,-3465.99,bes_89.0
548000.0,7651000.0,-2813.9,bes_89.0
553000.0,7651000.0,-5562.48,bes_89.0
558000.0,7651000.0,-6476.28,bes_89.0
563000.0,7651000.0,-6383.3,bes_89.0
568000.0,7651000.0,-6005.27,bes_89.0
573000.0,7651000.0,-5944.85,bes_89.0
578000.0,7651000.0,-5743.66,bes_89.0
400000.0,7653000.0,-3239.97,bes_89.0
403000.0,7653000.0,-3579.17,bes_89.0
408000.0,7653000.0,-4227.37,bes_89.0
413000.0,7653000.0,-4303.38,bes_89.0
418000.0,7653000.0,-3964.64,bes_89.0
423000.0,7653000.0,-3890.86,bes_89.0
428000.0,7653000.0,-4044.78,bes_89.0
433000.0,7653000.0,-3613.95,bes_89.0
438000.0,7653000.0,-4996.06,bes_89.0
443000.0,7653000.0,-4252.4,bes_89.0
448000.0,7653000.0,-4738.91,bes_89.0
453000.0,7653000.0,-4954.04,bes_89.0
458000.0,7653000.0,-5045.47,bes_89.0
463000.0,7653000.0,-5273.25,bes_89.0
468000.0,7653000.0,-2754.28,bes_89.0
473000.0,7653000.0,-2011.22,bes_89.0
478000.0,7653000.0,-3801.61,bes_89.0
483000.0,7653000.0,-4058.97,bes_89.0
488000.0,7653000.0,-5668.86,bes_89.0
493000.0,7653000.0,-5057.01,bes_89.0
498000.0,7653000.0,-2417.75,bes_89.0
503000.0,7653000.0,-4872.12,bes_89.0
508000.0,7653000.0,-3048.65,bes_89.0
513000.0,7653000.0,-4014.34,bes_89.0
518000.0,7653000.0,-6791.67,bes_89.0
523000.0,7653000.0,-5667.57,bes_89.0
528000.0,7653000.0,-6507.07,bes_89.0
533000.0,7653000.0,-6840.84,bes_89.0
538000.0,7653000.0,-3807.74,bes_89.0
543000.0,7653000.0,-3477.15,bes_89.0
548000.0,7653000.0,-2779.86,bes_89.0
553000.0,7653000.0,-5538.8,bes_89.0
558000.0,7653000.0,-6523.7,bes_89.0
563000.0,7653000.0,-6408.33,bes_89.0
568000.0,7653000.0,-6110.8,bes_89.0
573000.0,7653000.0,-6107.48,bes_89.0
578000.0,7653000.0,-5834.31,bes_89.0
400000.0,7658000.0,-3497.28,bes_89.0
403000.0,7658000.0,-3588.24,bes_89.0
408000.0,7658000.0,-3775.16,bes_89.0
413000.0,7658000.0,-4531.06,bes_89.0
418000.0,7658000.0,-4061.57,bes_89.0
423000.0,7658000.0,-3935.15,bes_89.0
428000.0,7658000.0,-3890.94,bes_89.0
433000.0,7658000.0,-4147.46,bes_89.0
438000.0,7658000.0,-3943.02,bes_89.0
443000.0,7658000.0,-4150.47,bes_89.0
448000.0,7658000.0,-4725.68,bes_89.0
453000.0,7658000.0,-3749.49,bes_89.0
458000.0,7658000.0,-3944.45,bes_89.0
463000.0,7658000.0,-3900.3,bes_89.0
468000.0,7658000.0,-4191.34,bes_89.0
473000.0,7658000.0,-2048.96,bes_89.0
478000.0,7658000.0,-4006.92,bes_89.0
483000.0,7658000.0,-6196.4,bes_89.0
488000.0,7658000.0,-4139.16,bes_89.0
493000.0,7658000.0,-3764.24,bes_89.0
498000.0,7658000.0,-2942.35,bes_89.0
503000.0,7658000.0,-4313.96,bes_89.0
508000.0,7658000.0,-2628.23,bes_89.0
513000.0,7658000.0,-2310.44,bes_89.0
518000.0,7658000.0,-5071.26,bes_89.0
523000.0,7658000.0,-7363.12,bes_89.0
528000.0,7658000.0,-6034.42,bes_89.0
533000.0,7658000.0,-3367.78,bes_89.0
538000.0,7658000.0,-4484.46,bes_89.0
543000.0,7658000.0,-3937.1,bes_89.0
548000.0,7658000.0,-3689.61,bes_89.0
553000.0,7658000.0,-5916.6,bes_89.0
558000.0,7658000.0,-6892.41,bes_89.0
563000.0,7658000.0,-6914.31,bes_89.0
568000.0,7658000.0,-6804.88,bes_89.0
573000.0,7658000.0,-6569.67,bes_89.0
578000.0,7658000.0,-6630.2,bes_89.0
400000.0,7663000.0,-3655.52,bes_89.0
403000.0,7663000.0,-3603.54,bes_89.0
408000.0,7663000.0,-3730.21,bes_89.0
413000.0,7663000.0,-4234.52,bes_89.0
418000.0,7663000.0,-4084.82,bes_89.0
423000.0,7663000.0,-3974.52,bes_89.0
428000.0,7663000.0,-3864.69,bes_89.0
433000.0,7663000.0,-4259.49,bes_89.0
438000.0,7663000.0,-3895.53,bes_89.0
443000.0,7663000.0,-4131.46,bes_89.0
448000.0,7663000.0,-3270.41,bes_89.0
453000.0,7663000.0,-3450.68,bes_89.0
458000.0,7663000.0,-5301.22,bes_89.0
463000.0,7663000.0,-4297.61,bes_89.0
468000.0,7663000.0,-3644.75,bes_89.0
473000.0,7663000.0,-2223.97,bes_89.0
478000.0,7663000.0,-4254.73,bes_89.0
483000.0,7663000.0,-4997.27,bes_89.0
488000.0,7663000.0,-3040.06,bes_89.0
493000.0,7663000.0,-4980.3,bes_89.0
498000.0,7663000.0,-4370.9,bes_89.0
503000.0,7663000.0,-6834.39,bes_89.0
508000.0,7663000.0,-3978.59,bes_89.0
513000.0,7663000.0,-2425.75,bes_89.0
518000.0,7663000.0,-4780.54,bes_89.0
523000.0,7663000.0,-7166.11,bes_89.0
528000.0,7663000.0,-5055.04,bes_89.0
533000.0,7663000.0,-6686.27,bes_89.0
538000.0,7663000.0,-3814.64,bes_89.0
543000.0,7663000.0,-3491.12,bes_89.0
548000.0,7663000.0,-3671.81,bes_89.0
553000.0,7663000.0,-4004.77,bes_89.0
558000.0,7663000.0,-6939.93,bes_89.0
563000.0,7663000.0,-7346.58,bes_89.0
568000.0,7663000.0,-6945.36,bes_89.0
573000.0,7663000.0,-6797.17,bes_89.0
578000.0,7663000.0,-7084.54,bes_89.0
400000.0,7668000.0,-3217.36,bes_89.0
403000.0,7668000.0,-3287.53,bes_89.0
408000.0,7668000.0,-3539.86,bes_89.0
413000.0,7668000.0,-3968.18,bes_89.0
418000.0,7668000.0,-4011.04,bes_89.0
423000.0,7668000.0,-3998.4,bes_89.0
428000.0,7668000.0,-3866.48,bes_89.0
433000.0,7668000.0,-2692.71,bes_89.0
438000.0,7668000.0,-4202.68,bes_89.0
443000.0,7668000.0,-4215.47,bes_89.0
448000.0,7668000.0,-3829.27,bes_89.0
453000.0,7668000.0,-4552.53,bes_89.0
458000.0,7668000.0,-5279.11,bes_89.0
463000.0,7668000.0,-4826.15,bes_89.0
468000.0,7668000.0,-5063.21,bes_89.0
473000.0,7668000.0,-6199.72,bes_89.0
478000.0,7668000.0,-3219.4,bes_89.0
483000.0,7668000.0,-6022.95,bes_89.0
488000.0,7668000.0,-4652.24,bes_89.0
493000.0,7668000.0,-4809.21,bes_89.0
498000.0,7668000.0,-5327.83,bes_89.0
