X,Y,Z,formation
0,0,-3490,bes_99
1000,0,-3539,bes_99
2000,0,-3637,bes_99
3000,0,-3723,bes_99
4000,0,-3827,bes_99
5000,0,-4002,bes_99
6000,0,-4217,bes_99
7000,0,-4375,bes_99
8000,0,-4420,bes_99
9000,0,-4418,bes_99
10000,0,-4424,bes_99
11000,0,-4409,bes_99
12000,0,-4364,bes_99
13000,0,-4271,bes_99
14000,0,-4122,bes_99
15000,0,-4018,bes_99
16000,0,-4059,bes_99
17000,0,-4185,bes_99
18000,0,-4280,bes_99
19000,0,-4349,bes_99
20000,0,-4423,bes_99
21000,0,-4480,bes_99
22000,0,-4471,bes_99
23000,0,-4380,bes_99
24000,0,-4294,bes_99
25000,0,-4271,bes_99
26000,0,-4258,bes_99
27000,0,-4286,bes_99
28000,0,-4439,bes_99
29000,0,-4656,bes_99
30000,0,-4764,bes_99
31000,0,-4661,bes_99
32000,0,-4429,bes_99
33000,0,-4238,bes_99
34000,0,-4205,bes_99
35000,0,-4385,bes_99
36000,0,-4688,bes_99
37000,0,-4941,bes_99
38000,0,-5084,bes_99
39000,0,-5105,bes_99
40000,0,-4894,bes_99
41000,0,-4507,bes_99
42000,0,-4294,bes_99
43000,0,-4403,bes_99
44000,0,-4630,bes_99
45000,0,-4802,bes_99
46000,0,-4897,bes_99
47000,0,-4943,bes_99
48000,0,-4963,bes_99
49000,0,-4971,bes_99
50000,0,-5023,bes_99
51000,0,-5156,bes_99
52000,0,-5267,bes_99
53000,0,-5234,bes_99
54000,0,-5107,bes_99
55000,0,-5027,bes_99
56000,0,-5053,bes_99
57000,0,-5167,bes_99
58000,0,-5323,bes_99
59000,0,-5450,bes_99
60000,0,-5487,bes_99
61000,0,-5467,bes_99
62000,0,-5467,bes_99
63000,0,-5462,bes_99
64000,0,-5341,bes_99
65000,0,-4886,bes_99
66000,0,-3949,bes_99
67000,0,-2972,bes_99
68000,0,-2464,bes_99
69000,0,-2289,bes_99
70000,0,-2163,bes_99
71000,0,-2075,bes_99
72000,0,-2121,bes_99
73000,0,-2351,bes_99
74000,0,-2718,bes_99
75000,0,-3153,bes_99
76000,0,-3571,bes_99
77000,0,-3833,bes_99
78000,0,-3880,bes_99
79000,0,-3788,bes_99
80000,0,-3658,bes_99
81000,0,-3591,bes_99
82000,0,-3588,bes_99
83000,0,-3601,bes_99
84000,0,-3768,bes_99
85000,0,-4301,bes_99
86000,0,-5096,bes_99
87000,0,-5786,bes_99
88000,0,-6295,bes_99
89000,0,-6798,bes_99
90000,0,-7270,bes_99
91000,0,-7541,bes_99
92000,0,-7494,bes_99
93000,0,-7306,bes_99
94000,0,-7218,bes_99
95000,0,-6885,bes_99
96000,0,-5719,bes_99
97000,0,-4401,bes_99
98000,0,-4007,bes_99
99000,0,-4188,bes_99
100000,0,-4685,bes_99
101000,0,-5457,bes_99
102000,0,-5868,bes_99
103000,0,-5644,bes_99
104000,0,-4953,bes_99
105000,0,-4110,bes_99
106000,0,-3549,bes_99
107000,0,-3529,bes_99
108000,0,-3861,bes_99
109000,0,-4179,bes_99
110000,0,-4365,bes_99
111000,0,-4449,bes_99
112000,0,-4430,bes_99
113000,0,-4297,bes_99
114000,0,-3963,bes_99
115000,0,-3727,bes_99
116000,0,-4549,bes_99
117000,0,-6094,bes_99
118000,0,-5959,bes_99
119000,0,-4428,bes_99
120000,0,-4838,bes_99
121000,0,-6713,bes_99
122000,0,-7364,bes_99
