X,Y,Z,formation
0.0,0.0,0,sf
0.0,0.0,-3336,bes_89
0.0,0.0,-6490,bes_99
10000.0,0.0,0,sf
10000.0,0.0,-4367,bes_89
10000.0,0.0,-7424,bes_99
20000.0,0.0,0,sf
20000.0,0.0,-4070,bes_89
20000.0,0.0,-7423,bes_99
30000.0,0.0,0,sf
30000.0,0.0,-4548,bes_89
30000.0,0.0,-7764,bes_99
40000.0,0.0,0,sf
40000.0,0.0,-4780,bes_89
40000.0,0.0,-7894,bes_99
50000.0,0.0,0,sf
50000.0,0.0,-4872,bes_89
50000.0,0.0,-8023,bes_99
60000.0,0.0,0,sf
60000.0,0.0,-5445,bes_89
60000.0,0.0,-8487,bes_99
70000.0,0.0,0,sf
70000.0,0.0,-2123,bes_89
70000.0,0.0,-5163,bes_99
80000.0,0.0,0,sf
80000.0,0.0,-3619,bes_89
80000.0,0.0,-6658,bes_99
90000.0,0.0,0,sf
90000.0,0.0,-7231,bes_89
90000.0,0.0,-10270,bes_99
100000.0,0.0,0,sf
100000.0,0.0,-4580,bes_89
100000.0,0.0,-7685,bes_99
110000.0,0.0,0,sf
110000.0,0.0,-4331,bes_89
110000.0,0.0,-7365,bes_99
120000.0,0.0,0,sf
120000.0,0.0,-4801,bes_89
120000.0,0.0,-7838,bes_99
130000.0,0.0,0,sf
130000.0,0.0,-6104,bes_89
130000.0,0.0,-9685,bes_99
140000.0,0.0,0,sf
140000.0,0.0,-3757,bes_89
140000.0,0.0,-6789,bes_99
150000.0,0.0,0,sf
150000.0,0.0,-2962,bes_89
150000.0,0.0,-6004,bes_99
160000.0,0.0,0,sf
160000.0,0.0,-6526,bes_89
160000.0,0.0,-10479,bes_99
170000.0,0.0,0,sf
170000.0,0.0,-5955,bes_89
170000.0,0.0,-10054,bes_99
179000.0,0.0,0,sf
179000.0,0.0,-5857,bes_89
179000.0,0.0,-9657,bes_99
0.0,5000.0,0,sf
0.0,5000.0,-3212,bes_89
0.0,5000.0,-6410,bes_99
10000.0,5000.0,0,sf
10000.0,5000.0,-4187,bes_89
10000.0,5000.0,-7223,bes_99
20000.0,5000.0,0,sf
20000.0,5000.0,-3955,bes_89
20000.0,5000.0,-7572,bes_99
30000.0,5000.0,0,sf
30000.0,5000.0,-3516,bes_89
30000.0,5000.0,-6760,bes_99
40000.0,5000.0,0,sf
40000.0,5000.0,-3963,bes_89
40000.0,5000.0,-7313,bes_99
50000.0,5000.0,0,sf
50000.0,5000.0,-5040,bes_89
50000.0,5000.0,-8133,bes_99
60000.0,5000.0,0,sf
60000.0,5000.0,-4159,bes_89
60000.0,5000.0,-7202,bes_99
70000.0,5000.0,0,sf
70000.0,5000.0,-2864,bes_89
70000.0,5000.0,-5906,bes_99
80000.0,5000.0,0,sf
80000.0,5000.0,-4649,bes_89
80000.0,5000.0,-7727,bes_99
90000.0,5000.0,0,sf
90000.0,5000.0,-4101,bes_89
90000.0,5000.0,-7138,bes_99
100000.0,5000.0,0,sf
100000.0,5000.0,-4303,bes_89
100000.0,5000.0,-7365,bes_99
110000.0,5000.0,0,sf
110000.0,5000.0,-2294,bes_89
110000.0,5000.0,-5328,bes_99
120000.0,5000.0,0,sf
120000.0,5000.0,-5981,bes_89
120000.0,5000.0,-9381,bes_99
130000.0,5000.0,0,sf
130000.0,5000.0,-6025,bes_89
130000.0,5000.0,-9651,bes_99
140000.0,5000.0,0,sf
140000.0,5000.0,-3783,bes_89
140000.0,5000.0,-6863,bes_99
150000.0,5000.0,0,sf
150000.0,5000.0,-2833,bes_89
150000.0,5000.0,-5869,bes_99
160000.0,5000.0,0,sf
160000.0,5000.0,-6792,bes_89
160000.0,5000.0,-10617,bes_99
170000.0,5000.0,0,sf
170000.0,5000.0,-6358,bes_89
170000.0,5000.0,-10298,bes_99
179000.0,5000.0,0,sf
179000.0,5000.0,-6276,bes_89
179000.0,5000.0,-9902,bes_99
0.0,10000.0,0,sf
0.0,10000.0,-3712,bes_89
