X,Y,Z,formation
400000,7651000,-6490,bes_99
401000,7651000,-6539,bes_99
402000,7651000,-6637,bes_99
403000,7651000,-6723,bes_99
404000,7651000,-6827,bes_99
405000,7651000,-7002,bes_99
406000,7651000,-7217,bes_99
407000,7651000,-7375,bes_99
408000,7651000,-7420,bes_99
409000,7651000,-7418,bes_99
410000,7651000,-7424,bes_99
411000,7651000,-7409,bes_99
412000,7651000,-7364,bes_99
413000,7651000,-7271,bes_99
414000,7651000,-7122,bes_99
415000,7651000,-7018,bes_99
416000,7651000,-7059,bes_99
417000,7651000,-7185,bes_99
418000,7651000,-7280,bes_99
419000,7651000,-7349,bes_99
420000,7651000,-7423,bes_99
421000,7651000,-7480,bes_99
422000,7651000,-7471,bes_99
423000,7651000,-7380,bes_99
424000,7651000,-7294,bes_99
425000,7651000,-7271,bes_99
426000,7651000,-7258,bes_99
427000,7651000,-7286,bes_99
428000,7651000,-7439,bes_99
429000,7651000,-7656,bes_99
430000,7651000,-7764,bes_99
431000,7651000,-7661,bes_99
432000,7651000,-7429,bes_99
433000,7651000,-7238,bes_99
434000,7651000,-7205,bes_99
435000,7651000,-7385,bes_99
436000,7651000,-7688,bes_99
437000,7651000,-7941,bes_99
438000,7651000,-8084,bes_99
439000,7651000,-8105,bes_99
440000,7651000,-7894,bes_99
441000,7651000,-7507,bes_99
442000,7651000,-7294,bes_99
443000,7651000,-7403,bes_99
444000,7651000,-7630,bes_99
445000,7651000,-7802,bes_99
446000,7651000,-7897,bes_99
447000,7651000,-7943,bes_99
448000,7651000,-7963,bes_99
449000,7651000,-7971,bes_99
450000,7651000,-8023,bes_99
451000,7651000,-8156,bes_99
452000,7651000,-8267,bes_99
453000,7651000,-8234,bes_99
454000,7651000,-8107,bes_99
455000,7651000,-8027,bes_99
456000,7651000,-8053,bes_99
457000,7651000,-8167,bes_99
458000,7651000,-8323,bes_99
459000,7651000,-8450,bes_99
460000,7651000,-8487,bes_99
461000,7651000,-8467,bes_99
462000,7651000,-8467,bes_99
463000,7651000,-8462,bes_99
464000,7651000,-8341,bes_99
465000,7651000,-7886,bes_99
466000,7651000,-6949,bes_99
467000,7651000,-5972,bes_99
468000,7651000,-5464,bes_99
469000,7651000,-5289,bes_99
470000,7651000,-5163,bes_99
471000,7651000,-5075,bes_99
472000,7651000,-5121,bes_99
473000,7651000,-5351,bes_99
474000,7651000,-5718,bes_99
475000,7651000,-6153,bes_99
476000,7651000,-6571,bes_99
477000,7651000,-6833,bes_99
478000,7651000,-6880,bes_99
479000,7651000,-6788,bes_99
480000,7651000,-6658,bes_99
481000,7651000,-6591,bes_99
482000,7651000,-6588,bes_99
483000,7651000,-6601,bes_99
484000,7651000,-6768,bes_99
485000,7651000,-7301,bes_99
486000,7651000,-8096,bes_99
487000,7651000,-8786,bes_99
488000,7651000,-9295,bes_99
489000,7651000,-9798,bes_99
490000,7651000,-10270,bes_99
491000,7651000,-10541,bes_99
492000,7651000,-10494,bes_99
493000,7651000,-10306,bes_99
494000,7651000,-10218,bes_99
495000,7651000,-9885,bes_99
496000,7651000,-8719,bes_99
497000,7651000,-7401,bes_99
498000,7651000,-7007,bes_99
499000,7651000,-7188,bes_99
500000,7651000,-7685,bes_99
501000,7651000,-8457,bes_99
502000,7651000,-8868,bes_99
503000,7651000,-8644,bes_99
504000,7651000,-7953,bes_99
505000,7651000,-7110,bes_99
506000,7651000,-6549,bes_99
507000,7651000,-6529,bes_99
508000,7651000,-6861,bes_99
509000,7651000,-7179,bes_99
510000,7651000,-7365,bes_99
511000,7651000,-7449,bes_99
512000,7651000,-7430,bes_99
513000,7651000,-7297,bes_99
514000,7651000,-6963,bes_99
515000,7651000,-6727,bes_99
516000,7651000,-7549,bes_99
517000,7651000,-9094,bes_99
518000,7651000,-8959,bes_99
519000,7651000,-7428,bes_99
520000,7651000,-7838,bes_99
521000,7651000,-9713,bes_99
522000,7651000,-10364,bes_99
523000,7651000,-10160,bes_99
524000,7651000,-10279,bes_99
525000,7651000,-10533,bes_99
526000,7651000,-10387,bes_99
527000,7651000,-9927,bes_99
528000,7651000,-9642,bes_99
529000,7651000,-9588,bes_99
530000,7651000,-9685,bes_99
531000,7651000,-9976,bes_99
532000,7651000,-10196,bes_99
533000,7651000,-10153,bes_99
534000,7651000,-9979,bes_99
535000,7651000,-9341,bes_99
536000,7651000,-7863,bes_99
537000,7651000,-6595,bes_99
538000,7651000,-6481,bes_99
539000,7651000,-6768,bes_99
540000,7651000,-6789,bes_99
541000,7651000,-6677,bes_99
542000,7651000,-6572,bes_99
