X,Y,Z,formation
0.0,0.0,-3344,bes_89
1000.0,0.0,-3410,bes_89
2000.0,0.0,-3546,bes_89
3000.0,0.0,-3671,bes_89
4000.0,0.0,-3792,bes_89
5000.0,0.0,-3967,bes_89
6000.0,0.0,-4180,bes_89
7000.0,0.0,-4337,bes_89
8000.0,0.0,-4380,bes_89
9000.0,0.0,-4371,bes_89
10000.0,0.0,-4370,bes_89
11000.0,0.0,-4343,bes_89
12000.0,0.0,-4277,bes_89
13000.0,0.0,-4151,bes_89
14000.0,0.0,-3955,bes_89
15000.0,0.0,-3803,bes_89
16000.0,0.0,-3792,bes_89
17000.0,0.0,-3862,bes_89
18000.0,0.0,-3935,bes_89
19000.0,0.0,-4010,bes_89
20000.0,0.0,-4087,bes_89
21000.0,0.0,-4149,bes_89
22000.0,0.0,-4165,bes_89
23000.0,0.0,-4115,bes_89
24000.0,0.0,-4027,bes_89
25000.0,0.0,-3956,bes_89
26000.0,0.0,-3929,bes_89
27000.0,0.0,-3989,bes_89
28000.0,0.0,-4167,bes_89
29000.0,0.0,-4401,bes_89
30000.0,0.0,-4559,bes_89
31000.0,0.0,-4529,bes_89
32000.0,0.0,-4340,bes_89
33000.0,0.0,-4158,bes_89
34000.0,0.0,-4135,bes_89
35000.0,0.0,-4327,bes_89
36000.0,0.0,-4623,bes_89
37000.0,0.0,-4859,bes_89
38000.0,0.0,-4992,bes_89
39000.0,0.0,-5009,bes_89
40000.0,0.0,-4786,bes_89
41000.0,0.0,-4394,bes_89
42000.0,0.0,-4211,bes_89
43000.0,0.0,-4321,bes_89
44000.0,0.0,-4497,bes_89
45000.0,0.0,-4627,bes_89
46000.0,0.0,-4701,bes_89
47000.0,0.0,-4727,bes_89
48000.0,0.0,-4738,bes_89
49000.0,0.0,-4773,bes_89
50000.0,0.0,-4879,bes_89
51000.0,0.0,-5052,bes_89
52000.0,0.0,-5185,bes_89
53000.0,0.0,-5176,bes_89
54000.0,0.0,-5064,bes_89
55000.0,0.0,-4986,bes_89
56000.0,0.0,-5013,bes_89
57000.0,0.0,-5127,bes_89
58000.0,0.0,-5283,bes_89
59000.0,0.0,-5410,bes_89
60000.0,0.0,-5448,bes_89
61000.0,0.0,-5427,bes_89
62000.0,0.0,-5427,bes_89
63000.0,0.0,-5422,bes_89
64000.0,0.0,-5302,bes_89
65000.0,0.0,-4846,bes_89
66000.0,0.0,-3909,bes_89
67000.0,0.0,-2932,bes_89
68000.0,0.0,-2425,bes_89
69000.0,0.0,-2250,bes_89
70000.0,0.0,-2125,bes_89
71000.0,0.0,-2036,bes_89
72000.0,0.0,-2082,bes_89
73000.0,0.0,-2312,bes_89
74000.0,0.0,-2680,bes_89
75000.0,0.0,-3115,bes_89
76000.0,0.0,-3533,bes_89
77000.0,0.0,-3795,bes_89
78000.0,0.0,-3843,bes_89
79000.0,0.0,-3751,bes_89
80000.0,0.0,-3621,bes_89
81000.0,0.0,-3555,bes_89
82000.0,0.0,-3552,bes_89
83000.0,0.0,-3565,bes_89
84000.0,0.0,-3732,bes_89
85000.0,0.0,-4265,bes_89
86000.0,0.0,-5060,bes_89
87000.0,0.0,-5750,bes_89
88000.0,0.0,-6259,bes_89
89000.0,0.0,-6762,bes_89
90000.0,0.0,-7233,bes_89
91000.0,0.0,-7500,bes_89
92000.0,0.0,-7412,bes_89
93000.0,0.0,-7099,bes_89
