X,Y,Z,formation
400000,7651000,-3483,bes_98
401000,7651000,-3533,bes_98
402000,7651000,-3632,bes_98
403000,7651000,-3720,bes_98
404000,7651000,-3825,bes_98
405000,7651000,-4000,bes_98
406000,7651000,-4215,bes_98
407000,7651000,-4373,bes_98
408000,7651000,-4418,bes_98
409000,7651000,-4415,bes_98
410000,7651000,-4421,bes_98
411000,7651000,-4406,bes_98
412000,7651000,-4359,bes_98
413000,7651000,-4264,bes_98
414000,7651000,-4113,bes_98
415000,7651000,-4006,bes_98
416000,7651000,-4045,bes_98
417000,7651000,-4168,bes_98
418000,7651000,-4262,bes_98
419000,7651000,-4331,bes_98
420000,7651000,-4406,bes_98
421000,7651000,-4462,bes_98
422000,7651000,-4455,bes_98
423000,7651000,-4366,bes_98
424000,7651000,-4280,bes_98
425000,7651000,-4255,bes_98
426000,7651000,-4241,bes_98
427000,7651000,-4270,bes_98
428000,7651000,-4425,bes_98
429000,7651000,-4642,bes_98
430000,7651000,-4753,bes_98
431000,7651000,-4654,bes_98
432000,7651000,-4424,bes_98
433000,7651000,-4233,bes_98
434000,7651000,-4201,bes_98
435000,7651000,-4382,bes_98
436000,7651000,-4685,bes_98
437000,7651000,-4937,bes_98
438000,7651000,-5079,bes_98
439000,7651000,-5100,bes_98
440000,7651000,-4888,bes_98
441000,7651000,-4501,bes_98
442000,7651000,-4289,bes_98
443000,7651000,-4398,bes_98
444000,7651000,-4623,bes_98
445000,7651000,-4792,bes_98
446000,7651000,-4886,bes_98
447000,7651000,-4932,bes_98
448000,7651000,-4951,bes_98
449000,7651000,-4961,bes_98
450000,7651000,-5016,bes_98
451000,7651000,-5151,bes_98
452000,7651000,-5263,bes_98
453000,7651000,-5231,bes_98
454000,7651000,-5105,bes_98
455000,7651000,-5025,bes_98
456000,7651000,-5051,bes_98
457000,7651000,-5165,bes_98
458000,7651000,-5321,bes_98
459000,7651000,-5448,bes_98
460000,7651000,-5485,bes_98
461000,7651000,-5465,bes_98
462000,7651000,-5465,bes_98
463000,7651000,-5460,bes_98
464000,7651000,-5339,bes_98
465000,7651000,-4884,bes_98
466000,7651000,-3947,bes_98
467000,7651000,-2969,bes_98
468000,7651000,-2462,bes_98
469000,7651000,-2287,bes_98
470000,7651000,-2161,bes_98
471000,7651000,-2073,bes_98
472000,7651000,-2119,bes_98
473000,7651000,-2349,bes_98
474000,7651000,-2716,bes_98
475000,7651000,-3151,bes_98
476000,7651000,-3569,bes_98
477000,7651000,-3831,bes_98
478000,7651000,-3878,bes_98
479000,7651000,-3786,bes_98
480000,7651000,-3656,bes_98
481000,7651000,-3589,bes_98
482000,7651000,-3586,bes_98
483000,7651000,-3599,bes_98
484000,7651000,-3766,bes_98
485000,7651000,-4299,bes_98
486000,7651000,-5094,bes_98
487000,7651000,-5784,bes_98
488000,7651000,-6293,bes_98
489000,7651000,-6797,bes_98
490000,7651000,-7268,bes_98
491000,7651000,-7539,bes_98
492000,7651000,-7489,bes_98
493000,7651000,-7295,bes_98
494000,7651000,-7198,bes_98
495000,7651000,-6861,bes_98
496000,7651000,-5701,bes_98
497000,7651000,-4393,bes_98
498000,7651000,-4000,bes_98
499000,7651000,-4179,bes_98
500000,7651000,-4680,bes_98
501000,7651000,-5454,bes_98
502000,7651000,-5866,bes_98
503000,7651000,-5642,bes_98
504000,7651000,-4951,bes_98
505000,7651000,-4108,bes_98
506000,7651000,-3547,bes_98
507000,7651000,-3527,bes_98
