time,X,Y,Z,litho
92.0,400000.0,7651000.0,-3383.01,9.0
92.0,401000.0,7651000.0,-3444.42,9.0
92.0,402000.0,7651000.0,-3570.67,9.0
92.0,403000.0,7651000.0,-3685.11,46.0
92.0,404000.0,7651000.0,-3801.83,46.0
92.0,405000.0,7651000.0,-3976.92,37.0
92.0,406000.0,7651000.0,-4190.45,37.0
92.0,407000.0,7651000.0,-4347.68,16.0
92.0,408000.0,7651000.0,-4391.01,37.0
92.0,409000.0,7651000.0,-4383.95,29.0
92.0,410000.0,7651000.0,-4384.69,28.0
92.0,411000.0,7651000.0,-4361.16,24.0
92.0,412000.0,7651000.0,-4300.03,25.0
92.0,413000.0,7651000.0,-4182.63,25.0
92.0,414000.0,7651000.0,-3999.58,25.0
92.0,415000.0,7651000.0,-3860.16,25.0
92.0,416000.0,7651000.0,-3863.12,25.0
92.0,417000.0,7651000.0,-3947.61,25.0
92.0,418000.0,7651000.0,-4026.44,25.0
92.0,419000.0,7651000.0,-4099.58,25.0
92.0,420000.0,7651000.0,-4176.23,25.0
92.0,421000.0,7651000.0,-4236.53,25.0
92.0,422000.0,7651000.0,-4246.3,25.0
92.0,423000.0,7651000.0,-4184.97,25.0
92.0,424000.0,7651000.0,-4097.93,25.0
92.0,425000.0,7651000.0,-4039.55,25.0
92.0,426000.0,7651000.0,-4015.89,25.0
92.0,427000.0,7651000.0,-4067.58,25.0
92.0,428000.0,7651000.0,-4239.31,25.0
92.0,429000.0,7651000.0,-4468.28,25.0
92.0,430000.0,7651000.0,-4613.66,25.0
92.0,431000.0,7651000.0,-4563.94,25.0
92.0,432000.0,7651000.0,-4363.8,25.0
92.0,433000.0,7651000.0,-4179.12,25.0
92.0,434000.0,7651000.0,-4153.61,25.0
92.0,435000.0,7651000.0,-4342.63,21.0
92.0,436000.0,7651000.0,-4640.91,21.0
92.0,437000.0,7651000.0,-4880.83,21.0
92.0,438000.0,7651000.0,-5016.81,21.0
92.0,439000.0,7651000.0,-5035.08,16.0
92.0,440000.0,7651000.0,-4814.6,9.0
92.0,441000.0,7651000.0,-4424.64,9.0
92.0,442000.0,7651000.0,-4232.87,9.0
92.0,443000.0,7651000.0,-4342.89,9.0
92.0,444000.0,7651000.0,-4532.19,9.0
92.0,445000.0,7651000.0,-4673.51,9.0
92.0,446000.0,7651000.0,-4753.25,9.0
92.0,447000.0,7651000.0,-4784.21,28.0
92.0,448000.0,7651000.0,-4797.47,28.0
92.0,449000.0,7651000.0,-4825.98,28.0
92.0,450000.0,7651000.0,-4917.77,29.0
92.0,451000.0,7651000.0,-5079.61,29.0
92.0,452000.0,7651000.0,-5207.49,29.0
92.0,453000.0,7651000.0,-5191.35,29.0
92.0,454000.0,7651000.0,-5075.79,29.0
92.0,455000.0,7651000.0,-4997.63,29.0
92.0,456000.0,7651000.0,-5023.89,37.0
92.0,457000.0,7651000.0,-5137.74,37.0
92.0,458000.0,7651000.0,-5293.84,37.0
92.0,459000.0,7651000.0,-5421.32,37.0
92.0,460000.0,7651000.0,-5458.53,37.0
92.0,461000.0,7651000.0,-5437.97,37.0
92.0,462000.0,7651000.0,-5438.06,37.0
92.0,463000.0,7651000.0,-5433.12,37.0
92.0,464000.0,7651000.0,-5312.55,37.0
92.0,465000.0,7651000.0,-4857.28,37.0
92.0,466000.0,7651000.0,-3920.3,37.0
92.0,467000.0,7651000.0,-2943.23,37.0
92.0,468000.0,7651000.0,-2436.11,37.0
