X,Y,Z,formation
8093.0,107096.0,-38,RIO_DOCE
8093.0,107096.0,-1075,CARAVELAS
8093.0,107096.0,-1345,URUCUTUCA
8093.0,107096.0,-1492,REGENCIA
8093.0,107096.0,-1556,SAO_MATEUS
8093.0,107096.0,-2179,MARIRICU
18521.0,11331.0,-52,RIO_DOCE
18521.0,11331.0,-1401,CARAVELAS
18521.0,11331.0,-1925,URUCUTUCA
18521.0,11331.0,-4545,REGENCIA
18521.0,11331.0,-4745,MARIRICU
0.0,2025.0,-43,RIO_DOCE
0.0,2025.0,-1150,URUCUTUCA
0.0,2025.0,-2156,REGENCIA
0.0,2025.0,-2418,SAO_MATEUS
20702.0,92765.0,-62,RIO_DOCE
20702.0,92765.0,-1280,CARAVELAS
20702.0,92765.0,-1849,URUCUTUCA
20702.0,92765.0,-3280,REGENCIA
8669.0,15549.0,-47,RIO_DOCE
8669.0,15549.0,-1382,CARAVELAS
8669.0,15549.0,-1563,URUCUTUCA
8669.0,15549.0,-3546,REGENCIA
8669.0,15549.0,-3608,MARIRICU
2466.0,10812.0,-40,RIO_DOCE
2466.0,10812.0,-1427,URUCUTUCA
2466.0,10812.0,-2705,REGENCIA
2466.0,10812.0,-2797,MARIRICU
9352.0,0.0,-60,RIO_DOCE
9352.0,0.0,-1607,URUCUTUCA
9352.0,0.0,-3614,REGENCIA
9352.0,0.0,-3739,MARIRICU
1629.0,4558.0,-39,RIO_DOCE
1629.0,4558.0,-1125,URUCUTUCA
1629.0,4558.0,-2274,REGENCIA
1629.0,4558.0,-2483,SAO_MATEUS
1629.0,4558.0,-2583,MARIRICU
13342.0,56598.0,-44,RIO_DOCE
13342.0,56598.0,-1825,URUCUTUCA
13342.0,56598.0,-3563,REGENCIA
13342.0,56598.0,-3851,SAO_MATEUS
20262.0,53751.0,-52,RIO_DOCE
20262.0,53751.0,-2097,URUCUTUCA
20262.0,53751.0,-3867,REGENCIA
20262.0,53751.0,-4028,SAO_MATEUS
37037.0,103810.0,-50,RIO_DOCE
37037.0,103810.0,-1448,CARAVELAS
37037.0,103810.0,-2241,URUCUTUCA
5147.0,15670.0,-42,RIO_DOCE
5147.0,15670.0,-1323,CARAVELAS
5147.0,15670.0,-1580,URUCUTUCA
5147.0,15670.0,-2712,SAO_MATEUS
5147.0,15670.0,-3026,MARIRICU
16534.0,31640.0,-43,RIO_DOCE
16534.0,31640.0,-1461,CARAVELAS
16534.0,31640.0,-2001,URUCUTUCA
16534.0,31640.0,-4025,REGENCIA
4057.0,8195.0,-42,RIO_DOCE
4057.0,8195.0,-1428,URUCUTUCA
4057.0,8195.0,-2882,SAO_MATEUS
11843.0,101708.0,-44,RIO_DOCE
11843.0,101708.0,-1185,URUCUTUCA
11843.0,101708.0,-1770,REGENCIA
11843.0,101708.0,-2473,SAO_MATEUS
11843.0,101708.0,-3080,MARIRICU
