X,Y,Z,formation
444407.0,7968087.0,-50,RIO_DOCE
444407.0,7968087.0,-1417,CARAVELAS
444407.0,7968087.0,-1652,ABROLHOS
444407.0,7968087.0,-1954,URUCUTUCA
444407.0,7968087.0,-2080,SAO_MATEUS
444407.0,7968087.0,-2406,REGENCIA
444407.0,7968087.0,-3192,MARIRICU
444407.0,7968087.0,-3238,BASEMENT
446757.5,7719841.8,-2026,URUCUTUCA
446757.5,7719841.8,-4763,REGENCIA
446757.5,7719841.8,-5045,SAO_MATEUS
446757.5,7719841.8,-5832,MARIRICU
448175.3,7749030.0,-1822,URUCUTUCA
448175.3,7749030.0,-4920,REGENCIA
425873.0,7927509.0,-38,RIO_DOCE
425873.0,7927509.0,-1075,CARAVELAS
425873.0,7927509.0,-1345,URUCUTUCA
425873.0,7927509.0,-1492,REGENCIA
425873.0,7927509.0,-1556,SAO_MATEUS
425873.0,7927509.0,-2179,MARIRICU
425873.0,7927509.0,-3046,BASEMENT
436301.0,7831744.2,-52,RIO_DOCE
436301.0,7831744.2,-1401,CARAVELAS
436301.0,7831744.2,-1925,URUCUTUCA
436301.0,7831744.2,-4545,REGENCIA
436301.0,7831744.2,-4745,MARIRICU
417780.5,7822438.2,-43,RIO_DOCE
417780.5,7822438.2,-1150,URUCUTUCA
417780.5,7822438.2,-2156,REGENCIA
417780.5,7822438.2,-2418,SAO_MATEUS
438482.9,7913178.4,-62,RIO_DOCE
438482.9,7913178.4,-1280,CARAVELAS
438482.9,7913178.4,-1849,URUCUTUCA
438482.9,7913178.4,-3280,REGENCIA
426449.0,7835962.0,-47,RIO_DOCE
426449.0,7835962.0,-1382,CARAVELAS
426449.0,7835962.0,-1563,URUCUTUCA
426449.0,7835962.0,-3546,REGENCIA
426449.0,7835962.0,-3608,MARIRICU
420246.0,7831225.0,-40,RIO_DOCE
420246.0,7831225.0,-1427,URUCUTUCA
420246.0,7831225.0,-2705,REGENCIA
420246.0,7831225.0,-2797,MARIRICU
427132.3,7820413.7,-60,RIO_DOCE
427132.3,7820413.7,-1607,URUCUTUCA
427132.3,7820413.7,-3614,REGENCIA
427132.3,7820413.7,-3739,MARIRICU
