X,Y,Z,formation
800,50,750,Formacao_1
800,150,700,Formacao_1
800,300,700,Formacao_1
800,500,800,Formacao_1
800,650,850,Formacao_1
800,800,900,Formacao_1
800,900,950,Formacao_1
800,1000,1000,Formacao_1
800,1500,700,Formacao_1
800,1700,600,Formacao_1
800,1900,650,Formacao_1
800,2100,600,Formacao_1
800,2300,700,Formacao_1
800,2500,750,Formacao_1
800,2700,800,Formacao_1
800,2900,850,Formacao_1
800,3100,700,Formacao_1
800,3300,800,Formacao_1
800,3500,850,Formacao_1
800,3700,1000,Formacao_1
0,1000,1100,Formacao_1
300,1000,1000,Formacao_1
450,1000,950,Formacao_1
600,1000,700,Formacao_1
800,1000,600,Formacao_1
900,1000,800,Formacao_1
1100,1000,900,Formacao_1
1400,1000,850,Formacao_1
1700,1000,900,Formacao_1
1800,1000,950,Formacao_1
1900,1000,1000,Formacao_1
2100,1000,1050,Formacao_1
2300,1000,1100,Formacao_1
2500,1000,1150,Formacao_1
2700,1000,1200,Formacao_1
2900,1000,950,Formacao_1
3100,1000,900,Formacao_1
3300,1000,850,Formacao_1
3500,1000,750,Formacao_1
3700,1000,600,Formacao_1
1500,500,800,Formacao_1
1500,1500,750,Formacao_1
800,50,450,Formacao_2
800,150,400,Formacao_2
800,300,400,Formacao_2
800,500,500,Formacao_2
800,1000,700,Formacao_2
800,1500,400,Formacao_2
800,1700,300,Formacao_2
800,1950,350,Formacao_2
800,2050,370,Formacao_2
800,2150,400,Formacao_2
800,2250,460,Formacao_2
800,2350,500,Formacao_2
800,2450,700,Formacao_2
800,2550,800,Formacao_2
800,2650,700,Formacao_2
800,2750,650,Formacao_2
800,2900,570,Formacao_2
800,3000,540,Formacao_2
800,3100,500,Formacao_2
800,3300,450,Formacao_2
0,1000,800,Formacao_2
300,1000,700,Formacao_2
1000,1000,600,Formacao_2
1050,1000,550,Formacao_2
1100,1000,600,Formacao_2
1400,1000,700,Formacao_2
1700,1000,800,Formacao_2
1950,1000,750,Formacao_2
2050,1000,630,Formacao_2
2150,1000,500,Formacao_2
2250,1000,400,Formacao_2
2350,1000,350,Formacao_2
2450,1000,300,Formacao_2
2550,1000,330,Formacao_2
2650,1000,440,Formacao_2
2750,1000,570,Formacao_2
2900,1000,600,Formacao_2
3000,1000,680,Formacao_2
3100,1000,800,Formacao_2
3300,1000,760,Formacao_2
1500,500,500,Formacao_2
1500,1500,450,Formacao_2
900,150,920,Formacao_3
900,300,920,Formacao_3
900,1500,920,Formacao_3
900,1700,820,Formacao_3
900,1950,870,Formacao_3
900,2070,920,Formacao_3
900,2190,970,Formacao_3
900,2310,1020,Formacao_3
900,2430,920,Formacao_3
900,2550,820,Formacao_3
900,2670,950,Formacao_3
900,2790,1040,Formacao_3
900,2910,1130,Formacao_3
900,3030,1220,Formacao_3
900,3150,1310,Formacao_3
900,3270,1260,Formacao_3
900,3390,1210,Formacao_3
900,3510,1160,Formacao_3
900,3630,1160,Formacao_3
900,3750,1160,Formacao_3
900,3630,1020,Formacao_3
900,3510,920,Formacao_3
900,3390,820,Formacao_3
900,3270,820,Formacao_3
900,3150,920,Formacao_3
0,1000,1300,Formacao_3
300,1000,1200,Formacao_3
600,1000,1100,Formacao_3
1100,1000,1100,Formacao_3
1400,1000,1050,Formacao_3
1700,1000,1100,Formacao_3
1780,1000,1150,Formacao_3
1860,1000,1200,Formacao_3
1940,1000,1250,Formacao_3
2020,1000,1250,Formacao_3
2100,1000,1100,Formacao_3
2180,1000,1050,Formacao_3
2260,1000,1050,Formacao_3
2340,1000,920,Formacao_3
2420,1000,820,Formacao_3
2500,1000,970,Formacao_3
2580,1000,1120,Formacao_3
2660,1000,1270,Formacao_3
2740,1000,1300,Formacao_3
2820,1000,1300,Formacao_3
1500,500,1000,Formacao_3
1500,1500,950,Formacao_3
0,1000,1500,Formacao_4
300,1000,1400,Formacao_4
600,1000,1300,Formacao_4
1100,1000,1300,Formacao_4
1400,1000,1250,Formacao_4
1500,1000,1250,Formacao_4
1600,1000,1400,Formacao_4
1650,1000,1350,Formacao_4
1700,1000,1300,Formacao_4
1750,1000,1300,Formacao_4
1800,1000,1350,Formacao_4
1850,1000,1400,Formacao_4
2000,1000,1450,Formacao_4
2150,1000,1500,Formacao_4
2300,1000,1500,Formacao_4
2450,1000,1470,Formacao_4
2600,1000,1440,Formacao_4
2890,1000,1410,Formacao_4
3180,1000,1300,Formacao_4
3470,1000,1200,Formacao_4
1500,500,1200,Formacao_4
1500,1500,1150,Formacao_4
