X,Y,Z,formation
0,50,0,camada1
10,50,0,camada1
20,50,0,camada1
30,50,-3,camada1
40,50,-6,camada1
50,50,-10,camada1
60,50,-10,camada1
70,50,-10,camada1
80,50,-10,camada1
90,50,-10,camada1
100,50,-11,camada1
110,50,-12,camada1
120,50,-15,camada1
130,50,-20,camada1
140,50,-22,camada1
150,50,-24,camada1
155,50,-25,camada1
160,50,-27,camada1
165,50,-29,camada1
170,50,-29,camada1
180,50,-29,camada1
185,50,-27,camada1
190,50,-27,camada1
200,50,-25,camada1
210,50,-27,camada1
220,50,-27,camada1
230,50,-27,camada1
235,50,-25,camada1
240,50,-24,camada1
245,50,-23,camada1
250,50,-22,camada1
255,50,-20,camada1
260,50,-18,camada1
270,50,-16,camada1
280,50,-14,camada1
290,50,-12,camada1
300,50,-10,camada1
310,50,-9,camada1
320,50,-8,camada1
330,50,-7,camada1
340,50,-6,camada1
350,50,-5,camada1
360,50,-3,camada1
370,50,-1,camada1
380,50,-1,camada1
390,50,0,camada1
400,50,0,camada1
0,150,0,camada1
10,150,0,camada1
20,150,0,camada1
30,150,-3,camada1
40,150,-6,camada1
50,150,-10,camada1
60,150,-10,camada1
70,150,-10,camada1
80,150,-10,camada1
90,150,-10,camada1
100,150,-11,camada1
110,150,-12,camada1
120,150,-15,camada1
130,150,-20,camada1
140,150,-22,camada1
150,150,-24,camada1
155,150,-25,camada1
160,150,-27,camada1
165,150,-29,camada1
170,150,-29,camada1
180,150,-29,camada1
185,150,-27,camada1
190,150,-27,camada1
200,150,-25,camada1
210,150,-27,camada1
220,150,-27,camada1
230,150,-27,camada1
235,150,-25,camada1
240,150,-24,camada1
245,150,-23,camada1
250,150,-22,camada1
255,150,-20,camada1
260,150,-18,camada1
270,150,-16,camada1
280,150,-14,camada1
290,150,-12,camada1
300,150,-10,camada1
310,150,-9,camada1
320,150,-8,camada1
330,150,-7,camada1
340,150,-6,camada1
350,150,-5,camada1
360,150,-3,camada1
370,150,-1,camada1
380,150,-1,camada1
390,150,0,camada1
400,150,0,camada1
0,250,0,camada1
10,250,0,camada1
20,250,0,camada1
30,250,-3,camada1
40,250,-6,camada1
50,250,-10,camada1
60,250,-10,camada1
70,250,-10,camada1
80,250,-10,camada1
90,250,-10,camada1
100,250,-11,camada1
110,250,-12,camada1
120,250,-15,camada1
130,250,-20,camada1
140,250,-22,camada1
150,250,-24,camada1
155,250,-25,camada1
160,250,-27,camada1
165,250,-29,camada1
170,250,-29,camada1
180,250,-29,camada1
185,250,-27,camada1
190,250,-27,camada1
200,250,-25,camada1
210,250,-27,camada1
220,250,-27,camada1
230,250,-27,camada1
235,250,-25,camada1
240,250,-24,camada1
245,250,-23,camada1
250,250,-22,camada1
255,250,-20,camada1
260,250,-18,camada1
270,250,-16,camada1
280,250,-14,camada1
290,250,-12,camada1
300,250,-10,camada1
310,250,-9,camada1
320,250,-8,camada1
330,250,-7,camada1
340,250,-6,camada1
350,250,-5,camada1
360,250,-3,camada1
370,250,-1,camada1
380,250,-1,camada1
390,250,0,camada1
400,250,0,camada1
0,350,0,camada1
10,350,0,camada1
20,350,0,camada1
30,350,-3,camada1
40,350,-6,camada1
50,350,-10,camada1
60,350,-10,camada1
70,350,-10,camada1
80,350,-10,camada1
90,350,-10,camada1
100,350,-11,camada1
110,350,-12,camada1
120,350,-15,camada1
130,350,-20,camada1
140,350,-22,camada1
150,350,-24,camada1
155,350,-25,camada1
160,350,-27,camada1
165,350,-29,camada1
170,350,-29,camada1
180,350,-29,camada1
185,350,-27,camada1
190,350,-27,camada1
200,350,-25,camada1
210,350,-27,camada1
220,350,-27,camada1
230,350,-27,camada1
235,350,-25,camada1
240,350,-24,camada1
245,350,-23,camada1
250,350,-22,camada1
255,350,-20,camada1
260,350,-18,camada1
270,350,-16,camada1
280,350,-14,camada1
290,350,-12,camada1
300,350,-10,camada1
310,350,-9,camada1
320,350,-8,camada1
330,350,-7,camada1
340,350,-6,camada1
350,350,-5,camada1
360,350,-3,camada1
370,350,-1,camada1
380,350,-1,camada1
390,350,0,camada1
400,350,0,camada1
