X,Y,Z,formation
100,500,1000,Formacao_1
400,500,800,Formacao_1
600,500,800,Formacao_1
1000,500,650,Formacao_1
1400,500,800,Formacao_1
1600,500,800,Formacao_1
1900,500,1000,Formacao_1
100,500,750,Formacao_2
400,500,550,Formacao_2
600,500,550,Formacao_2
1000,500,450,Formacao_2
1400,500,550,Formacao_2
1600,500,550,Formacao_2
1900,500,750,Formacao_2
100,500,450,Formacao_3
400,500,250,Formacao_3
600,500,250,Formacao_3
1000,500,150,Formacao_3
1400,500,250,Formacao_3
1600,500,250,Formacao_3
1900,500,450,Formacao_3
100,500,200,Formacao_4
400,500,50,Formacao_4
600,500,50,Formacao_4
1000,500,0,Formacao_4
1400,500,50,Formacao_4
1600,500,50,Formacao_4
1900,500,200,Formacao_4
100,-500,1000,Formacao_1
400,-500,800,Formacao_1
600,-500,800,Formacao_1
1000,-500,650,Formacao_1
1400,-500,800,Formacao_1
1600,-500,800,Formacao_1
1900,-500,1000,Formacao_1
100,-500,750,Formacao_2
400,-500,550,Formacao_2
600,-500,550,Formacao_2
1000,-500,450,Formacao_2
1400,-500,550,Formacao_2
1600,-500,550,Formacao_2
1900,-500,750,Formacao_2
100,-500,450,Formacao_3
400,-500,250,Formacao_3
600,-500,250,Formacao_3
1000,-500,150,Formacao_3
1400,-500,250,Formacao_3
1600,-500,250,Formacao_3
1900,-500,450,Formacao_3
100,-500,200,Formacao_4
400,-500,50,Formacao_4
600,-500,50,Formacao_4
1000,-500,0,Formacao_4
1400,-500,50,Formacao_4
1600,-500,50,Formacao_4
1900,-500,200,Formacao_4
