X,Y,Z,formation
1200,11250,0,ARIRI
1200,11250,-60,UBV
1200,11250,-160,UBV
1200,11250,-260,UBV
1200,11250,-360,UBV
1200,11250,-420,LBV
1300,9000,0,ARIRI
1300,9000,-100,UBV
1300,9000,-200,UBV
1300,9000,-230,LBV
1200,4500,0,ARIRI
1200,4500,-60,UBV
1200,4500,-120,UBV
1200,4500,-200,UBV
1200,4500,-260,LBV
1300,1300,0,ARIRI
1300,1300,-80,UBV
1300,1300,-200,UBV
1300,1300,-300,UBV
1300,1300,-370,LBV
1300,1300,-450,LBV
1300,1300,-550,LBV
1300,1300,-610,ITAPEMA
3100,9200,0,ARIRI
3100,9200,-100,ARIRI
3100,9200,-170,UBV
3100,9200,-240,UBV
3100,9200,-340,UBV
3100,9200,-480,LBV
3100,9200,-550,LBV
3100,9200,-650,LBV
3100,9200,-750,LBV
3100,9200,-850,LBV
3100,9200,-950,LBV
3100,9200,-1030,ITAPEMA
1500,4500,0,ARIRI
1500,4500,-100,ARIRI
1500,4500,-200,ARIRI
1500,4500,-280,UBV
1500,4500,-380,UBV
1500,4500,-480,UBV
1500,4500,-570,LBV
1500,4000,0,ARIRI
1500,4000,-100,ARIRI
1500,4000,-180,UBV
1500,4000,-250,UBV
1500,4000,-350,UBV
1500,4000,-450,LBV
3100,1300,0,ARIRI
3100,1300,-80,ARIRI
3100,1300,-120,UBV
3100,1300,-200,UBV
3100,1300,-300,UBV
3100,1300,-380,LBV
3100,1300,-450,LBV
3100,1300,-550,LBV
3100,1300,-650,LBV
3100,1300,-750,ITAPEMA
