X,Y,Z,formation
2000,0,0,TOP
2000,2500,0,TOP
2000,5000,0,TOP
2000,7500,0,TOP
2000,10000,0,TOP
2000,12500,0,TOP
2000,15000,0,TOP
2000,17500,0,TOP
2000,20000,0,TOP
2000,22500,0,TOP
2000,25000,0,TOP
2000,27500,0,TOP
2000,30000,0,TOP
2000,32500,0,TOP
2000,35000,0,TOP
2000,37500,0,TOP
2000,40000,0,TOP
2000,35100,-2400,FALHA_1
2000,35000,-2900,FALHA_1
2000,34800,-3000,FALHA_1
2000,34400,-3400,FALHA_1
2000,34000,-3600,FALHA_1
2000,33750,-4000,FALHA_1
2000,33300,-4400,FALHA_1
2000,33000,-4700,FALHA_1
2000,32900,-5000,FALHA_1
2000,32700,-5300,FALHA_1
2000,32500,-5600,FALHA_1
2000,32000,-5800,FALHA_1
2000,31700,-5950,FALHA_1
2000,31500,-6050,FALHA_1
2000,31250,-6200,FALHA_1
2000,31000,-6450,FALHA_1
2000,30800,-6600,FALHA_1
2000,30500,-6800,FALHA_1
2000,30250,-6950,FALHA_1
2000,12500,-1400,UBV
2000,13500,-1300,UBV
2000,15000,-1200,UBV
2000,16250,-1350,UBV
2000,17500,-1500,UBV
2000,18250,-1600,UBV
2000,20000,-1700,UBV
2000,21250,-1950,UBV
2000,22500,-2100,UBV
2000,23250,-2300,UBV
2000,25000,-2400,UBV
2000,26250,-2400,UBV
2000,27500,-2300,UBV
2000,28750,-2200,UBV
2000,30000,-2200,UBV
2000,31250,-2300,UBV
2000,32500,-2500,UBV
2000,33750,-2600,UBV
2000,35000,-2400,UBV
2000,36250,-2100,UBV
2000,37500,-1900,UBV
2000,38750,-1700,UBV
2000,40000,-1500,UBV
2000,0,0,LBV
2000,1250,-100,LBV
2000,2500,-500,LBV
2000,3750,-900,LBV
2000,5000,-1200,LBV
2000,6250,-1400,LBV
2000,7500,-1600,LBV
2000,8750,-1800,LBV
2000,10000,-1700,LBV
2000,11250,-1650,LBV
2000,12500,-1400,LBV
2000,13750,-1600,LBV
2000,15000,-1750,LBV
2000,16250,-1900,LBV
2000,17500,-2000,LBV
2000,18750,-2150,LBV
2000,20000,-2300,LBV
2000,21250,-2400,LBV
2000,22500,-2500,LBV
2000,23750,-2750,LBV
2000,25000,-2850,LBV
2000,26250,-2950,LBV
2000,27500,-3000,LBV
2000,28750,-3050,LBV
2000,30000,-3100,LBV
2000,31250,-3200,LBV
2000,32500,-3400,LBV
2000,33750,-3400,LBV
2000,34250,-3200,LBV
2000,35500,-2750,LBV
2000,36250,-2750,LBV
2000,37500,-2700,LBV
2000,38750,-2450,LBV
2000,40000,-2250,LBV
2000,0,-600,ITAPEMA
2000,1250,-750,ITAPEMA
2000,2500,-1050,ITAPEMA
2000,3750,-1300,ITAPEMA
2000,5000,-1600,ITAPEMA
2000,6250,-1850,ITAPEMA
2000,7500,-1950,ITAPEMA
2000,8750,-2100,ITAPEMA
2000,10000,-2400,ITAPEMA
2000,11250,-2500,ITAPEMA
2000,12500,-2750,ITAPEMA
2000,13750,-2850,ITAPEMA
2000,15000,-3000,ITAPEMA
2000,16250,-3100,ITAPEMA
2000,17500,-3300,ITAPEMA
2000,18750,-3500,ITAPEMA
2000,20000,-3700,ITAPEMA
2000,21250,-3900,ITAPEMA
2000,22500,-4000,ITAPEMA
2000,23750,-4200,ITAPEMA
2000,25000,-4400,ITAPEMA
2000,26250,-4500,ITAPEMA
2000,27500,-4600,ITAPEMA
2000,28750,-4800,ITAPEMA
2000,30000,-4900,ITAPEMA
2000,31250,-4900,ITAPEMA
2000,32500,-4800,ITAPEMA
2000,33200,-4700,ITAPEMA
2000,34375,-4000,ITAPEMA
2000,35000,-4100,ITAPEMA
2000,36250,-4300,ITAPEMA
2000,37500,-4400,ITAPEMA
2000,38750,-4500,ITAPEMA
2000,40000,-4600,ITAPEMA
2000,0,-1600,CAMBORIU
2000,1250,-1800,CAMBORIU
2000,2500,-2350,CAMBORIU
2000,3750,-2600,CAMBORIU
2000,5000,-3000,CAMBORIU
2000,6250,-3200,CAMBORIU
2000,7500,-3500,CAMBORIU
2000,8750,-3700,CAMBORIU
2000,10000,-3800,CAMBORIU
2000,11250,-3800,CAMBORIU
2000,12500,-3950,CAMBORIU
2000,13750,-4000,CAMBORIU
2000,15000,-4050,CAMBORIU
2000,16250,-4300,CAMBORIU
2000,17500,-4500,CAMBORIU
2000,18750,-4800,CAMBORIU
2000,20000,-5000,CAMBORIU
2000,21250,-5300,CAMBORIU
2000,22500,-5600,CAMBORIU
2000,23750,-5800,CAMBORIU
2000,25000,-6100,CAMBORIU
2000,26250,-6300,CAMBORIU
2000,27500,-6500,CAMBORIU
2000,28750,-6600,CAMBORIU
2000,30000,-6700,CAMBORIU
2000,31310,-6800,CAMBORIU
2000,32500,-5700,CAMBORIU
2000,33750,-5650,CAMBORIU
2000,35000,-5650,CAMBORIU
2000,36250,-5800,CAMBORIU
2000,37500,-5950,CAMBORIU
2000,38750,-6050,CAMBORIU
2000,40000,-6050,CAMBORIU
2000,0,-8000,BOT
2000,1250,-7950,BOT
2000,2500,-7900,BOT
2000,3750,-7800,BOT
2000,5000,-7750,BOT
2000,6250,-7600,BOT
2000,7500,-7500,BOT
2000,8750,-7550,BOT
2000,10000,-7450,BOT
2000,11250,-7400,BOT
2000,12500,-7300,BOT
2000,13750,-7200,BOT
2000,15000,-7200,BOT
2000,16250,-7200,BOT
2000,17500,-7150,BOT
2000,18750,-7130,BOT
2000,20000,-7100,BOT
2000,21250,-7000,BOT
2000,22500,-6980,BOT
2000,23750,-6950,BOT
2000,25000,-6950,BOT
2000,26250,-6940,BOT
2000,27500,-6920,BOT
2000,28750,-6910,BOT
2000,30000,-6910,BOT
2000,31250,-6900,BOT
2000,32500,-6900,BOT
2000,33750,-6900,BOT
2000,35000,-6900,BOT
2000,36250,-6900,BOT
2000,37500,-6900,BOT
2000,38750,-6900,BOT
2000,40000,-6900,BOT
