X,Y,Z,formation
2000,0,0,SEAFLOOR
2000,2500,0,SEAFLOOR
2000,5000,0,SEAFLOOR
2000,7500,0,SEAFLOOR
2000,10000,0,SEAFLOOR
2000,12500,0,SEAFLOOR
2000,15000,0,SEAFLOOR
2000,17500,0,SEAFLOOR
2000,20000,0,SEAFLOOR
2000,22500,0,SEAFLOOR
2000,25000,0,SEAFLOOR
2000,27500,0,SEAFLOOR
2000,30000,0,SEAFLOOR
2000,32500,0,SEAFLOOR
2000,35000,0,SEAFLOOR
2000,37500,0,SEAFLOOR
2000,40000,0,SEAFLOOR
2000,42500,0,SEAFLOOR
2000,45000,0,SEAFLOOR
2000,47500,0,SEAFLOOR
2000,50000,0,SEAFLOOR
2000,52500,0,SEAFLOOR
2000,55000,0,SEAFLOOR
2000,57500,0,SEAFLOOR
2000,60000,0,SEAFLOOR
2000,62500,0,SEAFLOOR
2000,65000,0,SEAFLOOR
2000,67500,0,SEAFLOOR
2000,70000,0,SEAFLOOR
2000,72500,0,SEAFLOOR
2000,75000,0,SEAFLOOR
2000,77500,0,SEAFLOOR
2000,80000,0,SEAFLOOR
2000,82500,0,SEAFLOOR
2000,85000,0,SEAFLOOR
2000,87500,0,SEAFLOOR
2000,90000,0,SEAFLOOR
2000,92500,0,SEAFLOOR
2000,95000,0,SEAFLOOR
2000,97500,0,SEAFLOOR
2000,100000,0,SEAFLOOR
2000,102500,0,SEAFLOOR
2000,105000,0,SEAFLOOR
2000,107500,0,SEAFLOOR
2000,110000,0,SEAFLOOR
2000,112500,0,SEAFLOOR
2000,115000,0,SEAFLOOR
2000,117500,0,SEAFLOOR
2000,120000,0,SEAFLOOR
2000,122500,0,SEAFLOOR
2000,125000,0,SEAFLOOR
2000,35100,-2400,FALHA_1
2000,35000,-2900,FALHA_1
2000,34800,-3000,FALHA_1
2000,34400,-3400,FALHA_1
2000,34000,-3600,FALHA_1
2000,33750,-4000,FALHA_1
2000,33300,-4400,FALHA_1
2000,33000,-4700,FALHA_1
2000,32900,-5000,FALHA_1
2000,32700,-5300,FALHA_1
2000,32500,-5600,FALHA_1
2000,32000,-5800,FALHA_1
2000,31700,-5950,FALHA_1
2000,31500,-6050,FALHA_1
2000,31250,-6200,FALHA_1
2000,31000,-6450,FALHA_1
2000,30800,-6600,FALHA_1
2000,30500,-6800,FALHA_1
2000,30250,-6950,FALHA_1
2000,12500,-1400,UBV
2000,13500,-1300,UBV
2000,15000,-1200,UBV
2000,16250,-1350,UBV
2000,17500,-1500,UBV
2000,18250,-1600,UBV
2000,20000,-1700,UBV
2000,21250,-1950,UBV
2000,22500,-2100,UBV
2000,23250,-2300,UBV
2000,25000,-2400,UBV
2000,26250,-2400,UBV
2000,27500,-2300,UBV
2000,28750,-2200,UBV
2000,30000,-2200,UBV
2000,31250,-2300,UBV
2000,32500,-2500,UBV
2000,33750,-2600,UBV
2000,35000,-2400,UBV
2000,36250,-2100,UBV
2000,37500,-1900,UBV
2000,38750,-1700,UBV
2000,40000,-1500,UBV
2000,41250,-1400,UBV
2000,42500,-1100,UBV
2000,43750,-800,UBV
2000,45000,-100,UBV
2000,0,0,LBV
2000,1250,-100,LBV
2000,2500,-500,LBV
2000,3750,-900,LBV
2000,5000,-1200,LBV
2000,6250,-1400,LBV
2000,7500,-1600,LBV
2000,8750,-1800,LBV
2000,10000,-1700,LBV
2000,11250,-1650,LBV
2000,12500,-1400,LBV
2000,13750,-1600,LBV
2000,15000,-1750,LBV
2000,16250,-1900,LBV
2000,17500,-2000,LBV
2000,18750,-2150,LBV
2000,20000,-2300,LBV
2000,21250,-2400,LBV
2000,22500,-2500,LBV
2000,23750,-2750,LBV
2000,25000,-2850,LBV
2000,26250,-2950,LBV
2000,27500,-3000,LBV
2000,28750,-3050,LBV
2000,30000,-3100,LBV
2000,31250,-3200,LBV
2000,32500,-3400,LBV
2000,33750,-3400,LBV
2000,34250,-3200,LBV
2000,35500,-2750,LBV
2000,36250,-2750,LBV
2000,37500,-2700,LBV
2000,38750,-2450,LBV
2000,40000,-2250,LBV
2000,41250,-2200,LBV
2000,42500,-2050,LBV
2000,43750,-2065,LBV
2000,44500,-2080,LBV
2000,0,-600,ITAPEMA
2000,1250,-750,ITAPEMA
2000,2500,-1050,ITAPEMA
2000,3750,-1300,ITAPEMA
2000,5000,-1600,ITAPEMA
2000,6250,-1850,ITAPEMA
2000,7500,-1950,ITAPEMA
2000,8750,-2100,ITAPEMA
2000,10000,-2400,ITAPEMA
2000,11250,-2500,ITAPEMA
2000,12500,-2750,ITAPEMA
2000,13750,-2850,ITAPEMA
2000,15000,-3000,ITAPEMA
2000,16250,-3100,ITAPEMA
2000,17500,-3300,ITAPEMA
2000,18750,-3500,ITAPEMA
2000,20000,-3700,ITAPEMA
2000,21250,-3900,ITAPEMA
2000,22500,-4000,ITAPEMA
2000,23750,-4200,ITAPEMA
2000,25000,-4400,ITAPEMA
2000,26250,-4500,ITAPEMA
2000,27500,-4600,ITAPEMA
2000,28750,-4800,ITAPEMA
2000,30000,-4900,ITAPEMA
2000,31250,-4900,ITAPEMA
2000,32500,-4800,ITAPEMA
2000,33200,-4700,ITAPEMA
2000,34375,-4000,ITAPEMA
2000,35000,-4100,ITAPEMA
2000,36250,-4300,ITAPEMA
2000,37500,-4400,ITAPEMA
2000,38750,-4500,ITAPEMA
2000,40000,-4600,ITAPEMA
2000,41250,-4400,ITAPEMA
2000,42500,-4100,ITAPEMA
2000,43750,-3900,ITAPEMA
2000,0,-1600,CAMBORIU
2000,1250,-1800,CAMBORIU
,2500,-2350,
,3750,-2600,
,5000,-3000,
,6250,-3200,
,7500,-3500,
,8750,-3700,
,10000,-3800,
,11250,-3800,
,12500,-3950,
,13750,-4000,
,15000,-4050,
,16250,-4300,
,17500,-4500,
,18750,-3800,
,20000,-5000,
,21250,-5300,
,22500,-5600,
,23750,-5800,
,25000,-6100,
,26250,-6300,
,27500,-6500,
,28750,-6600,
,30000,-6700,
,31310,-6800,
,32500,-5700,
,33750,-5650,
,35000,-5650,
,36250,-5800,
,37500,-5950,
,38750,-6050,
,40000,-6050,
