X,Y,Z,azimuth,dip,polarity,formation
7037440,322628,989.457,263.276747,1.193492,-1,FM_IGUAPE
7037440,322628,1229.639,83.276747,0.349367,1,FM_MARAMBAIA
7037440,322628,1689.278,83.277,6.546,1,FM_MARAMBAIA
7037440,322628,2162.251,258.305884,56.113829,1,FM_MARAMBAIA
7037440,322628,2620.061,258.45384,50.17215,1,FM_MARAMBAIA
7037440,322628,3090.062,258.181256,59.136216,-1,FM_JUREIA
7037440,322628,3546.958,78.277337,56.597,-1,FM_JUREIA
7037440,322628,4014.673,83.277,7.496,1,FM_ITAJAI_ACU
7037440,322628,4455.593,83.277,12.095,1,FM_ITAJAI_ACU
7037440,322628,4694.7,72.584,14.036,-1,FM_ITANHAEM
7037440,322628,5037.75,88.101,0.1,1,FM_GUARUJA
