X,Y,Z,formation
1000,23.4018,-36.1053,water
1000,274.9715,-62.7092,water
1000,545.5551,-212.8312,water
1000,778.1107,-389.557,water
1000,1069.1709,-389.557,water
1000,1243.222,-539.679,water
1000,1455.3011,-691.7013,water
1000,1649.8288,-741.1085,water
1000,1765.3753,-967.2416,water
1000,1997.9309,-1168.6711,water
1000,2152.968,-1168.6711,water
1000,2308.0051,-1043.2527,water
1000,2423.5517,-1018.5491,water
1000,2559.5748,-967.2416,water
1000,2869.649,-1018.5491,water
1000,2928.1535,-1067.9563,water
1000,3005.6721,-942.538,water
1000,3450.3068,-841.8232,water
1000,3856.9135,-817.1196,water
1000,4282.5342,-967.2416,water
1000,4825.1641,-1119.2639,water
1000,5328.3034,-1244.6822,water
1000,5734.9101,-1294.0895,water
1000,5948.4518,-1394.8042,water
1000,6296.5539,-1244.6822,water
1000,6491.0816,-1119.2639,water
1000,6839.1838,-1067.9563,water
1000,7071.7394,-1269.3858,water
1000,7400.8276,-1370.1006,water
1000,7614.3693,-1495.5189,water
1000,7943.4575,-1495.5189,water
1000,8176.0131,-1571.5301,water
1000,8427.5828,-1522.1228,water
1000,8641.1244,-1522.1228,water
1000,8815.1755,-1571.5301,water
1000,9104.7731,-1522.1228,water
1000,9686.8936,-1571.5301,water
1000,10093.5003,-1622.8376,water
1000,10383.0979,-1748.2559,water
1000,10789.7046,-1797.6632,water
1000,10925.7277,-1848.9707,water
1000,11273.8299,-1797.6632,water
1000,11468.3576,-1898.3779,water
1000,11738.9412,-2023.7963,water
1000,11816.4598,-2023.7963,water
1000,12338.613,-1748.2559,water
1000,12648.6872,-1748.2559,water
1000,12900.2568,-1822.3668,water
1000,13153.2891,-1672.2448,water
1000,13365.3682,-1721.652,water
1000,13637.4144,-1898.3779,water
1000,14063.0351,-1898.3779,water
1000,14295.5908,-1772.9596,water
1000,14643.6929,-1622.8376,water
1000,14972.7811,-1647.5412,water
1000,15186.3228,-1949.6854,water
1000,15456.9064,-2075.1038,water
1000,15922.0177,-1999.0927,water
1000,16290.5965,-1949.6854,water
1000,16464.6475,-2099.8074,water
1000,16638.6986,-2301.2369,water
1000,16793.7357,-2426.6553,water
1000,17064.3193,-2325.9405,water
1000,17160.8519,-2451.3589,water
1000,17355.3796,-2401.9516,water
