X Y Z Formation
1000 23.401826484018265 36.10528568371496 water
1000 274.97146118721463 62.70918039803124 water
1000 545.5550799086758 212.83115771453026 water
1000 778.1107305936073 389.5570297453456 water
1000 1069.1709474885845 389.5570297453456 water
1000 1243.2220319634703 539.6790070618447 water
1000 1455.3010844748858 691.7012625722234 water
1000 1649.8287671232877 741.1084956130965 water
1000 1765.3752853881278 967.2416006847849 water
1000 1997.9309360730595 1168.6710892360368 water
1000 2152.9680365296804 1168.6710892360368 water
1000 2308.0051369863013 1043.2527284399744 water
1000 2423.5516552511417 1018.5491119195377 water
1000 2559.5747716894975 967.2416006847849 water
1000 2869.64897260274 1018.5491119195377 water
1000 2928.1535388127854 1067.956344960411 water
1000 3005.672089041096 942.5379841643484 water
1000 3450.306792237443 841.8232398887225 water
1000 3856.91352739726 817.1196233682859 water
1000 4282.534246575343 967.2416006847849 water
1000 4825.164098173516 1119.2638561951637 water
1000 5328.303367579909 1244.6822169912261 water
1000 5734.910102739726 1294.0894500320992 water
1000 5948.4517694063925 1394.8041943077253 water
1000 6296.5539383561645 1244.6822169912261 water
1000 6491.081621004566 1119.2638561951637 water
1000 6839.183789954338 1067.956344960411 water
1000 7071.73944063927 1269.3858335116627 water
1000 7400.827625570776 1370.1005777872886 water
1000 7614.369292237443 1495.5189385833512 water
1000 7943.4574771689495 1495.5189385833512 water
1000 8176.013127853881 1571.5300663385406 water
1000 8427.582762557078 1522.1228332976675 water
1000 8641.124429223744 1522.1228332976675 water
1000 8815.17551369863 1571.5300663385406 water
1000 9104.773116438357 1522.1228332976675 water
1000 9686.893550228311 1571.5300663385406 water
1000 10093.500285388129 1622.8375775732934 water
1000 10383.097888127853 1748.2559383693558 water
1000 10789.704623287671 1797.6631714102289 water
1000 10925.727739726028 1848.9706826449817 water
1000 11273.8299086758 1797.6631714102289 water
1000 11468.3575913242 1898.377915685855 water
1000 11738.941210045663 2023.7962764819174 water
1000 11816.459760273972 2023.7962764819174 water
1000 12338.61301369863 1748.2559383693558 water
1000 12648.687214611873 1748.2559383693558 water
1000 12900.256849315068 1822.3667879306654 water
1000 13153.289098173516 1672.2448106141665 water
1000 13365.368150684932 1721.6520436550395 water
1000 13637.414383561643 1898.377915685855 water
1000 14063.035102739726 1898.377915685855 water
1000 14295.590753424658 1772.9595548897923 water
1000 14643.69292237443 1622.8375775732934 water
1000 14972.781107305937 1647.54119409373 water
1000 15186.322773972603 1949.6854269206078 water
1000 15456.906392694063 2075.10378771667 water
1000 15922.017694063927 1999.0926599614809 water
1000 16290.596461187215 1949.6854269206078 water
1000 16464.6475456621 2099.8074042371068 water
1000 16638.698630136987 2301.2368927883585 water
1000 16793.73573059361 2426.655253584421 water
1000 17064.31934931507 2325.9405093087953 water
1000 17160.851883561645 2451.3588701048575 water
1000 17355.379566210046 2401.9516370639844 water
1000 17529.43065068493 2652.7883586561097 water
1000 17606.94920091324 2829.5142306869247 water
1000 17858.51883561644 2679.392253370426 water
1000 18110.088470319635 2753.5031029317356 water
1000 18613.22773972603 2728.799486411299 water
1000 19000.82049086758 2829.5142306869247 water
1000 19350.385273972603 2728.799486411299 water
1000 19776.005993150684 2401.9516370639844 water
1000 20182.6127283105 2075.10378771667 water
1000 20453.196347031964 1898.377915685855 water
1000 2947.16752283105 1544.9261716242243 calareo9a
1000 3160.709189497717 1569.6297881446608 calareo9a
1000 3314.2836757990867 1645.6409158998501 calareo9a
1000 3391.8022260273974 1746.355660175476 calareo9a
1000 3567.315924657534 1719.7517654611597 calareo9a
1000 3663.8484589041095 1871.7740209715387 calareo9a
1000 3818.8855593607304 2073.2035095227907 calareo9a
1000 3953.4460616438355 2198.621870318853 calareo9a
1000 4089.469178082192 2375.3477423496684 calareo9a
1000 4186.001712328767 2476.0624866252942 calareo9a
1000 4380.529394977169 2449.4585919109777 calareo9a
1000 4670.126997716895 2476.0624866252942 calareo9a
1000 4787.136130136986 2525.4697196661673 calareo9a
1000 5019.691780821918 2525.4697196661673 calareo9a
1000 5309.289383561644 2601.480847421357 calareo9a
1000 5483.34046803653 2650.88808046223 calareo9a
1000 5581.335616438356 2852.3175690134817 calareo9a
1000 5832.905251141553 2903.6250802482346 calareo9a
1000 5987.942351598173 3004.3398245238604 calareo9a
1000 6122.5028538812785 3004.3398245238604 calareo9a
1000 6317.030536529681 2977.7359298095444 calareo9a
1000 6665.132705479452 3129.758185319923 calareo9a
1000 6839.183789954338 3203.8690348812324 calareo9a
1000 7090.753424657534 3380.594906912048 calareo9a
1000 7323.309075342466 3506.0132677081106 calareo9a
1000 7633.383276255708 3606.7280119837365 calareo9a
1000 7807.434360730594 3707.4427562593623 calareo9a
1000 7981.48544520548 3834.7613952493043 calareo9a
1000 8388.092180365296 3984.8833725658037 calareo9a
1000 8524.115296803653 3884.1686282901774 calareo9a
1000 8718.642979452055 3884.1686282901774 calareo9a
1000 8718.642979452055 4034.2906056066768 calareo9a
1000 8815.17551369863 3933.575861331051 calareo9a
1000 9066.745148401827 3884.1686282901774 calareo9a
1000 9259.810216894977 3884.1686282901774 calareo9a
1000 9414.847317351598 3960.179756045367 calareo9a
1000 9550.870433789954 3960.179756045367 calareo9a
1000 9628.388984018266 4009.58698908624 calareo9a
