X Y Z Formation
1000 23.401826484018265 36.10528568371496 water
1000 274.97146118721463 62.70918039803124 water
1000 545.5550799086758 212.83115771453026 water
1000 778.1107305936073 389.5570297453456 water
1000 1069.1709474885845 389.5570297453456 water
1000 1243.2220319634703 539.6790070618447 water
1000 1455.3010844748858 691.7012625722234 water
1000 1649.8287671232877 741.1084956130965 water
1000 1765.3752853881278 967.2416006847849 water
1000 1997.9309360730595 1168.6710892360368 water
1000 2152.9680365296804 1168.6710892360368 water
1000 2308.0051369863013 1043.2527284399744 water
1000 2423.5516552511417 1018.5491119195377 water
1000 2559.5747716894975 967.2416006847849 water
1000 2869.64897260274 1018.5491119195377 water
1000 2928.1535388127854 1067.956344960411 water
1000 3005.672089041096 942.5379841643484 water
1000 3450.306792237443 841.8232398887225 water
1000 3856.91352739726 817.1196233682859 water
1000 4282.534246575343 967.2416006847849 water
1000 4825.164098173516 1119.2638561951637 water
1000 5328.303367579909 1244.6822169912261 water
1000 5734.910102739726 1294.0894500320992 water
1000 5948.4517694063925 1394.8041943077253 water
1000 6296.5539383561645 1244.6822169912261 water
1000 6491.081621004566 1119.2638561951637 water
1000 6839.183789954338 1067.956344960411 water
1000 7071.73944063927 1269.3858335116627 water
1000 7400.827625570776 1370.1005777872886 water
1000 7614.369292237443 1495.5189385833512 water
1000 7943.4574771689495 1495.5189385833512 water
1000 8176.013127853881 1571.5300663385406 water
1000 8427.582762557078 1522.1228332976675 water
1000 8641.124429223744 1522.1228332976675 water
1000 8815.17551369863 1571.5300663385406 water
1000 9104.773116438357 1522.1228332976675 water
1000 9686.893550228311 1571.5300663385406 water
1000 10093.500285388129 1622.8375775732934 water
1000 10383.097888127853 1748.2559383693558 water
1000 10789.704623287671 1797.6631714102289 water
1000 10925.727739726028 1848.9706826449817 water
1000 11273.8299086758 1797.6631714102289 water
1000 11468.3575913242 1898.377915685855 water
1000 11738.941210045663 2023.7962764819174 water
1000 11816.459760273972 2023.7962764819174 water
1000 12338.61301369863 1748.2559383693558 water
1000 12648.687214611873 1748.2559383693558 water
1000 12900.256849315068 1822.3667879306654 water
1000 13153.289098173516 1672.2448106141665 water
1000 13365.368150684932 1721.6520436550395 water
1000 13637.414383561643 1898.377915685855 water
1000 14063.035102739726 1898.377915685855 water
1000 14295.590753424658 1772.9595548897923 water
1000 14643.69292237443 1622.8375775732934 water
1000 14972.781107305937 1647.54119409373 water
1000 15186.322773972603 1949.6854269206078 water
1000 15456.906392694063 2075.10378771667 water
1000 15922.017694063927 1999.0926599614809 water
1000 16290.596461187215 1949.6854269206078 water
1000 16464.6475456621 2099.8074042371068 water
1000 16638.698630136987 2301.2368927883585 water
1000 16793.73573059361 2426.655253584421 water
1000 17064.31934931507 2325.9405093087953 water
1000 17160.851883561645 2451.3588701048575 water
1000 17355.379566210046 2401.9516370639844 water
1000 17529.43065068493 2652.7883586561097 water
1000 17606.94920091324 2829.5142306869247 water
1000 17858.51883561644 2679.392253370426 water
1000 18110.088470319635 2753.5031029317356 water
1000 18613.22773972603 2728.799486411299 water
1000 19000.82049086758 2829.5142306869247 water
1000 19350.385273972603 2728.799486411299 water
1000 19776.005993150684 2401.9516370639844 water
1000 20182.6127283105 2075.10378771667 water
1000 20453.196347031964 1898.377915685855 water
1000 26.32705479452055 674.5987588273058 calcarenito12
1000 308.6115867579909 748.7096083886155 calcarenito12
1000 702.054794520548 876.0282473785577 calcarenito12
1000 941.9235159817351 895.031029317355 calcarenito12
1000 1250.535102739726 1022.3496683072972 calcarenito12
1000 1573.7728310502284 1259.884442542264 calcarenito12
1000 1954.0525114155253 1480.3167130323134 calcarenito12
1000 2404.5376712328766 1461.313931093516 calcarenito12
1000 2897.4386415525114 1497.419216777231 calcarenito12
1000 3418.1292808219177 1461.313931093516 calcarenito12
1000 3881.7779680365297 1552.5272843997432 calcarenito12
1000 4219.641837899543 1681.7462015835652 calcarenito12
1000 4684.753139269406 1864.1729081960198 calcarenito12
1000 5233.233447488585 2010.4943291247591 calcarenito12
1000 5613.513127853881 2118.810186175904 calcarenito12
1000 5964.540525114156 1972.4887652471646 calcarenito12
1000 6317.030536529681 1936.3834795634496 calcarenito12
1000 6542.273116438356 1919.280975818532 calcarenito12
1000 6978.132134703196 1991.491547185962 calcarenito12
1000 7498.822773972603 2156.815750053499 calcarenito12
1000 7920.055650684932 2339.2424566659533 calcarenito12
1000 8230.129851598174 2502.6663813396103 calcarenito12
1000 8623.573059360731 2540.671945217205 calcarenito12
1000 8948.273401826484 2576.77723090092 calcarenito12
1000 9509.917237442922 2576.77723090092 calcarenito12
1000 10030.607876712329 2612.882516584635 calcarenito12
1000 10383.097888127853 2648.98780226835 calcarenito12
1000 10818.956906392694 2869.4200727583993 calcarenito12
1000 11086.615296803653 2905.5253584421143 calcarenito12
1000 11297.231735159818 2979.6362080034237 calcarenito12
1000 11564.890125570777 2941.6306441258293 calcarenito12
1000 12028.538812785388 2759.2039375133745 calcarenito12
1000 12408.818493150686 2723.0986518296595 calcarenito12
1000 13028.96689497717 2631.8852985234325 calcarenito12
1000 13660.816210045663 2648.98780226835 calcarenito12
1000 13886.058789954339 2648.98780226835 calcarenito12
1000 14111.301369863015 2759.2039375133745 calcarenito12
