X,Y,Z,formation
8767596.9,728858.7,-360,MIOC-INF
8767596.9,728858.7,-810,OLIG.SUP
8767596.9,728858.7,-870,OLIG-INF
8767596.9,728858.7,-990,EOC-SUP
8767596.9,728858.7,-1080,EOC-MED
8767596.9,728858.7,-1380,EOC-INF
8767596.9,728858.7,-1450,PAL-SUP
8767596.9,728858.7,-1560,PAL-INF
8767596.9,728858.7,-2580,MAESTRIC
8767596.9,728858.7,-3060,CAMPANIA
8761842.0,707489.0,-360,EOC-SUP
8761842.0,707489.0,-612,EOC-MED
8761842.0,707489.0,-839,EOC-INF
8761842.0,707489.0,-947,PAL-SUP
8761842.0,707489.0,-1080,PAL-INF
8761842.0,707489.0,-1962,MAESTRIC
8761842.0,707489.0,-2748,CAMPANIA
8754733.1,713210.5,-759,EOC-SUP
8754733.1,713210.5,-975,EOC-MED
8754733.1,713210.5,-1234,EOC-INF
8754733.1,713210.5,-1371,PAL-SUP
8754733.1,713210.5,-1911,PAL-INF
8754733.1,713210.5,-2235,MAESTRIC
8762534.5,722466.7,-360,MIOC-INF
8762534.5,722466.7,-795,OLIG-INF
8762534.5,722466.7,-960,EOC-SUP
8762534.5,722466.7,-1020,EOC-MED
8762534.5,722466.7,-1235,EOC-INF
8762534.5,722466.7,-1380,PAL-SUP
8762534.5,722466.7,-1538,PAL.MED
8762534.5,722466.7,-1620,PAL-INF
8762534.5,722466.7,-1965,MAESTRIC
8762534.5,722466.7,-2273,CAMPANIA
8774212.5,719833.5,-461,EOC-SUP
8774212.5,719833.5,-558,EOC-MED
8774212.5,719833.5,-918,EOC-INF
8774212.5,719833.5,-1060,PAL-SUP
8774212.5,719833.5,-1397,PAL-INF
