X,Y,Z,formation
12863.800000000745,21369.699999999953,-360,MIOC-INF
12863.800000000745,21369.699999999953,-810,OLIG.SUP
12863.800000000745,21369.699999999953,-870,OLIG-INF
12863.800000000745,21369.699999999953,-990,EOC-SUP
12863.800000000745,21369.699999999953,-1080,EOC-MED
12863.800000000745,21369.699999999953,-1380,EOC-INF
12863.800000000745,21369.699999999953,-1450,PAL-SUP
12863.800000000745,21369.699999999953,-1560,PAL-INF
12863.800000000745,21369.699999999953,-2580,MAESTRIC
12863.800000000745,21369.699999999953,-3060,CAMPANIA
7108.9000000003725,0.0,-360,EOC-SUP
7108.9000000003725,0.0,-612,EOC-MED
7108.9000000003725,0.0,-839,EOC-INF
7108.9000000003725,0.0,-947,PAL-SUP
7108.9000000003725,0.0,-1080,PAL-INF
7108.9000000003725,0.0,-1962,MAESTRIC
7108.9000000003725,0.0,-2748,CAMPANIA
0.0,5721.5,-759,EOC-SUP
0.0,5721.5,-975,EOC-MED
0.0,5721.5,-1234,EOC-INF
0.0,5721.5,-1371,PAL-SUP
0.0,5721.5,-1911,PAL-INF
0.0,5721.5,-2235,MAESTRIC
7801.4000000003725,14977.699999999953,-360,MIOC-INF
7801.4000000003725,14977.699999999953,-795,OLIG-INF
7801.4000000003725,14977.699999999953,-960,EOC-SUP
7801.4000000003725,14977.699999999953,-1020,EOC-MED
7801.4000000003725,14977.699999999953,-1235,EOC-INF
7801.4000000003725,14977.699999999953,-1380,PAL-SUP
7801.4000000003725,14977.699999999953,-1538,PAL.MED
7801.4000000003725,14977.699999999953,-1620,PAL-INF
7801.4000000003725,14977.699999999953,-1965,MAESTRIC
7801.4000000003725,14977.699999999953,-2273,CAMPANIA
19479.400000000373,12344.5,-461,EOC-SUP
19479.400000000373,12344.5,-558,EOC-MED
19479.400000000373,12344.5,-918,EOC-INF
19479.400000000373,12344.5,-1060,PAL-SUP
19479.400000000373,12344.5,-1397,PAL-INF
