X,Y,Z,formation
12863.8,21369.7,-990,EOC-SUP
12863.8,21369.7,-1080,EOC-MED
12863.8,21369.7,-1380,EOC-INF
12863.8,21369.7,-1450,PAL-SUP
12863.8,21369.7,-1560,PAL-INF
7108.9,0.0,-360,EOC-SUP
7108.9,0.0,-612,EOC-MED
7108.9,0.0,-839,EOC-INF
7108.9,0.0,-947,PAL-SUP
7108.9,0.0,-1080,PAL-INF
0.0,5721.5,-759,EOC-SUP
0.0,5721.5,-975,EOC-MED
0.0,5721.5,-1234,EOC-INF
0.0,5721.5,-1371,PAL-SUP
0.0,5721.5,-1911,PAL-INF
7801.4,14977.7,-960,EOC-SUP
7801.4,14977.7,-1020,EOC-MED
7801.4,14977.7,-1235,EOC-INF
7801.4,14977.7,-1380,PAL-SUP
7801.4,14977.7,-1620,PAL-INF
19479.4,12344.5,-461,EOC-SUP
19479.4,12344.5,-558,EOC-MED
19479.4,12344.5,-918,EOC-INF
19479.4,12344.5,-1060,PAL-SUP
19479.4,12344.5,-1397,PAL-INF
