X,Y,Z,formation
8767595.9,728858.7,-990.0,TOPO
8767595.9,728858.7,-1080.0,EOC_SUP
8767595.9,728858.7,-1380.0,EOC_MED
8767595.9,728858.7,-1560.0,EOC_INF
8767595.9,728858.7,-2050.0,PAL_SUP
8767595.9,728858.7,-2580.0,PAL_INF
8762534.5,722466.7,-960.0,TOPO
8762534.5,722466.7,-1020.0,EOC_SUP
8762534.5,722466.7,-1235.0,EOC_MED
8762534.5,722466.7,-1380.0,EOC_INF
8762534.5,722466.7,-1560.0,PAL_SUP
8762534.5,722466.7,-1965.0,PAL_INF
8754733.1,713210.5,-759.0,TOPO
8754733.1,713210.5,-975.0,EOC_SUP
8754733.1,713210.5,-1263.0,EOC_MED
8754733.1,713210.5,-1371.0,EOC_INF
8754733.1,713210.5,-1911.9,PAL_SUP
8754733.1,713210.5,-2235.0,PAL_INF
8774212.5,719833.5,-461.0,TOPO
8774212.5,719833.5,-558.0,EOC_SUP
8774212.5,719833.5,-918.0,EOC_MED
8774212.5,719833.5,-1026.0,EOC_INF
8774212.5,719833.5,-1422.0,PAL_SUP
8774212.5,719833.5,-1524.0,PAL_INF
8761842.0,707489.0,-360.0,TOPO
8761842.0,707489.0,-612.0,EOC_SUP
8761842.0,707489.0,-864.0,EOC_MED
8761842.0,707489.0,-972.0,EOC_INF
8761842.0,707489.0,-1080.0,PAL_SUP
8761842.0,707489.0,-1962.0,PAL_INF
