X,Y,Z,formation,poco
8767595.9,728858.7,-990.0,TOPO,1SES0033SE
8767595.9,728858.7,-1080.0,EOC.SUP,1SES0033SE
8767595.9,728858.7,-1380.0,EOC.MED,1SES0033SE
8767595.9,728858.7,-1560.0,EOC.INF,1SES0033SE
8767595.9,728858.7,-2050.0,PAL.SUP,1SES0033SE
8767595.9,728858.7,-2580.0,PAL.INF,1SES0033SE

8762534.5,722466.7,-960.0,TOPO,4SES0017SE
8762534.5,722466.7,-1020.0,EOC.SUP,4SES0017SE
8762534.5,722466.7,-1235.0,EOC.MED,4SES0017SE
8762534.5,722466.7,-1380.0,EOC.INF,4SES0017SE
8762534.5,722466.7,-1560.0,PAL.SUP,4SES0017SE
8762534.5,722466.7,-1965.0,PAL.INF,4SES0017SE

8754733.1,713210.5,-759.0,TOPO,1SES0101SE
8754733.1,713210.5,-975.0,EOC.SUP,1SES0101SE
8754733.1,713210.5,-1263.0,EOC.MED,1SES0101SE
8754733.1,713210.5,-1371.0,EOC.INF,1SES0101SE
8754733.1,713210.5,-1911.9,PAL.SUP,1SES0101SE
8754733.1,713210.5,-2235.0,PAL.INF,1SES0101SE

8774212.5,719833.5,-461.0,TOPO,4SES0087SE
8774212.5,719833.5,-558.0,EOC.SUP,4SES0087SE
8774212.5,719833.5,-918.0,EOC.MED,4SES0087SE
8774212.5,719833.5,-1026.0,EOC.INF,4SES0087SE
8774212.5,719833.5,-1422.0,PAL.SUP,4SES0087SE
8774212.5,719833.5,-1524.0,PAL.SUP,4SES0087SE

8761842.0,707489.0,-360.0,TOPO,1SES0075SE
8761842.0,707489.0,-612.0,EOC.SUP,1SES0075SE
8761842.0,707489.0,-864.0,EOC.MED,1SES0075SE
8761842.0,707489.0,-972.0,EOC.INF,1SES0075SE
8761842.0,707489.0,-1080.0,PAL.SUP,1SES0075SE
8761842.0,707489.0,-1962.0,PAL.INF,1SES0075SE
