X,Y,Z,formation
8767595.9,728858.7,-990,TOPO
8767595.9,728858.7,-1080,EOC_SUP
8767595.9,728858.7,-1380,EOC_MED
8767595.9,728858.7,-1560,EOC_INF
8767595.9,728858.7,-2050,PAL_SUP
8767595.9,728858.7,-2580,PAL_INF
8762534.5,722466.7,-960,TOPO
8762534.5,722466.7,-1020,EOC_SUP
8762534.5,722466.7,-1235,EOC_MED
8762534.5,722466.7,-1380,EOC_INF
8762534.5,722466.7,-1560,PAL_SUP
8762534.5,722466.7,-1965,PAL_INF
8754733.1,713210.5,-759,TOPO
8754733.1,713210.5,-975,EOC_SUP
8754733.1,713210.5,-1263,EOC_MED
8754733.1,713210.5,-1371,EOC_INF
8754733.1,713210.5,-1911,PAL_SUP
8754733.1,713210.5,-2235,PAL_INF
8774212.5,719833.5,-461,TOPO
8774212.5,719833.5,-558,EOC_SUP
8774212.5,719833.5,-918,EOC_MED
8774212.5,719833.5,-1026,EOC_INF
8774212.5,719833.5,-1422,PAL_SUP
8774212.5,719833.5,-1524,PAL_INF
8761842.0,707489.0,-360,TOPO
8761842.0,707489.0,-612,EOC_SUP
8761842.0,707489.0,-864,EOC_MED
8761842.0,707489.0,-972,EOC_INF
8761842.0,707489.0,-1080,PAL_SUP
8761842.0,707489.0,-1962,PAL_INF
