X,Y,Z,formation
12862.8,21369.7,-990,TOPO
12862.8,21369.7,-1080,EOC_SUP
12862.8,21369.7,-1380,EOC_MED
12862.8,21369.7,-1560,EOC_INF
12862.8,21369.7,-2050,PAL_SUP
12862.8,21369.7,-2580,PAL_INF
7801.4,14977.7,-960,TOPO
7801.4,14977.7,-1020,EOC_SUP
7801.4,14977.7,-1235,EOC_MED
7801.4,14977.7,-1380,EOC_INF
7801.4,14977.7,-1560,PAL_SUP
7801.4,14977.7,-1965,PAL_INF
0.0,5721.5,-759,TOPO
0.0,5721.5,-975,EOC_SUP
0.0,5721.5,-1263,EOC_MED
0.0,5721.5,-1371,EOC_INF
0.0,5721.5,-1911,PAL_SUP
0.0,5721.5,-2235,PAL_INF
19479.4,12344.5,-461,TOPO
19479.4,12344.5,-558,EOC_SUP
19479.4,12344.5,-918,EOC_MED
19479.4,12344.5,-1026,EOC_INF
19479.4,12344.5,-1422,PAL_SUP
19479.4,12344.5,-1524,PAL_INF
7108.9,0.0,-360,TOPO
7108.9,0.0,-612,EOC_SUP
7108.9,0.0,-864,EOC_MED
7108.9,0.0,-972,EOC_INF
7108.9,0.0,-1080,PAL_SUP
7108.9,0.0,-1962,PAL_INF
