X,Y,Z,formation
2000,35000,-3050,FALHA_1
2000,34000,-3600,FALHA_1
2000,33000,-4700,FALHA_1
2000,32500,-5600,FALHA_1
2000,31250,-6200,FALHA_1
2000,31000,-6910,FALHA_1
2000,30000,-8050,FALHA_1
2000,13750,-1300,UBV
2000,15000,-1200,UBV
2000,16250,-1350,UBV
2000,17500,-1500,UBV
2000,18750,-1600,UBV
2000,20000,-1700,UBV
2000,21250,-1950,UBV
2000,22500,-2100,UBV
2000,23750,-2300,UBV
2000,25000,-2400,UBV
2000,26250,-2400,UBV
2000,27500,-2300,UBV
2000,28750,-2200,UBV
2000,30000,-2200,UBV
2000,31250,-2300,UBV
2000,32500,-2500,UBV
2000,33750,-2600,UBV
2000,35000,-2400,UBV
2000,36250,-2100,UBV
2000,37500,-1900,UBV
2000,38750,-1700,UBV
2000,40000,-1500,UBV
1000,36250,-2100,UBV
1000,37500,-1900,UBV
1000,38750,-1700,UBV
1000,40000,-1500,UBV
3000,36250,-2100,UBV
3000,37500,-1900,UBV
3000,38750,-1700,UBV
3000,40000,-1500,UBV
2000,0,0,LBV
2000,1250,-100,LBV
2000,2500,-500,LBV
2000,3750,-900,LBV
2000,5000,-1200,LBV
2000,6250,-1400,LBV
2000,7500,-1600,LBV
2000,8750,-1800,LBV
2000,10000,-1700,LBV
2000,11250,-1650,LBV
2000,12500,-1400,LBV
2000,13750,-1600,LBV
2000,15000,-1750,LBV
2000,16250,-1900,LBV
2000,17500,-2000,LBV
2000,18750,-2150,LBV
2000,20000,-2300,LBV
2000,21250,-2400,LBV
2000,22500,-2500,LBV
2000,23750,-2750,LBV
2000,25000,-2850,LBV
2000,26250,-2950,LBV
2000,27500,-3000,LBV
2000,28750,-3050,LBV
2000,30000,-3100,LBV
2000,31250,-3200,LBV
2000,32500,-3400,LBV
2000,36250,-2750,LBV
2000,37500,-2700,LBV
2000,38750,-2450,LBV
2000,40000,-2250,LBV
1000,36250,-2750,LBV
1000,37500,-2700,LBV
1000,38750,-2450,LBV
1000,40000,-2250,LBV
3000,36250,-2750,LBV
3000,37500,-2700,LBV
3000,38750,-2450,LBV
3000,40000,-2250,LBV
2000,0,-600,ITAPEMA
2000,1250,-750,ITAPEMA
2000,2500,-1050,ITAPEMA
2000,3750,-1300,ITAPEMA
2000,5000,-1600,ITAPEMA
2000,6250,-1850,ITAPEMA
2000,7500,-1950,ITAPEMA
2000,8750,-2100,ITAPEMA
2000,10000,-2400,ITAPEMA
2000,11250,-2500,ITAPEMA
2000,12500,-2750,ITAPEMA
2000,13750,-2850,ITAPEMA
2000,15000,-3000,ITAPEMA
2000,16250,-3100,ITAPEMA
2000,17500,-3300,ITAPEMA
2000,18750,-3500,ITAPEMA
2000,20000,-3700,ITAPEMA
2000,21250,-3900,ITAPEMA
2000,22500,-4000,ITAPEMA
2000,23750,-4200,ITAPEMA
2000,25000,-4400,ITAPEMA
2000,26250,-4500,ITAPEMA
2000,27500,-4600,ITAPEMA
2000,28750,-4800,ITAPEMA
2000,30000,-4900,ITAPEMA
2000,31250,-4900,ITAPEMA
2000,35000,-4100,ITAPEMA
2000,36250,-4300,ITAPEMA
2000,37500,-4400,ITAPEMA
2000,38750,-4500,ITAPEMA
2000,40000,-4600,ITAPEMA
1000,35000,-4100,ITAPEMA
1000,36250,-4300,ITAPEMA
1000,37500,-4400,ITAPEMA
1000,38750,-4500,ITAPEMA
1000,40000,-4600,ITAPEMA
3000,35000,-4100,ITAPEMA
3000,36250,-4300,ITAPEMA
3000,37500,-4400,ITAPEMA
3000,38750,-4500,ITAPEMA
3000,40000,-4600,ITAPEMA
2000,0,-1600,CAMBORIU
2000,1250,-1800,CAMBORIU
2000,2500,-2350,CAMBORIU
2000,3750,-2600,CAMBORIU
2000,5000,-3000,CAMBORIU
2000,6250,-3200,CAMBORIU
2000,7500,-3500,CAMBORIU
2000,8750,-3700,CAMBORIU
2000,10000,-3800,CAMBORIU
2000,11250,-3800,CAMBORIU
2000,12500,-3950,CAMBORIU
2000,13750,-4000,CAMBORIU
2000,15000,-4050,CAMBORIU
2000,16250,-4300,CAMBORIU
2000,17500,-4500,CAMBORIU
2000,18750,-4800,CAMBORIU
2000,20000,-5000,CAMBORIU
2000,21250,-5300,CAMBORIU
2000,22500,-5600,CAMBORIU
2000,23750,-5800,CAMBORIU
2000,25000,-6100,CAMBORIU
2000,26250,-6300,CAMBORIU
2000,27500,-6500,CAMBORIU
2000,28750,-6600,CAMBORIU
2000,30000,-6700,CAMBORIU
2000,33750,-5650,CAMBORIU
2000,35000,-5650,CAMBORIU
2000,36250,-5800,CAMBORIU
2000,37500,-5950,CAMBORIU
2000,38750,-6050,CAMBORIU
2000,40000,-6050,CAMBORIU
1000,35000,-5650,CAMBORIU
1000,36250,-5800,CAMBORIU
1000,37500,-5950,CAMBORIU
1000,38750,-6050,CAMBORIU
1000,40000,-6050,CAMBORIU
3000,35000,-5650,CAMBORIU
3000,36250,-5800,CAMBORIU
3000,37500,-5950,CAMBORIU
3000,38750,-6050,CAMBORIU
3000,40000,-6050,CAMBORIU
