X,Y,Z,formation
1200,11250,0,ARIRI
1200,11250,-60,BARRA_VELHA
1200,11250,-420,BARRA_VELHA
1300,9000,100,ARIRI
1300,9000,0,BARRA_VELHA
1300,9000,-230,BARRA_VELHA
1200,4500,0,ARIRI
1200,4500,-60,BARRA_VELHA
1200,4500,-260,BARRA_VELHA
1300,1300,0,ARIRI
1300,1300,-80,BARRA_VELHA
1300,1300,-370,BARRA_VELHA
1300,1300,-610,ITAPEMA
3100,9200,0,ARIRI
3100,9200,-170,BARRA_VELHA
3100,9200,-480,BARRA_VELHA
3100,9200,-1030,ITAPEMA
2000,4500,0,ARIRI
2000,4500,-280,BARRA_VELHA
2000,4500,-570,BARRA_VELHA
2200,4000,0,ARIRI
2200,4000,-180,BARRA_VELHA
2200,4000,-450,BARRA_VELHA
3100,1300,0,ARIRI
3100,1300,-120,BARRA_VELHA
3100,1300,-380,BARRA_VELHA
3100,1300,-750,ITAPEMA
