X,Y,Z,azimuth,dip,polarity,formation
1200,11250,0,0,0,1,ARIRI
1300,9000,0,0,0,1,ARIRI
1200,4500,0,0,0,1,ARIRI
1300,1300,0,0,0,1,ARIRI
3100,9200,0,0,0,1,ARIRI
1500,4500,0,0,0,1,ARIRI
1500,4000,0,0,0,1,ARIRI
3100,1300,0,0,0,1,ARIRI
1200,11250,-260,0,0,1,UBV
1300,9000,-150,0,0,1,UBV
1200,4500,-150,0,0,1,UBV
1300,1300,-200,0,0,1,UBV
3100,9200,-240,0,0,1,UBV
1500,4500,-380,0,0,1,UBV
1500,4000,-250,0,0,1,UBV
3100,1300,-200,0,0,1,UBV
1200,11250,-420,0,0,1,LBV
1300,9000,-230,0,0,1,LBV
1200,4500,-260,0,0,1,LBV
1300,1300,-450,0,0,1,LBV
3100,9200,-750,0,0,1,LBV
1500,4500,-570,0,0,1,LBV
1500,4000,-450,0,0,1,LBV
3100,1300,-550,0,0,1,LBV
1300,1300,-610,0,0,1,ITAPEMA
3100,9200,-1030,0,0,1,ITAPEMA
3100,1300,-750,0,0,1,ITAPEMA
