X,Y,Z,formation
0,35000,-3050,FALHA_1
0,34000,-4000,FALHA_1
0,33500,-4700,FALHA_1
0,32500,-5600,FALHA_1
0,31900,-6000,FALHA_1
0,31250,-7000,FALHA_1
2000,35000,-3050,FALHA_1
2000,34000,-4000,FALHA_1
2000,33500,-4700,FALHA_1
2000,32500,-5600,FALHA_1
2000,31900,-6000,FALHA_1
2000,31250,-7000,FALHA_1
4000,35000,-3050,FALHA_1
4000,34000,-4000,FALHA_1
4000,33500,-4700,FALHA_1
4000,32500,-5600,FALHA_1
4000,31900,-6000,FALHA_1
4000,31250,-7000,FALHA_1
2000,13750,-1300,UBV
2000,15000,-1200,UBV
2000,16250,-1350,UBV
2000,17500,-1500,UBV
2000,18750,-1600,UBV
2000,20000,-1700,UBV
2000,21250,-1950,UBV
2000,22500,-2100,UBV
2000,23750,-2300,UBV
2000,25000,-2400,UBV
2000,26250,-2400,UBV
2000,27500,-2300,UBV
2000,28750,-2200,UBV
2000,30000,-2200,UBV
2000,31250,-2300,UBV
2000,32500,-2500,UBV
2000,33750,-2600,UBV
2000,34375,-2600,UBV
2000,35000,-2400,UBV
2000,36250,-2100,UBV
2000,37500,-1900,UBV
2000,38750,-1700,UBV
2000,40000,-1500,UBV
0,13750,-1300,UBV
0,15000,-1200,UBV
0,16250,-1350,UBV
0,17500,-1500,UBV
0,18750,-1600,UBV
0,20000,-1700,UBV
0,21250,-1950,UBV
0,22500,-2100,UBV
0,23750,-2300,UBV
0,25000,-2400,UBV
0,26250,-2400,UBV
0,27500,-2300,UBV
0,28750,-2200,UBV
0,30000,-2200,UBV
0,31250,-2300,UBV
0,32500,-2500,UBV
0,33750,-2600,UBV
0,34375,-2600,UBV
0,35000,-2400,UBV
0,36250,-2100,UBV
0,37500,-1900,UBV
0,38750,-1700,UBV
0,40000,-1500,UBV
4000,13750,-1300,UBV
4000,15000,-1200,UBV
4000,16250,-1350,UBV
4000,17500,-1500,UBV
4000,18750,-1600,UBV
4000,20000,-1700,UBV
4000,21250,-1950,UBV
4000,22500,-2100,UBV
4000,23750,-2300,UBV
4000,25000,-2400,UBV
4000,26250,-2400,UBV
4000,27500,-2300,UBV
4000,28750,-2200,UBV
4000,30000,-2200,UBV
4000,31250,-2300,UBV
4000,32500,-2500,UBV
4000,33750,-2600,UBV
4000,34375,-2600,UBV
4000,35000,-2400,UBV
4000,36250,-2100,UBV
4000,37500,-1900,UBV
4000,38750,-1700,UBV
4000,40000,-1500,UBV
2000,13750,-1600,LBV
2000,15000,-1750,LBV
2000,16250,-1900,LBV
2000,17500,-2000,LBV
2000,18750,-2150,LBV
2000,20000,-2300,LBV
2000,21250,-2400,LBV
2000,22500,-2500,LBV
2000,23750,-2750,LBV
2000,25000,-2850,LBV
2000,26250,-2950,LBV
2000,27500,-3000,LBV
2000,28750,-3050,LBV
2000,30000,-3100,LBV
2000,31250,-3200,LBV
2000,32500,-3400,LBV
2000,33125,-3500,LBV
2000,33750,-3700,LBV
2000,35625,-2700,LBV
2000,36250,-2750,LBV
2000,37500,-2700,LBV
2000,38750,-2450,LBV
2000,40000,-2250,LBV
0,13750,-1600,LBV
0,15000,-1750,LBV
0,16250,-1900,LBV
0,17500,-2000,LBV
0,18750,-2150,LBV
0,20000,-2300,LBV
0,21250,-2400,LBV
0,22500,-2500,LBV
0,23750,-2750,LBV
0,25000,-2850,LBV
0,26250,-2950,LBV
0,27500,-3000,LBV
0,28750,-3050,LBV
0,30000,-3100,LBV
0,31250,-3200,LBV
0,32500,-3400,LBV
0,33125,-3500,LBV
0,33750,-3700,LBV
0,35625,-2700,LBV
0,36250,-2750,LBV
0,37500,-2700,LBV
0,38750,-2450,LBV
0,40000,-2250,LBV
4000,13750,-1600,LBV
4000,15000,-1750,LBV
4000,16250,-1900,LBV
4000,17500,-2000,LBV
4000,18750,-2150,LBV
4000,20000,-2300,LBV
4000,21250,-2400,LBV
4000,22500,-2500,LBV
4000,23750,-2750,LBV
4000,25000,-2850,LBV
4000,26250,-2950,LBV
4000,27500,-3000,LBV
4000,28750,-3050,LBV
4000,30000,-3100,LBV
4000,31250,-3200,LBV
4000,32500,-3400,LBV
4000,33125,-3500,LBV
4000,33750,-3700,LBV
4000,35625,-2700,LBV
4000,36250,-2750,LBV
4000,37500,-2700,LBV
4000,38750,-2450,LBV
4000,40000,-2250,LBV
2000,13750,-2850,ITAPEMA
2000,15000,-3000,ITAPEMA
2000,16250,-3100,ITAPEMA
2000,17500,-3300,ITAPEMA
2000,18750,-3500,ITAPEMA
2000,20000,-3700,ITAPEMA
2000,21250,-3900,ITAPEMA
2000,22500,-4000,ITAPEMA
2000,23750,-4200,ITAPEMA
2000,25000,-4400,ITAPEMA
2000,26250,-4500,ITAPEMA
2000,27500,-4600,ITAPEMA
2000,28750,-4800,ITAPEMA
2000,30000,-4900,ITAPEMA
2000,31250,-4900,ITAPEMA
2000,31875,-5100,ITAPEMA
2000,32500,-5300,ITAPEMA
2000,35000,-4100,ITAPEMA
2000,36250,-4300,ITAPEMA
2000,37500,-4400,ITAPEMA
2000,38750,-4500,ITAPEMA
2000,40000,-4600,ITAPEMA
0,13750,-2850,ITAPEMA
0,15000,-3000,ITAPEMA
0,16250,-3100,ITAPEMA
0,17500,-3300,ITAPEMA
0,18750,-3500,ITAPEMA
0,20000,-3700,ITAPEMA
0,21250,-3900,ITAPEMA
0,22500,-4000,ITAPEMA
0,23750,-4200,ITAPEMA
0,25000,-4400,ITAPEMA
0,26250,-4500,ITAPEMA
0,27500,-4600,ITAPEMA
0,28750,-4800,ITAPEMA
0,30000,-4900,ITAPEMA
0,31250,-4900,ITAPEMA
0,31875,-5100,ITAPEMA
0,32500,-5300,ITAPEMA
0,35000,-4100,ITAPEMA
0,36250,-4300,ITAPEMA
0,37500,-4400,ITAPEMA
0,38750,-4500,ITAPEMA
0,40000,-4600,ITAPEMA
4000,13750,-2850,ITAPEMA
4000,15000,-3000,ITAPEMA
4000,16250,-3100,ITAPEMA
4000,17500,-3300,ITAPEMA
4000,18750,-3500,ITAPEMA
4000,20000,-3700,ITAPEMA
4000,21250,-3900,ITAPEMA
4000,22500,-4000,ITAPEMA
4000,23750,-4200,ITAPEMA
4000,25000,-4400,ITAPEMA
4000,26250,-4500,ITAPEMA
4000,27500,-4600,ITAPEMA
4000,28750,-4800,ITAPEMA
4000,30000,-4900,ITAPEMA
4000,31250,-4900,ITAPEMA
4000,31875,-5100,ITAPEMA
4000,32500,-5300,ITAPEMA
4000,35000,-4100,ITAPEMA
4000,36250,-4300,ITAPEMA
4000,37500,-4400,ITAPEMA
4000,38750,-4500,ITAPEMA
4000,40000,-4600,ITAPEMA
2000,13750,-4000,CAMBORIU
2000,15000,-4050,CAMBORIU
2000,16250,-4300,CAMBORIU
2000,17500,-4500,CAMBORIU
2000,18750,-4800,CAMBORIU
2000,20000,-5000,CAMBORIU
2000,21250,-5300,CAMBORIU
2000,22500,-5600,CAMBORIU
2000,23750,-5800,CAMBORIU
2000,25000,-6100,CAMBORIU
2000,26250,-6300,CAMBORIU
2000,27500,-6500,CAMBORIU
2000,28750,-6600,CAMBORIU
2000,30000,-6700,CAMBORIU
2000,30625,-6900,CAMBORIU
2000,33125,-5650,CAMBORIU
2000,33750,-5650,CAMBORIU
2000,35000,-5650,CAMBORIU
2000,36250,-5800,CAMBORIU
2000,37500,-5950,CAMBORIU
2000,38750,-6050,CAMBORIU
2000,40000,-6050,CAMBORIU
0,33125,-5650,CAMBORIU
0,13750,-4000,CAMBORIU
0,15000,-4050,CAMBORIU
0,16250,-4300,CAMBORIU
0,17500,-4500,CAMBORIU
0,18750,-4800,CAMBORIU
0,20000,-5000,CAMBORIU
0,21250,-5300,CAMBORIU
0,22500,-5600,CAMBORIU
0,23750,-5800,CAMBORIU
0,25000,-6100,CAMBORIU
0,26250,-6300,CAMBORIU
0,27500,-6500,CAMBORIU
0,28750,-6600,CAMBORIU
0,30000,-6700,CAMBORIU
0,30625,-6900,CAMBORIU
0,33125,-5650,CAMBORIU
0,33750,-5650,CAMBORIU
0,35000,-5650,CAMBORIU
0,36250,-5800,CAMBORIU
0,37500,-5950,CAMBORIU
0,38750,-6050,CAMBORIU
0,40000,-6050,CAMBORIU
