X,Y,Z,formation
2000,35750,-2050,FALHA_1
2000,35000,-3050,FALHA_1
2000,34000,-4000,FALHA_1
2000,33500,-4700,FALHA_1
2000,32500,-5600,FALHA_1
2000,31900,-6000,FALHA_1
2000,31250,-7000,FALHA_1
2000,31050,-8050,FALHA_1
2000,30550,-8550,FALHA_1
2000,13750,-1300,UBV
2000,15000,-1200,UBV
2000,16250,-1350,UBV
2000,17500,-1500,UBV
2000,18750,-1600,UBV
2000,20000,-1700,UBV
2000,21250,-1950,UBV
2000,22500,-2100,UBV
2000,23750,-2300,UBV
2000,25000,-2400,UBV
2000,26250,-2400,UBV
2000,27500,-2300,UBV
2000,28750,-2200,UBV
2000,30000,-2200,UBV
2000,31250,-2300,UBV
2000,32500,-2500,UBV
2000,33750,-2600,UBV
2000,35000,-2400,UBV
2000,36250,-2100,UBV
2000,37500,-1900,UBV
2000,38750,-1700,UBV
2000,40000,-1500,UBV
0,36250,-2100,UBV
1000,36250,-2100,UBV
3000,36250,-2100,UBV
4000,36250,-2100,UBV
2000,13750,-1600,LBV
2000,15000,-1750,LBV
2000,16250,-1900,LBV
2000,17500,-2000,LBV
2000,18750,-2150,LBV
2000,20000,-2300,LBV
2000,21250,-2400,LBV
2000,22500,-2500,LBV
2000,23750,-2750,LBV
2000,25000,-2850,LBV
2000,26250,-2950,LBV
2000,27500,-3000,LBV
2000,28750,-3050,LBV
2000,30000,-3100,LBV
2000,31250,-3200,LBV
2000,32500,-3400,LBV
2000,33750,-3500,LBV
2000,35625,-2700,LBV
2000,36250,-2750,LBV
2000,37500,-2700,LBV
2000,38750,-2450,LBV
2000,40000,-2250,LBV
0,35625,-2750,LBV
1000,35625,-2750,LBV
3000,35625,-2750,LBV
4000,35625,-2750,LBV
2000,13750,-2850,ITAPEMA
2000,15000,-3000,ITAPEMA
2000,16250,-3100,ITAPEMA
2000,17500,-3300,ITAPEMA
2000,18750,-3500,ITAPEMA
2000,20000,-3700,ITAPEMA
2000,21250,-3900,ITAPEMA
2000,22500,-4000,ITAPEMA
2000,23750,-4200,ITAPEMA
2000,25000,-4400,ITAPEMA
2000,26250,-4500,ITAPEMA
2000,27500,-4600,ITAPEMA
2000,28750,-4800,ITAPEMA
2000,30000,-4900,ITAPEMA
2000,31250,-4900,ITAPEMA
2000,31875,-5100,ITAPEMA
2000,32500,-5100,ITAPEMA
2000,35000,-4100,ITAPEMA
2000,36250,-4300,ITAPEMA
2000,37500,-4400,ITAPEMA
2000,38750,-4500,ITAPEMA
2000,40000,-4600,ITAPEMA
0,35000,-4100,ITAPEMA
1000,35000,-4100,ITAPEMA
3000,35000,-4100,ITAPEMA
4000,35000,-4100,ITAPEMA
2000,13750,-4000,CAMBORIU
2000,15000,-4050,CAMBORIU
2000,16250,-4300,CAMBORIU
2000,17500,-4500,CAMBORIU
2000,18750,-4800,CAMBORIU
2000,20000,-5000,CAMBORIU
2000,21250,-5300,CAMBORIU
2000,22500,-5600,CAMBORIU
2000,23750,-5800,CAMBORIU
2000,25000,-6100,CAMBORIU
2000,26250,-6300,CAMBORIU
2000,27500,-6500,CAMBORIU
2000,28750,-6600,CAMBORIU
2000,30000,-6700,CAMBORIU
2000,30625,-6900,CAMBORIU
2000,33125,-5650,CAMBORIU
2000,33750,-5650,CAMBORIU
2000,35000,-5650,CAMBORIU
2000,36250,-5800,CAMBORIU
2000,37500,-5950,CAMBORIU
2000,38750,-6050,CAMBORIU
2000,40000,-6050,CAMBORIU
0,33125,-5650,CAMBORIU
1000,33125,-5650,CAMBORIU
3000,33125,-5650,CAMBORIU
4000,33125,-5650,CAMBORIU
