,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,formation,series,id,order_series,smooth
173,2000.0,0.0,-900.0,0.5001,0.2501,0.5548058823529411,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
174,2000.0,1250.0,-950.0,0.5001,0.26480588235294117,0.5542176470588235,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
175,2000.0,2500.0,-1000.0,0.5001,0.27951176470588235,0.5536294117647058,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
176,2000.0,5000.0,-1100.0,0.5001,0.3089235294117647,0.5524529411764706,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
177,2000.0,7500.0,-1200.0,0.5001,0.33833529411764707,0.5512764705882353,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
178,2000.0,10000.0,-1300.0,0.5001,0.3677470588235294,0.5501,0.0,0.0,0.0,90.0,0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
179,2000.0,12500.0,-1200.0,0.5001,0.3971588235294118,0.5512764705882353,0.0,0.0,0.0,90.0,0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
180,2000.0,15000.0,-800.0,0.5001,0.4265705882352941,0.5559823529411765,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
181,2000.0,17500.0,-1100.0,0.5001,0.45598235294117645,0.5524529411764706,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
182,2000.0,20000.0,-1400.0,0.5001,0.4853941176470588,0.5489235294117647,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
183,2000.0,21875.0,-1500.0,0.5001,0.5074529411764706,0.5477470588235294,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
184,2000.0,22500.0,-1650.0,0.5001,0.5148058823529411,0.5459823529411765,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
185,2000.0,23750.0,-1800.0,0.5001,0.5295117647058823,0.5442176470588235,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
186,2000.0,25000.0,-1900.0,0.5001,0.5442176470588235,0.5430411764705882,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
187,2000.0,26250.0,-2500.0,0.5001,0.5589235294117647,0.5359823529411765,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
188,2000.0,27500.0,-3000.0,0.5001,0.5736294117647058,0.5301,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
189,2000.0,30000.0,-3250.0,0.5001,0.6030411764705882,0.5271588235294118,-0.0,0.0,0.0,90.0,-0.0,1.0,CAMBURI_II,Strat_Series_1,1.0,1.0,0.01
